ACTIVITY_DURATION,ASSIGNED_USER_TK,ACTIVITY_PARENT,ACTIVITY_PARENT_OPS,ACTIVITY_DATE_TK_RAND,RAND
15,4,8136,345,527,2
15,9,8122,273,617,2
15,19,7442,343,403,2
30,5,9524,343,411,2
60,7,8595,236,479,2
15,23,9073,205,656,2
15,21,9989,315,466,2
30,18,9501,232,656,2
60,5,8968,313,639,2
15,5,7993,243,421,2
45,18,7916,282,561,2
75,19,9601,349,665,2
45,8,9782,348,480,2
15,20,9023,239,397,2
15,22,8477,272,584,2
60,13,7096,345,477,2
90,5,9658,201,718,2
120,21,9366,266,484,2
15,12,7904,319,620,2
15,18,9885,258,431,2
30,20,7501,260,552,2
75,19,8876,242,493,2
15,3,8797,236,476,2
15,14,8319,350,417,2
105,17,9792,254,469,2
30,23,8304,229,665,2
45,8,9503,309,610,2
60,22,9061,281,467,2
15,12,2092,200,22,2
30,8,2319,200,65,2
30,1,3415,143,78,2
15,16,4984,119,348,2
45,16,2256,120,262,2
15,16,3873,190,175,2
30,4,3968,137,352,2
15,5,5309,131,315,2
30,6,2327,175,4,2
60,11,5025,172,326,2
15,3,3494,177,16,2
120,5,3033,111,134,2
15,7,2913,174,334,2
60,10,4987,136,299,2
15,3,2300,196,43,2
45,6,3261,167,193,2
15,15,5941,182,172,2
15,13,6153,150,26,2
15,5,6496,140,69,2
45,15,2279,199,154,2
30,16,3244,180,270,2
15,13,2247,168,250,2
45,15,6872,161,248,2
15,8,6315,193,195,2
30,6,5109,166,62,2
45,2,6040,161,265,2
45,2,6371,123,352,2
45,9,6358,186,114,2
15,9,6504,125,314,2
45,1,6320,156,290,2
15,7,3457,188,108,2
75,8,6052,129,61,2
75,3,6916,142,224,2
15,7,2529,178,323,2
15,9,5673,130,341,2
15,14,2469,139,148,2
120,7,3262,104,352,2
30,6,2713,175,308,2
45,3,3644,134,173,2
45,6,2318,128,12,2
30,14,5186,128,117,2
15,2,2284,112,332,2
105,1,4778,144,150,2
15,6,4384,166,87,2
45,5,2839,139,64,2
30,11,6725,152,201,2
45,13,5497,156,295,2
15,11,6635,183,20,2
120,1,3240,176,187,2
15,9,6999,200,351,2
120,15,2043,122,116,2
15,11,3086,155,80,2
30,10,3970,135,280,2
45,1,3057,157,18,2
15,5,6004,196,249,2
30,3,6759,191,64,2
30,6,6311,110,210,2
15,12,6141,187,215,2
15,2,2076,154,163,2
15,7,2334,107,308,2
30,5,5476,178,120,2
15,8,4502,162,320,2
15,10,3608,131,115,2
75,1,5207,160,306,2
15,4,5731,108,124,2
15,10,4084,165,67,2
15,15,3945,146,302,2
15,2,6005,122,138,2
15,5,5954,106,170,2
75,3,5927,190,165,2
15,5,4041,181,317,2
15,6,2834,107,220,2
15,12,4672,109,334,2
60,12,3217,152,93,2
15,13,3337,168,328,2
120,7,5905,150,41,2
30,11,5282,200,204,2
105,15,4399,106,56,2
30,2,4256,153,100,2
30,10,3062,134,76,2
60,3,6408,195,237,2
45,7,3694,144,198,2
30,12,2501,169,11,2
15,5,3207,127,78,2
15,7,3728,158,252,2
15,13,4812,123,232,2
30,2,4025,178,257,2
60,6,3042,132,117,2
30,7,6730,131,280,2
15,13,4858,172,151,2
105,6,4885,138,362,2
30,5,3732,112,100,2
105,11,5386,126,94,2
15,7,3936,120,244,2
45,8,5078,180,149,2
45,2,5083,145,37,2
30,11,6351,135,245,2
15,16,6475,122,144,2
15,8,3391,118,296,2
15,3,2604,152,251,2
15,12,4159,131,75,2
45,13,5311,102,88,2
15,2,5789,161,132,2
15,15,5971,102,117,2
15,11,3243,135,365,2
30,10,3227,117,113,2
60,12,3491,173,166,2
15,10,4108,137,283,2
75,9,5423,122,328,2
15,13,4093,174,149,2
15,2,2052,144,271,2
45,9,6077,116,81,2
30,13,3308,164,239,2
15,14,5101,152,171,2
15,7,5190,183,23,2
45,7,3800,177,239,2
15,10,5204,172,132,2
15,15,6998,107,321,2
60,12,4493,125,78,2
60,9,3330,128,259,2
15,7,4210,189,265,2
60,6,6550,174,199,2
30,1,5532,140,90,2
15,10,3306,115,208,2
45,2,2828,182,158,2
120,7,4150,112,78,2
15,3,4453,180,266,2
30,7,4752,177,135,2
15,8,6320,138,35,2
15,11,6699,141,232,2
15,6,2907,187,5,2
30,16,3395,145,223,2
30,14,3700,136,328,2
75,6,2751,131,97,2
15,6,5584,102,37,2
120,10,4558,113,154,2
60,6,6419,155,61,2
30,4,3172,131,75,2
15,8,4706,189,298,2
15,7,5396,147,240,2
60,13,3038,189,243,2
45,11,4945,186,325,2
60,16,5582,193,3,2
15,17,8765,322,706,2
90,2,9430,230,662,2
15,15,7163,238,524,2
15,9,8463,287,377,2
60,17,7974,256,518,2
15,21,8193,203,466,2
30,16,8731,319,473,2
15,22,8559,202,658,2
15,19,9138,293,430,2
15,11,7740,205,531,2
45,13,7342,232,419,2
15,3,9381,215,529,2
15,10,8799,209,370,2
15,14,8714,222,595,2
75,5,8846,238,463,2
75,2,7594,223,647,2
15,23,9067,261,391,2
15,10,8390,260,549,2
15,15,9325,266,619,2
15,13,7972,275,538,2
15,3,9021,261,614,2
15,19,8045,208,573,2
15,15,8749,310,537,2
15,16,7133,304,380,2
30,2,9509,259,444,2
30,4,8748,232,659,2
30,2,7704,268,606,2
15,20,7594,228,525,2
15,16,8957,334,492,2
30,11,8799,254,559,2
15,22,7888,294,578,2
45,20,7224,333,475,2
15,1,9049,330,516,2
90,18,9786,265,646,2
45,22,9722,277,689,2
90,15,9202,294,500,2
15,11,9633,291,379,2
30,3,9814,202,529,2
15,8,9216,222,717,2
15,15,8135,331,585,2
15,10,8965,252,614,2
30,2,7583,332,551,2
15,6,8446,314,624,2
15,5,8558,213,401,2
30,22,8122,242,368,2
15,11,8331,345,581,2
30,8,9307,227,380,2
60,17,7955,311,551,2
15,12,7589,222,418,2
15,12,7401,230,484,2
45,17,8893,275,630,2
15,17,9901,335,400,2
15,9,8618,324,454,2
45,21,8299,296,554,2
30,2,7233,300,528,2
15,21,7364,289,649,2
15,19,9318,210,720,2
45,2,9013,323,628,2
60,5,7280,204,422,2
15,13,7070,207,684,2
15,3,8834,261,613,2
15,11,7480,309,414,2
15,5,7599,307,596,2
105,15,9088,311,537,2
15,22,8430,222,383,2
15,7,7128,219,690,2
30,4,7113,256,370,2
15,8,8377,221,589,2
15,15,9375,271,390,2
45,4,8003,250,584,2
45,9,7514,329,442,2
15,15,9029,348,477,2
15,18,9767,200,387,2
15,7,8582,288,449,2
15,22,8693,254,543,2
15,21,9434,252,446,2
30,12,7986,203,566,2
30,17,8922,348,724,2
45,14,7474,312,670,2
30,8,8553,217,384,2
90,12,8778,265,489,2
15,10,9258,288,646,2
15,22,7162,226,613,2
15,14,8888,293,405,2
15,4,8795,268,630,2
45,5,8580,290,646,2
30,23,8766,209,391,2
45,13,7740,257,511,2
90,4,7443,331,384,2
30,5,9143,264,498,2
45,18,8843,201,527,2
75,22,7703,285,625,2
30,4,9766,242,394,2
15,22,7829,238,426,2
15,17,7503,213,396,2
15,18,8952,243,562,2
15,3,9895,305,495,2
15,16,7009,304,404,2
105,12,8624,280,504,2
15,11,8340,330,712,2
15,14,9888,294,616,2
30,2,8102,275,386,2
15,14,9572,205,577,2
45,14,9067,317,709,2
45,16,9733,298,381,2
15,20,7385,219,479,2
15,22,7396,268,705,2
60,10,9215,314,672,2
45,17,8219,258,698,2
15,8,7313,238,520,2
15,3,8760,291,457,2
15,22,8070,318,383,2
15,19,8168,215,652,2
15,12,7954,324,512,2
15,18,7419,208,597,2
45,9,9436,245,583,2
120,16,9422,222,699,2
15,1,7890,343,544,2
15,23,9815,333,647,2
30,4,8717,217,433,2
15,11,7896,267,627,2
60,16,8740,315,479,2
30,4,7709,344,505,2
15,20,9497,207,544,2
15,12,7169,269,611,2
120,17,8637,280,657,2
15,21,7602,230,685,2
15,12,9322,322,537,2
30,5,8653,251,619,2
15,22,8171,309,614,2
15,13,8935,223,568,2
30,16,8141,342,636,2
60,12,9015,319,569,2
15,12,7205,297,590,2
30,18,7781,329,663,2
60,9,8398,264,596,2
15,12,9801,311,657,2
60,3,7160,291,577,2
75,20,8265,223,546,2
15,12,9623,201,589,2
120,14,7406,211,408,2
15,4,9575,241,698,2
15,15,9815,238,542,2
30,16,7968,209,515,2
15,6,7435,201,661,2
60,15,8158,334,725,2
15,3,8670,282,611,2
60,15,8192,347,556,2
45,20,8599,240,445,2
120,1,9262,256,563,2
15,2,8619,269,392,2
15,9,8527,209,446,2
15,11,7944,233,381,2
30,21,8935,244,605,2
15,2,9407,268,459,2
15,16,9269,223,390,2
30,10,8254,325,553,2
15,9,7475,324,563,2
15,19,9138,306,666,2
15,17,7060,327,534,2
45,21,9912,333,678,2
15,3,7028,236,631,2
15,23,8707,251,521,2
75,3,9620,250,579,2
120,22,8853,297,701,2
105,23,8435,320,541,2
30,17,9480,253,527,2
15,22,9302,277,571,2
30,18,7807,306,526,2
15,14,7004,285,399,2
15,16,5543,104,265,2
15,3,3179,160,225,2
15,13,4858,108,133,2
15,15,6305,101,231,2
30,14,4801,130,231,2
15,8,4563,116,56,2
45,10,5470,116,332,2
30,2,3328,193,233,2
30,1,2727,198,324,2
30,8,5209,104,126,2
15,4,5473,165,332,2
15,1,2423,133,115,2
60,10,4892,179,153,2
30,7,2001,152,157,2
15,9,4813,163,312,2
60,15,4331,139,194,2
60,1,4530,175,25,2
15,16,5880,135,261,2
30,2,2961,135,119,2
30,11,5437,168,191,2
30,12,2644,135,326,2
60,2,3621,199,362,2
15,16,5954,154,115,2
45,8,3030,187,75,2
30,5,6534,195,68,2
15,9,2686,155,162,2
15,3,5237,117,76,2
15,4,2282,191,49,2
15,15,3055,111,194,2
15,2,6097,166,253,2
45,11,3460,102,300,2
15,4,4183,155,310,2
105,11,6471,113,100,2
15,6,3861,194,239,2
30,15,2440,104,16,2
45,15,6861,176,300,2
15,10,4194,161,42,2
60,13,4266,160,136,2
45,7,4431,178,82,2
15,3,3980,118,288,2
15,15,4397,165,33,2
15,11,2777,121,168,2
15,3,4239,178,258,2
15,6,2131,141,256,2
15,1,6391,116,164,2
30,7,6616,125,106,2
60,10,6297,100,244,2
15,9,6418,186,164,2
90,8,3457,155,38,2
15,5,2809,174,144,2
15,11,2433,112,350,2
15,8,3784,165,326,2
30,16,2711,141,81,2
60,12,4230,161,78,2
45,11,3140,103,10,2
15,11,6799,151,165,2
60,9,6789,122,15,2
15,12,6589,140,40,2
90,4,6189,187,330,2
15,3,6747,129,34,2
90,10,6038,131,92,2
75,1,6762,129,189,2
30,12,2868,118,287,2
120,1,4490,138,67,2
120,6,3175,162,61,2
120,10,6306,195,28,2
30,16,2041,144,170,2
15,16,6356,163,107,2
15,9,4612,174,251,2
75,15,3577,148,104,2
15,9,6306,134,114,2
30,14,3641,155,29,2
75,1,2711,178,93,2
120,11,5820,100,183,2
75,11,6346,151,92,2
30,10,6917,132,100,2
45,13,2814,163,164,2
15,8,2824,133,137,2
15,8,4238,151,292,2
15,16,2409,175,137,2
15,3,4310,132,257,2
15,6,6172,155,54,2
15,5,4461,141,266,2
15,10,2313,194,67,2
15,1,5843,142,192,2
15,6,5572,159,262,2
90,16,2312,132,280,2
15,8,2709,129,261,2
75,1,2363,148,225,2
120,9,3986,137,302,2
60,16,5507,152,155,2
45,11,4588,164,84,2
45,4,6324,189,159,2
15,7,5620,170,155,2
75,6,3166,142,225,2
15,3,5816,140,309,2
15,4,4183,131,51,2
15,13,2183,167,280,2
15,1,4642,113,169,2
60,1,5075,161,29,2
15,12,2957,192,51,2
90,12,4453,104,266,2
15,10,5505,129,210,2
30,7,3843,127,299,2
60,11,3037,113,111,2
15,8,3782,116,318,2
60,14,4715,139,365,2
60,13,3367,167,309,2
45,12,6346,112,118,2
15,11,6174,122,22,2
15,14,5041,100,293,2
30,12,5744,164,260,2
75,13,6385,119,13,2
15,1,3967,102,59,2
15,4,5238,122,77,2
60,12,3717,195,123,2
15,10,5304,142,50,2
30,3,2179,115,17,2
15,3,3886,136,76,2
15,4,3758,148,214,2
60,11,4065,104,89,2
30,16,4398,173,233,2
30,5,4121,104,38,2
30,1,2631,140,103,2
15,2,6854,138,82,2
15,10,6519,151,104,2
45,1,6328,123,320,2
15,2,2405,188,226,2
30,16,2797,188,230,2
45,1,5931,145,120,2
60,5,3728,179,322,2
60,1,5177,114,247,2
15,11,4229,176,230,2
15,10,2220,141,67,2
15,2,3248,126,150,2
30,13,3640,100,119,2
75,13,4023,100,196,2
15,10,4514,115,269,2
15,12,3695,171,17,2
45,11,2083,125,117,2
60,15,5405,183,352,2
120,8,5934,179,125,2
15,6,4312,107,51,2
15,5,6190,106,351,2
15,14,3791,160,239,2
30,2,3842,155,89,2
60,1,2151,105,330,2
30,11,6887,159,142,2
15,1,6437,108,98,2
75,9,6128,121,104,2
45,9,2762,197,3,2
45,16,2716,103,18,2
15,2,6582,135,305,2
45,16,4213,163,89,2
15,6,2249,161,324,2
15,16,5660,127,102,2
15,16,3618,127,323,2
15,13,5495,131,187,2
30,15,6026,132,222,2
15,4,5025,151,23,2
15,9,5104,139,97,2
60,14,4445,115,223,2
15,8,5596,128,15,2
15,16,5052,173,360,2
75,10,2854,167,350,2
90,3,3374,135,65,2
15,9,5396,178,140,2
15,5,5939,140,361,2
30,7,8409,299,711,2
45,9,9515,255,687,2
15,13,9918,200,599,2
15,9,7457,350,612,2
15,12,9040,334,696,2
90,20,8708,281,671,2
30,8,9074,222,700,2
45,2,9776,301,617,2
15,3,9757,212,566,2
15,20,9400,337,596,2
15,12,8655,345,699,2
15,18,7443,336,691,2
15,9,9673,248,523,2
45,15,9670,333,466,2
15,8,8223,285,448,2
15,2,7704,269,651,2
15,20,7533,314,465,2
15,11,8725,245,445,2
15,19,9405,329,684,2
30,1,8670,207,669,2
45,14,8120,266,436,2
45,14,8415,336,613,2
30,1,9437,207,569,2
15,23,7939,223,558,2
30,7,8732,220,457,2
30,20,8582,271,445,2
15,2,7737,346,559,2
45,5,9639,280,699,2
15,18,7221,313,541,2
30,19,7871,227,402,2
15,15,8539,287,695,2
120,21,9280,284,561,2
45,20,7816,208,601,2
30,19,9299,230,368,2
15,7,7182,243,582,2
45,17,9756,340,497,2
15,2,9080,231,408,2
75,16,7222,313,638,2
15,19,8328,325,403,2
45,4,7635,213,413,2
15,14,10000,238,688,2
120,6,7351,279,611,2
60,20,8402,322,506,2
75,12,8337,333,696,2
30,11,8681,320,680,2
15,6,9428,300,581,2
15,6,7689,221,683,2
30,10,9857,346,449,2
15,12,7925,269,559,2
15,4,8283,261,564,2
15,7,7338,249,588,2
30,20,8088,330,519,2
15,12,7789,307,622,2
15,11,9460,252,536,2
120,3,7588,303,547,2
15,16,8124,284,542,2
90,12,8265,218,432,2
15,19,7648,289,423,2
15,3,7973,203,500,2
15,14,9135,200,381,2
15,7,9646,316,371,2
30,5,7484,227,678,2
15,16,8204,217,640,2
15,17,7138,332,413,2
120,13,7545,275,613,2
105,5,8654,257,630,2
75,19,9590,337,638,2
15,16,9733,239,729,2
15,17,8527,268,688,2
120,3,9299,302,413,2
30,22,7246,245,376,2
45,3,8685,333,511,2
15,14,8360,289,641,2
30,22,9892,221,415,2
15,2,7671,316,535,2
15,15,8284,322,485,2
15,7,9411,274,715,2
15,1,9456,345,720,2
15,10,9230,203,453,2
15,1,9503,248,520,2
45,6,9504,261,498,2
105,5,7201,339,484,2
60,18,9286,293,712,2
45,10,8549,248,443,2
15,18,7775,281,680,2
15,13,8526,286,394,2
120,2,7302,291,403,2
