SALE_ID,INVOICE_TK,PRODUCT_TK,BILLING_ACCOUNT_TK,ASSIGNED_USER_TK,SALE_QUANTITY,SALE_COST_PRICE_AMOUNT,SALE_LIST_PRICE_AMOUNT,SALE_DISCOUNT_AMOUNT,SALE_UNIT_PRICE_AMOUNT,SALE_VAT_VALUE,SALE_TOTAL_VAT_AMOUNT,SALE_TOTAL_DISCOUNT_AMOUNT,SALE_TOTAL_AMOUNT,SALE_DELETED,SALE_PAID_DATE_TK
377C853D-759F-E99A-BB58-6055BDD5931C,3,844,10,17,23.0,1.76,3.53,0.11,3.42,0.2,15.75,2.44,78.75,0,-483
A036EC8C-967E-82F6-1F74-2743CD2A4E5E,293,309,73,3,96.0,0.69,1.38,0.19,1.19,0.0,0.0,18.55,113.93,0,-53
1D6C4A25-7F0B-133F-1D33-EC50C73DB30E,208,537,36,7,46.0,1.75,3.5,0.32,3.18,0.2,29.3,14.49,146.51,0,-497
B7BEF12F-F6A4-E0D3-0885-8F4271B544EF,221,1461,51,15,43.0,1.4,2.79,0.06,2.73,0.2,23.51,2.4,117.57,1,-201
62B28841-5CB9-492A-4774-790890A3B59C,125,1253,84,17,74.0,1.32,2.64,0.5,2.14,0.175,27.69,37.12,158.24,1,-495
22B560EA-AF26-F558-C7A0-298A4B814D5A,129,306,13,6,38.0,1.0,2.0,0.36,1.64,0.2,12.46,13.68,62.32,0,-590
C979AD88-E058-01E2-E905-9B9C7FF9F6BB,55,1271,19,11,51.0,1.94,3.88,0.12,3.76,0.175,33.59,5.94,191.94,0,-308
E59644F4-891C-A3D7-6033-59B25F731783,136,49,3,2,11.0,0.96,1.93,0.35,1.58,0.0,0.0,3.82,17.41,0,-290
0E43F9A4-56CC-825F-B02F-861D04C1113B,55,952,80,3,81.0,0.99,1.98,0.36,1.62,0.05,6.58,28.87,131.51,0,-308
1F3EC371-E9F1-E999-DE3C-41A6E96FD0C0,228,81,53,7,75.0,0.65,1.3,0.18,1.12,0.05,4.19,13.65,83.85,0,-672
BCDD7902-8B78-EB5D-A8ED-AA54105E48D8,108,1021,35,8,63.0,2.28,4.56,0.46,4.1,0.05,12.93,28.73,258.55,0,-646
D656702E-C723-AA8B-D0B5-A94351C866C3,57,837,81,18,61.0,1.86,3.73,0.15,3.58,0.0,0.0,9.1,218.43,0,-65
1DCE67FB-03D0-13B9-1167-E2206AEDE0D4,61,800,63,3,98.0,0.94,1.88,0.28,1.6,0.05,7.83,27.64,156.6,0,-103
A2291D88-C513-0EB2-1D0F-594C26DDBE6F,198,1404,6,4,80.0,1.06,2.12,0.32,1.8,0.05,7.21,25.44,144.16,0,-575
59446965-CEEB-320F-27B2-CEDB8B68118C,24,1544,40,18,67.0,2.32,4.65,0.74,3.91,0.0,0.0,49.85,261.7,0,-88
7BC266BF-488A-3983-2DC9-E44A2D07BFDE,271,1241,20,2,39.0,2.29,4.58,0.14,4.44,0.2,34.65,5.36,173.26,0,-271
951897EB-161C-653E-1E25-5B9A4ED99720,24,541,60,11,33.0,1.45,2.9,0.06,2.84,0.0,0.0,1.91,93.79,0,-88
02B381EA-C062-ABDF-72B5-161E69837DA9,178,122,93,8,6.0,2.16,4.33,0.87,3.46,0.075,1.56,5.2,20.78,0,-620
E8482E41-3EC0-3854-FD45-AC48D8B38977,236,550,46,1,77.0,2.48,4.95,0.74,4.21,0.075,24.3,57.17,323.98,0,-461
377B1B95-3715-0689-A80F-1827757124D5,143,54,44,19,95.0,1.4,2.81,0.42,2.39,0.075,17.02,40.04,226.91,0,-481
63358352-1B1B-DA97-CC64-CBD661475B4F,3,1413,62,5,77.0,1.0,1.99,0.28,1.71,0.175,23.06,21.45,131.78,0,-483
ED8AC06E-4C09-7714-0ECE-2C342923A86E,224,356,20,8,74.0,1.18,2.35,0.33,2.02,0.05,7.48,24.35,149.55,0,-215
9A6473C9-E2D8-3A92-4DE4-2EE2B3C3D4E9,159,1048,62,1,68.0,1.52,3.05,0.4,2.65,0.2,36.09,26.96,180.44,0,-619
A0F46E17-3B0E-1650-6E28-4F9FA0ED747F,292,540,56,2,54.0,1.78,3.57,0.71,2.86,0.175,26.99,38.56,154.22,0,-626
ACB4C791-5432-3490-10F8-B414437B5F46,90,1400,35,10,74.0,1.18,2.35,0.4,1.95,0.175,25.26,29.56,144.34,1,-588
A7D54212-1455-5BBB-1139-DAF729276241,299,70,93,6,30.0,2.45,4.9,0.54,4.36,0.0,0.0,16.17,130.83,0,-459
B77FDC0A-9C83-EA5E-23FC-93B5A3175E91,145,1457,27,16,26.0,2.28,4.57,0.82,3.75,0.0,0.0,21.39,97.43,0,-377
7CE1DECD-FB9C-3794-A471-906261F1F0BF,239,360,21,14,55.0,0.67,1.34,0.04,1.3,0.2,14.3,2.21,71.49,0,-384
E8EFD7A3-9181-323F-6812-B6FE6F86529D,174,1483,97,5,56.0,0.85,1.7,0.31,1.39,0.2,15.61,17.14,78.06,1,-144
C5BF7D2D-C0F5-BD28-7B58-9197DF167915,254,988,81,2,64.0,0.97,1.94,0.17,1.77,0.0,0.0,11.17,112.99,0,-689
2DEF6E94-4E10-D0EF-886F-67FF10EF76A5,261,1330,78,13,40.0,1.32,2.64,0.5,2.14,0.175,14.97,20.06,85.54,0,-22
5E958F0D-F9CC-7269-D01A-4F8BE2D40716,227,1172,36,10,22.0,0.92,1.83,0.18,1.65,0.2,7.25,4.03,36.23,1,-331
74599969-FFCB-D2B9-9DC6-0ED67A394EF8,271,733,50,2,84.0,1.29,2.58,0.15,2.43,0.2,40.74,13.0,203.72,0,-271
533699DF-4834-2005-17EE-8EEFA9D4194B,171,213,21,6,89.0,0.94,1.89,0.28,1.61,0.175,25.02,25.23,142.98,0,-508
9198338D-6D6E-AD71-E548-70996D57C50A,271,214,50,5,95.0,1.58,3.15,0.03,3.12,0.075,22.22,2.99,296.26,0,-271
E8BE8A63-7A12-BA6E-BE7D-7BBE8B14335A,199,1098,66,16,16.0,0.78,1.57,0.08,1.49,0.0,0.0,1.26,23.86,0,-317
0920E9D8-313E-70F5-93F0-EEC0D7ADC826,291,1351,25,15,3.0,2.5,4.99,0.6,4.39,0.05,0.66,1.8,13.17,0,-467
F7EF13CB-3542-898A-E238-FAA594B68790,142,1435,19,13,41.0,2.13,4.26,0.72,3.54,0.05,7.25,29.69,144.97,0,-308
887755EA-65BF-F643-23FB-4FDB293BBE25,257,135,14,18,90.0,1.12,2.25,0.4,1.84,0.05,8.3,36.45,166.05,0,-622
01617873-9205-5F2A-3558-C6728F0A9220,143,6,86,14,91.0,1.94,3.87,0.39,3.48,0.0,0.0,35.22,316.95,0,-481
5626FA5A-C13B-24DC-3561-7DA95163DDE9,276,260,17,16,11.0,1.36,2.73,0.35,2.38,0.0,0.0,3.9,26.13,0,-579
8EFB482D-8E6A-3557-1E17-33DD75DF86B0,283,100,64,13,86.0,0.63,1.26,0.1,1.16,0.075,7.48,8.67,99.69,0,-79
06D01340-AB2C-2E0B-0EFF-6F782CD66649,191,1049,13,12,14.0,1.86,3.73,0.15,3.58,0.2,10.03,2.09,50.13,0,-114
A450EC68-0EE7-8F83-DF0A-B0FBB080AD58,179,506,85,20,49.0,1.18,2.35,0.09,2.26,0.0,0.0,4.61,110.54,0,-698
695008D2-939F-9527-97D0-88FDB13AFAC1,15,1501,95,6,30.0,2.46,4.91,0.2,4.71,0.175,24.75,5.89,141.41,0,-417
5B50B810-2B80-4449-263C-1E8F08BE66E5,187,207,98,4,61.0,2.06,4.12,0.74,3.38,0.2,41.22,45.24,206.08,0,-460
9D6DFCAD-4C3D-409C-F329-5E2A38983F26,168,1106,68,8,21.0,2.04,4.09,0.53,3.56,0.0,0.0,11.17,74.72,0,-215
50886F45-B6B7-8C43-F911-65FACFDE4D1F,129,636,34,8,21.0,2.03,4.06,0.61,3.45,0.175,12.68,12.79,72.47,0,-590
AC3C6A34-C1F4-B790-6E37-D14EFB94D06B,145,904,61,14,57.0,1.77,3.54,0.42,3.12,0.0,0.0,24.21,177.57,0,-377
CFB9A147-4861-9F26-B1F4-E34F4B1947A0,174,1251,37,10,37.0,1.41,2.82,0.14,2.68,0.05,4.96,5.22,99.12,1,-144
FDE1C06A-37DC-FB52-514F-F577887AB689,78,1352,76,6,24.0,2.13,4.26,0.64,3.62,0.05,4.35,15.34,86.9,0,-29
566BADD4-65F3-1488-326A-8645CF39FB0D,98,1261,69,13,34.0,1.98,3.97,0.08,3.89,0.05,6.61,2.7,132.28,0,-299
6F1F8FF3-B5AB-DD10-6525-E5365F745FC5,291,573,54,8,19.0,2.3,4.59,0.41,4.18,0.0,0.0,7.85,79.36,0,-467
93374090-C2C6-A4C3-030C-E3D1045288E9,186,1328,7,20,60.0,1.88,3.77,0.23,3.54,0.075,15.95,13.57,212.63,1,-265
F575325F-76A4-C4BE-0853-AA9C6EB48B08,165,1504,95,15,94.0,2.18,4.37,0.48,3.89,0.0,0.0,45.19,365.59,0,-146
753DCBB8-7EB0-46E1-EC9C-C19A37BEC950,179,1394,80,19,13.0,1.51,3.02,0.3,2.72,0.05,1.77,3.93,35.33,0,-698
B5D134B2-E7ED-84DD-41C5-EC4C65283EF9,252,81,68,4,57.0,0.59,1.18,0.04,1.14,0.0,0.0,2.02,65.24,0,-212
223FCC08-65DC-40F2-4552-B4096BD92327,118,219,2,12,4.0,1.22,2.43,0.39,2.04,0.075,0.61,1.56,8.16,0,-275
140B9DF6-A7D6-847B-2F5B-4FB2EF775E0A,138,624,25,20,41.0,1.62,3.24,0.62,2.62,0.05,5.38,25.24,107.6,0,-282
2664B91A-924D-053B-CC0D-EC28A5689C3B,156,1108,34,19,17.0,1.52,3.05,0.52,2.53,0.075,3.23,8.81,43.04,0,-528
0F60F8D0-DE66-7F82-BC7B-08D3A2650FAB,135,1116,14,8,74.0,1.44,2.89,0.52,2.37,0.075,13.15,38.49,175.37,0,-258
EC98BFDB-AEA2-E7A7-F04B-26C2F91FCFEB,102,468,18,17,61.0,2.04,4.09,0.12,3.97,0.075,18.15,7.48,242.01,0,-279
549BE5AD-0479-8100-8B2E-A488361E2878,85,1210,93,12,31.0,1.39,2.78,0.06,2.72,0.2,16.89,1.72,84.46,1,-547
969C2043-F64D-C539-D443-56C64A112A43,275,77,90,13,73.0,0.64,1.28,0.14,1.14,0.2,16.63,10.28,83.16,0,-610
3E034724-A407-8247-863D-492C8F7653AA,71,884,5,12,35.0,0.82,1.65,0.13,1.52,0.2,10.63,4.62,53.13,0,-341
EAC15B6E-70A7-26BD-3304-9F3D0012DC81,109,1533,94,10,86.0,1.86,3.73,0.6,3.13,0.075,20.21,51.32,269.46,0,-561
293BE260-5F59-FA07-2D7B-F44A493FD3E0,215,683,59,2,51.0,1.2,2.4,0.34,2.06,0.0,0.0,17.14,105.26,0,-64
17EACB0A-7DF6-0564-42E6-751664883AC0,164,484,54,11,11.0,2.03,4.06,0.41,3.65,0.05,2.01,4.47,40.19,0,-701
F3D4467B-4E0A-8731-C381-0BAB3ADC3F9E,176,136,95,10,6.0,1.63,3.26,0.1,3.16,0.2,3.79,0.59,18.97,0,-326
2799449C-79F7-0D61-529F-9C38C2435D7B,231,587,66,2,87.0,1.72,3.43,0.41,3.02,0.075,19.7,35.81,262.6,0,-550
00FE6FA8-11DD-4049-FE58-1D3D87748CBD,117,897,69,12,35.0,2.44,4.89,0.34,4.55,0.175,27.85,11.98,159.17,0,-312
5A50AC25-8646-E944-1B8E-79B7A5F44ADF,78,105,14,9,23.0,0.8,1.61,0.05,1.56,0.075,2.69,1.11,35.92,0,-29
37FE0248-11CB-6510-5B07-F94A43571556,246,1308,56,18,18.0,2.27,4.54,0.54,4.0,0.175,12.58,9.81,71.91,0,-424
9AF5E10C-6714-372C-E905-706CC47F894C,230,1113,48,8,22.0,2.28,4.56,0.23,4.33,0.05,4.77,5.02,95.3,0,-383
95B95C3D-52B2-E752-AC9E-07CB14E5D912,275,951,43,7,67.0,0.8,1.59,0.32,1.27,0.075,6.39,21.31,85.22,0,-610
B1E8F6F7-C333-1FAE-81DF-90693B163A80,281,1166,18,17,13.0,0.53,1.06,0.16,0.9,0.075,0.88,2.07,11.71,0,-229
E403BFC3-4FC3-50AE-CCDB-19476E86C10F,127,1233,78,10,55.0,0.96,1.92,0.19,1.73,0.175,16.63,10.56,95.04,0,-8
5B71DEB9-1842-7272-BCE1-B4EFD960C0C5,6,100,1,5,82.0,2.43,4.86,0.78,4.08,0.075,25.11,63.76,334.76,0,-616
1AA88933-198D-87B4-5E9D-3E109DF4C8C0,162,389,40,17,45.0,0.52,1.04,0.04,1.0,0.05,2.25,1.87,44.93,1,-60
0157F10A-8B75-BCF3-01CC-0A560AFB5ABB,166,89,83,16,94.0,2.3,4.6,0.32,4.28,0.075,30.16,30.27,402.13,0,-448
7C40EF75-4149-25F5-CFC2-A0A06070E590,281,1368,19,20,78.0,0.98,1.96,0.29,1.67,0.175,22.74,22.93,129.95,0,-229
32AC47FA-62C6-9EB8-188F-E23CFBA87B87,104,235,58,10,14.0,2.31,4.62,0.32,4.3,0.2,12.03,4.53,60.15,0,-110
1E50909B-5A43-F69A-E8A5-9DD8776424C2,245,510,27,15,54.0,1.58,3.15,0.6,2.55,0.175,24.11,32.32,137.78,0,-440
21E6E8A0-1EBB-E4F2-99B0-DD73FA3708CC,270,364,36,10,46.0,1.64,3.27,0.46,2.81,0.05,6.47,21.06,129.36,0,-155
AE5FC6E7-0535-8479-6066-0C62886A3681,45,318,74,15,73.0,1.86,3.71,0.63,3.08,0.2,44.96,46.04,224.79,0,-288
CF5E1FA6-9900-BF1D-0A42-ECBB0ECDB30B,141,1110,28,9,51.0,1.02,2.04,0.08,1.96,0.0,0.0,4.16,99.88,0,-231
516CE6CF-7B74-DC82-1872-694988AC0411,298,1134,83,1,94.0,0.95,1.9,0.08,1.82,0.175,30.0,7.14,171.46,0,-222
E7936AC5-B5B9-50F6-503D-AF46FF084386,117,6,23,20,33.0,0.82,1.64,0.31,1.33,0.075,3.29,10.28,43.84,0,-312
CD96C351-A61B-5C8F-028F-1131C5C5DA67,26,592,25,2,63.0,1.94,3.89,0.58,3.31,0.075,15.62,36.76,208.31,0,-580
9D929472-9CC1-ED56-AA7A-327D16E82FE4,121,762,82,6,38.0,1.2,2.41,0.34,2.07,0.075,5.91,12.82,78.76,0,-716
246DCC43-59B1-A5A0-361A-D99D9BAB42AB,262,1306,71,4,97.0,0.58,1.17,0.22,0.95,0.2,18.39,21.56,91.93,0,-656
8E878FEC-8C50-83F7-8420-792C60BB280A,133,1133,88,8,77.0,1.65,3.3,0.2,3.1,0.2,47.77,15.25,238.85,0,-217
5705519C-7760-E51F-6EED-CA83C63609B4,229,108,49,19,30.0,1.32,2.63,0.42,2.21,0.075,4.97,12.62,66.28,0,-112
49E0BD81-545C-3CEF-37E3-4EEDBDDED49A,256,653,53,18,64.0,0.74,1.47,0.16,1.31,0.075,6.28,10.35,83.73,0,-570
B5B50C1C-3DF3-11DB-06FA-4F5B6A80894C,226,44,23,8,32.0,0.6,1.21,0.16,1.05,0.0,0.0,5.03,33.69,0,-39
5A3486A9-6271-E7E7-7655-87844A1F37E2,212,354,39,2,88.0,0.56,1.13,0.01,1.12,0.075,7.38,0.99,98.45,1,-489
D5A89149-3FC7-0052-F8CA-3F62955E18EC,131,96,95,18,92.0,2.02,4.05,0.32,3.73,0.075,25.71,29.81,342.79,0,-440
9809322D-199D-B2E4-8FCC-C18308E3299D,91,51,83,7,44.0,1.3,2.59,0.44,2.15,0.0,0.0,19.37,94.59,1,-208
2F508D44-C877-5B44-8A25-52B9236E8863,286,1125,28,13,16.0,1.34,2.69,0.4,2.29,0.2,7.32,6.46,36.58,0,-49
84F50336-5A84-1CDE-8FE5-4FE667F09E61,256,417,15,15,48.0,0.84,1.69,0.03,1.66,0.075,5.96,1.62,79.5,0,-570
9B22ADF1-CFA4-547E-7BDA-6A2F42CA4A92,104,1358,25,19,51.0,0.72,1.45,0.25,1.2,0.0,0.0,12.57,61.38,0,-110
70B3F8B3-36CF-E0FA-B07E-FBF9B21CB4B3,88,599,12,4,71.0,2.04,4.08,0.45,3.63,0.075,19.34,31.86,257.82,0,-595
B27A2AFA-EC9A-3C74-D63B-2E7DCB268760,13,642,4,16,45.0,1.02,2.05,0.08,1.97,0.075,6.64,3.69,88.56,0,-145
2D67B986-92FB-05C0-7430-E5CD709B3AA2,253,462,53,18,46.0,2.14,4.28,0.64,3.64,0.05,8.37,29.53,167.35,0,-667
B6AE790D-6C55-A4D0-3A44-DCF42E0406FE,148,1241,36,11,3.0,0.64,1.29,0.25,1.04,0.0,0.0,0.74,3.13,0,-596
A522589D-393C-1DB8-0A9C-836F712426E1,98,573,29,20,36.0,1.79,3.58,0.68,2.9,0.2,20.88,24.49,104.39,0,-299
ED218AA1-9645-329F-A877-F07EEB0CC608,17,1475,8,20,30.0,0.9,1.79,0.14,1.65,0.05,2.47,4.3,49.4,0,-555
6995D419-796F-6B88-C1C5-262C80B67A13,139,991,73,7,93.0,0.94,1.89,0.08,1.81,0.2,33.75,7.03,168.74,0,-140
F71DFA64-D26F-241F-2E5A-0EB863F07234,91,222,15,12,89.0,2.22,4.44,0.13,4.31,0.2,76.66,11.85,383.31,1,-208
031ECCEC-8B72-2302-8026-6C56BD5D1DEE,85,557,31,11,17.0,1.92,3.83,0.5,3.33,0.0,0.0,8.46,56.65,1,-547
9BB93E6E-FDD2-141D-311C-A7DCBF720364,38,242,95,13,15.0,1.02,2.05,0.27,1.78,0.075,2.01,4.0,26.75,0,-629
F47D5839-4195-6A02-FEF4-BA803D292A2B,91,288,31,16,25.0,1.96,3.91,0.7,3.21,0.2,16.03,17.6,80.16,1,-208
76C99C4D-562E-0933-D6C3-20833C680C02,253,166,75,3,61.0,1.23,2.46,0.07,2.39,0.075,10.92,4.5,145.56,0,-667
F83EA258-068A-0A48-04AC-4A3306D22DB5,150,455,41,3,87.0,2.06,4.13,0.83,3.3,0.075,21.56,71.86,287.45,0,-75
949040D6-B106-AE84-8862-DAB24688ED80,86,1018,76,1,100.0,1.32,2.63,0.24,2.39,0.2,47.87,23.67,239.33,0,-347
040FB26C-AFFA-322F-0F20-4141BF0BE573,272,1516,100,10,9.0,1.72,3.45,0.31,3.14,0.075,2.12,2.79,28.26,0,-665
268B284A-BB9F-D51A-CD6C-BF917EF1E68F,256,661,84,17,87.0,1.18,2.35,0.35,2.0,0.175,30.41,30.67,173.78,0,-570
1AB06756-4F93-574C-5C1D-2BB819C41040,223,255,37,16,53.0,1.94,3.88,0.66,3.22,0.05,8.53,34.96,170.68,1,-577
AE373B7D-AB3B-545F-36E3-4538376A8500,221,1365,74,13,63.0,1.7,3.39,0.17,3.22,0.075,15.22,10.68,202.89,1,-201
F63FD307-CA9D-E1ED-70DC-C832B65B392A,199,1043,81,15,10.0,1.82,3.63,0.58,3.05,0.0,0.0,5.81,30.49,0,-317
7097DCED-814E-0FDF-85CC-9E53AF4B4581,47,1100,69,2,34.0,0.88,1.76,0.16,1.6,0.0,0.0,5.39,54.45,1,-484
C90D09B7-0303-1EA3-1159-0A40431115A5,203,1141,100,1,92.0,2.44,4.89,0.59,4.3,0.175,69.28,53.99,395.89,0,-691
C00A062B-C9AA-D966-14D1-44ED79F121FE,66,867,88,20,14.0,0.7,1.41,0.21,1.2,0.2,3.36,2.96,16.78,0,-340
C5DD4E80-25AB-5124-85FE-3B1D695265D7,243,382,27,7,2.0,1.92,3.83,0.08,3.75,0.05,0.38,0.15,7.51,0,-129
E48E88FD-03E3-8985-649A-2A05D04CDB93,72,527,85,10,73.0,1.43,2.86,0.09,2.77,0.075,15.19,6.26,202.52,0,-84
52F91F28-E5B7-8DD9-DD7C-8DED62FAA9DC,74,1245,62,5,35.0,1.06,2.13,0.13,2.0,0.2,14.02,4.47,70.08,0,-578
F8642C4B-2146-FF30-D446-950B4AF9C1A9,141,211,22,10,8.0,1.56,3.12,0.37,2.75,0.0,0.0,3.0,21.96,0,-231
40789759-F333-FB4D-4FB8-ED23512526EF,256,1222,6,3,85.0,1.07,2.14,0.3,1.84,0.2,31.29,25.47,156.43,0,-570
A16478B1-AA00-8B03-CC94-ECFD7663C2FA,20,1006,75,5,66.0,0.6,1.21,0.21,1.0,0.2,13.26,13.58,66.28,0,-385
1F9028E3-078D-A879-35A1-E0EA6C1A5EA6,281,944,63,15,75.0,1.62,3.25,0.2,3.06,0.0,0.0,14.62,229.12,0,-229
E61AB2CE-DEEB-60DB-13D9-D1B207E53D7A,78,1175,31,11,89.0,2.42,4.84,0.44,4.4,0.0,0.0,38.77,391.99,0,-29
A8BB91D3-C15C-4FF7-33ED-2164B1AAB730,278,691,38,1,39.0,1.43,2.86,0.49,2.37,0.175,16.2,18.96,92.58,0,-135
86BE4217-A74E-3C26-8E8A-260469D2D470,200,882,19,20,50.0,1.93,3.86,0.73,3.13,0.175,27.36,36.67,156.33,0,-146
D87276E5-4CED-468F-B85E-02073E51E228,13,1027,68,4,28.0,0.84,1.69,0.15,1.54,0.05,2.15,4.26,43.06,0,-145
1234188F-CDA3-1CA3-E889-60EA6A4E4E4F,85,763,23,1,15.0,1.88,3.76,0.68,3.08,0.0,0.0,10.15,46.25,1,-547
F78F9B45-5ECF-888D-5103-65AEBE8DE952,45,602,42,5,21.0,1.63,3.26,0.42,2.84,0.175,10.42,8.9,59.56,0,-288
71666E1A-1827-8BBF-642D-185F7033355E,275,1094,52,7,22.0,1.63,3.26,0.62,2.64,0.05,2.9,13.63,58.09,0,-610
EA986F90-8ADC-3278-AB17-3B75C447746C,243,1331,31,5,33.0,2.02,4.04,0.32,3.72,0.175,21.46,10.67,122.65,0,-129
E8B57F35-D4CA-1D5E-DC05-CA4600D59D3C,89,1372,56,10,63.0,1.72,3.45,0.21,3.24,0.2,40.86,13.04,204.31,0,-526
68904442-FFC2-73A4-FF4D-A680D1E496DC,297,983,82,5,54.0,1.1,2.21,0.27,1.94,0.075,7.88,14.32,105.02,0,-66
EB41B3E9-D595-C8C7-6ABB-1AF499D91D11,275,239,93,5,15.0,2.38,4.75,0.29,4.46,0.075,5.02,4.28,66.98,0,-610
A87C5D17-830C-67E7-6E81-E23A92E0D77B,88,1439,2,20,41.0,0.72,1.45,0.03,1.42,0.0,0.0,1.19,58.26,0,-595
A5BEF165-1C1C-B371-D9D7-4F0E7A1640D8,160,1522,74,17,66.0,1.48,2.95,0.38,2.57,0.075,12.7,25.31,169.39,0,-687
E6B155AF-CE72-9E1C-D4FD-FEF32E18E0D8,101,1428,41,10,84.0,1.94,3.87,0.15,3.72,0.075,23.41,13.0,312.08,0,-439
A1250214-D4AF-AD54-F17B-A1F8D12B517B,134,71,28,5,15.0,0.68,1.35,0.05,1.3,0.0,0.0,0.81,19.44,1,-573
A7867803-5CBE-98FD-1607-3BCF061FC2B9,11,626,93,14,41.0,1.56,3.11,0.56,2.55,0.0,0.0,22.95,104.56,0,-653
17167DA0-A6B8-F10E-878C-9FCBDF3F2936,168,1488,71,16,52.0,0.84,1.69,0.32,1.37,0.175,12.46,16.7,71.18,0,-215
EB7CDB2D-328F-8623-3300-AA0F119D33AF,231,452,52,1,27.0,0.53,1.06,0.02,1.04,0.0,0.0,0.57,28.05,0,-550
03218E2F-7A95-9EB9-F8F7-4EB2272F8F0B,169,1121,72,11,38.0,0.58,1.16,0.2,0.96,0.075,2.74,7.49,36.59,0,-464
16B9849E-3FE1-177E-CA49-F5F592EA1AC9,84,164,69,9,6.0,1.14,2.27,0.39,1.88,0.075,0.85,2.32,11.3,0,-403
757DC33F-205F-FBF5-447B-955302865AA3,96,427,21,17,94.0,1.22,2.44,0.02,2.42,0.175,39.74,2.29,227.07,0,-482
29BD9508-CDBC-7673-1976-E8C859B0AC28,197,1363,16,2,38.0,2.31,4.62,0.23,4.39,0.2,33.36,8.78,166.78,0,-409
67FA1D9A-666D-304B-14C3-E0EED0C530D4,50,1214,27,17,21.0,1.67,3.34,0.3,3.04,0.05,3.19,6.31,63.83,0,-570
050175C8-457F-4E81-E162-626C0A0E3A5A,287,302,87,17,6.0,1.86,3.72,0.63,3.09,0.0,0.0,3.79,18.53,1,-705
A1B53AD7-F1A7-ECDC-2A27-5891150483C7,51,1064,92,7,75.0,2.1,4.19,0.71,3.48,0.2,52.17,53.42,260.83,0,-296
9D89BC7E-8DB1-64B0-CA63-A74695CAD18D,264,106,81,3,22.0,1.01,2.02,0.04,1.98,0.2,8.71,0.89,43.55,0,-188
B11A5850-EAA5-322B-8BDB-E69EC2B9A942,3,239,7,14,5.0,0.71,1.42,0.13,1.29,0.2,1.29,0.64,6.46,0,-483
1DEEE720-B4DD-20AB-0211-9B1C7D4E3279,227,544,68,6,70.0,0.94,1.87,0.11,1.76,0.0,0.0,7.85,123.05,1,-331
73BB0DB4-4DE2-EA41-475E-369DCAB6DCEB,288,1445,56,16,38.0,1.24,2.48,0.27,2.21,0.05,4.19,10.37,83.87,0,-64
258CCB6E-99CA-FA52-7347-35FF9EB78D45,188,169,12,13,69.0,1.31,2.62,0.05,2.57,0.075,13.29,3.62,177.16,0,-553
81DB4799-2112-AAED-403E-3875729493CC,128,301,8,20,64.0,1.52,3.03,0.45,2.58,0.05,8.24,29.09,164.83,0,-78
6C19324E-CF19-8F78-D2DC-7A611DAA097A,28,1023,17,19,14.0,1.16,2.31,0.23,2.08,0.075,2.18,3.23,29.11,0,-528
