INVOICE_LINE_ID,INVOICE_LINE_QUANTITY,ASSIGNED_USER_TK,BILLING_ACCOUNT_TK,INVOICE_LINE_DISCOUNT_VALUE,INVOICE_LINE_DISCOUNT_TYPE,PRODUCT_TK,INVOICE_LINE_LIST_PRICE_AMOUNT,INVOICE_TK
5B0B3909-A466-E843-37C2-145B85ED981F,1,18,48,7,Pct,765,3.94,171
27E821A3-CA65-0382-C2CE-D61E7B6A387F,59,11,64,0,Pct,1154,2.71,288
64D7C93D-9E24-8D66-99FA-5536E1D60067,18,13,51,16,Amt,227,3.98,231
6413D4F0-4ABD-D0AF-088A-086B1B7E7F0B,9,10,34,15,Amt,26,2.24,56
F5487A08-9D62-9984-81B5-CF059CB9A9EC,60,19,94,8,Pct,94,4.86,187
81CDE2B5-B631-8767-C664-CBACE8BA0793,70,7,91,3,Amt,1223,1.19,247
BEF4B93F-0750-3BBF-28B4-22841388C5D0,74,5,58,13,Pct,1124,1.07,42
120FC1EE-AB3E-CC7E-AE96-853722A4CDBC,7,11,47,3,Amt,1121,2.43,269
30BD85AF-6E95-5F96-822D-515D71D103C7,58,8,34,5,Pct,230,1.80,191
10C505A4-90DD-85C8-91B8-8855340A0322,25,17,37,6,Amt,1030,4.02,174
C9E06429-CE89-D559-772D-AD3AF0FE23D3,96,15,65,20,Amt,271,4.34,62
CBAB70EE-5E4B-4A1B-5261-DD3009059327,96,17,49,20,Amt,684,1.24,177
2FDBC3DD-ED85-78CD-C148-2DBBF65F6D49,51,8,30,17,Pct,915,1.91,39
B53431CD-E9C5-9578-6AB4-7122FD18302E,55,4,55,10,Pct,1139,2.98,9
701B4FD1-8265-5D6F-6850-2CEF16BB0518,99,8,87,4,Amt,120,2.05,143
C109B34D-D1C3-0A80-93E2-47545DF77491,74,1,71,11,Amt,754,4.18,37
8649B45D-CA41-888D-C9BE-BAD2C64814C0,81,14,14,17,Pct,1481,3.38,37
C16F7B19-C141-9168-CD1F-A3084496F452,50,2,23,2,Amt,1278,3.85,278
E2D6D11B-787C-8A68-C37A-4FF06AA1F057,36,2,50,14,Pct,1106,3.71,197
307017D1-67C3-4DD5-752A-FDC7ABC15A2E,9,18,68,13,Pct,1242,2.46,3
A1DC9B2D-F146-AF1E-C12E-BCC828664898,88,2,3,8,Pct,1247,1.46,136
188BE818-A9B4-8C1F-7529-AA27828EADA4,5,18,89,1,Pct,225,4.23,260
FCB9B33F-5AC4-F855-FB5E-725E217E95F4,59,4,27,8,Pct,1147,1.71,22
E600FA13-5A77-81C3-0C4E-498F7BD61882,10,12,78,13,Pct,950,2.72,283
A74AB420-C48A-5154-C22D-1757B8FAD2EB,65,3,60,9,Amt,11,3.80,247
E258CAE6-FA9B-3C62-D58C-7FEDF0E6D85B,51,1,50,7,Amt,491,2.93,63
BB90C3DB-02CA-D1E3-967B-9B485A2F4EF2,92,19,82,18,Pct,179,3.33,262
C3CB3F7A-74BA-6839-6979-83A18F810CF4,9,17,73,15,Amt,1356,1.36,6
CF42350F-5421-30E9-1AB7-8013E52A18E5,16,9,1,15,Amt,954,3.73,87
0BA6700D-E190-90B4-B05B-9D6782FBDE28,58,16,83,13,Pct,1525,1.78,296
14CBB54F-9E0D-4E99-C3DE-3692E59DEC47,96,13,82,3,Amt,1053,1.43,37
1CDDB498-BE90-C3E0-F828-E70C883059F6,34,2,44,9,Pct,350,1.74,238
18120076-A7E5-6F71-F6A1-51C43E6A629E,14,3,73,15,Pct,1530,2.05,140
7AC0DC74-5DE5-9293-9D82-A31A2B0CBFC6,32,15,74,7,Pct,771,1.73,162
4CE0D337-091F-5971-0556-CFA2C942E86B,55,10,38,11,Amt,1060,2.36,206
2CB6E4CF-12CB-E660-9BF0-70D2E605CF64,87,20,76,5,Amt,1032,4.78,103
EC2FEBFB-4257-3B5C-DA6B-942E98B8C4E0,69,7,63,16,Pct,696,4.17,50
EF917BF5-819E-3E90-031D-249CB845BCAB,85,16,12,1,Pct,1546,1.42,26
E5333612-379E-FF4C-41E6-82C33EB32DA1,35,18,68,6,Pct,1364,2.03,126
2F300F2A-8ECC-9E88-B4D8-C09268AA0061,88,8,44,14,Amt,1351,3.20,89
93DBC49C-5270-EE61-827B-42110D1FF49B,78,6,34,17,Amt,761,1.40,127
8E0FA284-D927-2C15-1862-7F3FF1E9AF47,78,15,6,13,Amt,434,3.14,102
ECEADE61-53C7-702F-14B1-075E09B82FBA,64,8,15,1,Pct,1466,1.84,120
2B763AE1-29CE-9F6A-D0FC-C095C81CD8C4,87,5,34,19,Amt,319,2.71,245
87105ABB-6358-ABAD-D1F2-8080AB25465E,97,16,56,12,Amt,188,2.89,291
7AEE457B-4A96-6ED5-5C69-7BB7B2204E68,39,18,57,14,Amt,635,2.03,272
E8F64C37-C94B-6391-3931-F678AC5DFAD0,74,19,65,15,Amt,496,2.03,268
6F4FEC28-566D-8DB0-C7C6-D13225D2EAC7,79,6,6,18,Pct,889,3.37,49
00CCECA1-2A7B-497D-397B-0AFE596E039C,50,16,83,4,Amt,550,4.21,252
078428FC-A4F6-179E-8CBF-6C9EECB9E875,4,6,71,4,Pct,235,4.56,46
9832EFE1-3562-971E-708E-A188AAF79D2B,35,18,30,15,Amt,184,2.05,8
F9E0988A-4F96-B40E-5BBA-52B102D0CCD5,14,11,12,12,Pct,1468,4.29,204
4A52063C-1AA5-3D41-D2DE-FB9055A9825D,3,19,79,7,Amt,6,2.13,152
DB9C8347-A667-D0C2-8B58-226A4BD87C72,44,20,65,0,Pct,1559,4.31,14
8ED2A309-D105-596D-DABF-C93289CE1FDF,97,20,5,2,Pct,584,2.73,207
13C20315-28E1-C484-06E7-BF76E5C7C7A2,54,4,69,3,Pct,477,1.53,34
0CA66463-42B3-0AE3-EC9C-B99E354C6A07,8,19,54,11,Amt,149,4.68,236
9B058E96-A459-8159-5576-3A896738E25C,43,5,92,0,Amt,631,2.79,10
63B0116C-9248-E5DD-F001-A47EC1663614,5,9,66,2,Amt,827,4.98,199
77B153AA-A79D-F094-8A12-11A185CA792C,42,4,79,13,Amt,605,3.95,107
2DF012BF-CD2D-D708-081E-40060496FACD,89,13,96,6,Pct,190,3.80,64
27FF538D-0126-370C-767A-90ED4AA25A3C,85,8,12,16,Pct,1486,4.93,213
BE8B17AF-E7BE-ACCD-3193-4057AC74F795,22,7,52,15,Amt,1469,2.19,59
3EB89E6A-170E-5A7E-C2B4-9481927AAF8E,10,3,99,6,Pct,701,4.87,151
5AE95B0A-FB6B-D93F-9816-D80130ADE645,86,8,93,6,Amt,834,1.82,143
E7769C78-325B-129C-A754-4C39D15740D1,95,3,67,16,Amt,397,2.41,195
0003F4C5-C64E-9E61-EE13-4B9DFE03D2CC,61,14,11,16,Amt,756,3.94,244
DA07132B-F9BF-95BF-F4D0-0BFBF419CF6E,11,3,16,15,Pct,1529,2.67,188
E5E2EB82-AEB2-7E97-6B2A-FA6CE55914C4,34,9,87,10,Amt,1053,1.85,234
BD19D299-C8C1-754A-E505-F6066C2AD566,96,18,94,9,Pct,1252,2.16,32
19C83753-701C-B72D-49B9-3E23C599E677,39,5,70,6,Amt,88,2.70,86
E2AC064F-F209-0009-B5D0-FA045DF97F7D,46,15,96,6,Amt,748,2.95,175
A9F2B367-577E-FC59-EEF8-7B06512F212A,45,17,69,14,Amt,679,4.41,6
861D4C9B-7BE7-F1BD-1F05-7B8EA696329E,1,16,34,14,Pct,318,3.40,297
CDF641BD-627E-2FDB-06C9-F94046C0AAA5,58,14,3,16,Pct,216,3.78,53
6FC6ABC6-772D-1344-E8F4-0E0FED6E970C,86,6,15,15,Pct,1277,2.06,148
61930BB7-BEF6-7D44-021F-337CB4EAAE78,13,13,86,17,Pct,1120,2.67,136
E6E2AB6E-C43F-67F8-BB47-1097725DBE83,50,14,57,0,Pct,1367,4.54,93
E615AAB6-90B3-3D0A-7B1A-21FDFBCD4A07,98,19,35,11,Amt,1368,4.58,116
3110D06F-B5C3-F6FF-A558-BA7BEDDE1116,71,11,93,10,Amt,420,1.84,228
10584B45-7653-DF00-FF12-D5CD0909772D,41,8,76,4,Amt,985,3.84,63
3B850BF0-DAEF-C1DC-AD29-E4F4E7C9A391,27,19,46,12,Pct,1495,2.19,201
13BFE10B-5FF0-B2CE-EEB5-AD9D417CF069,35,12,100,20,Pct,1320,3.52,127
8892BF77-E7F9-BE11-CF81-AB3D9FADEF30,54,3,49,3,Pct,607,1.69,150
FA78BA2E-7A2B-6BEB-1BC7-83907064424C,9,15,51,13,Pct,778,2.84,48
46EDFBB6-3302-5776-D9BF-91A73BE5F858,49,20,94,13,Amt,834,4.91,67
434C0B7F-052A-CC9F-905F-A19AC90D71B3,64,8,26,16,Pct,39,1.11,8
8A3FA781-1191-5F85-1EB5-240998159E16,13,7,79,11,Amt,1114,3.21,222
719124A5-8314-78C7-7008-85E22E6F94DD,77,14,30,1,Amt,450,4.85,208
9160A72A-52F0-8A64-C412-C81DA4CCDD99,66,16,8,6,Amt,307,4.93,124
AD8B6A5F-3994-7F0B-FD9A-97AB9C1DE5C5,63,1,58,14,Pct,78,1.34,202
E5D01435-6EC2-7CD4-90FB-B611C267BACE,91,18,75,15,Amt,249,3.09,208
D959B565-1752-F9DB-2DD8-05F51F455CD2,59,18,34,20,Pct,1478,1.19,126
807B7B4C-7F77-9395-741A-E71773960E5A,57,10,64,13,Amt,566,4.17,211
CD98416D-698B-4190-EDB2-795405ABEFF0,49,2,100,0,Amt,151,4.10,3
5FB7AB85-AEF0-01A0-528E-D633ED09CBC0,20,13,86,8,Pct,1087,1.74,174
D3307833-EB4F-595A-3487-970D49D5ACFE,16,20,2,13,Amt,662,1.88,111
09F03F25-054A-D6D6-AD91-A83499FCFC88,100,7,4,9,Amt,449,4.27,155
1BA0A4E9-DDE1-CA87-4F5C-F41B581DA9A3,87,3,30,5,Amt,1480,3.36,272
05AFD9D6-9C51-D44F-9A75-D7F3C3D3872C,45,1,100,5,Pct,565,4.21,175
D216F792-2801-9AD1-25D6-674117A7503E,16,8,63,12,Pct,578,1.26,25
3471059B-535A-FA8B-14EB-507FBEFB484D,93,1,48,17,Amt,1365,4.91,267
28B8783E-2416-9D8A-24C0-69B449B0A935,66,13,94,3,Amt,1286,2.06,250
85A6E729-3B60-516B-1E8E-43E50E77777D,14,12,10,15,Amt,963,4.23,106
B3F09601-F894-A86F-4F2A-E4342F93E487,89,15,53,13,Pct,23,2.10,40
0EB764F7-DB7A-1063-3E10-A6B55B81E668,35,10,89,12,Pct,299,4.30,232
C6D1FA1E-7F54-5B5E-EE2A-F9116819DECE,59,6,67,17,Pct,1552,4.24,56
A0F12473-D9B8-B515-690D-5894BE2FA066,97,14,22,15,Pct,1075,2.69,278
ADF35B48-BF52-571D-D2F7-3420C6F70521,29,13,14,7,Amt,1401,2.26,62
BB113219-1EE1-95FD-502D-1DE5926AD52D,55,15,53,16,Amt,98,2.22,76
0792EF03-E94A-95DF-935A-D790961909C3,78,18,83,15,Pct,373,2.49,133
B6EA02C5-45AA-8383-D894-29848429E4BF,47,9,20,4,Amt,1047,3.70,195
CF6A9BBC-1269-3B3C-3B7F-532497AB8AB7,23,16,92,7,Amt,708,3.60,262
20875E53-7A48-0BF4-3B61-534C4BEBDCE8,11,6,87,5,Pct,1453,1.05,104
F94F3A67-29A2-A18A-AAB1-4F862E733790,12,1,9,1,Amt,313,1.74,299
2675B2B0-52F1-F111-C1A0-8E295C5BDDD0,30,20,6,9,Pct,812,4.15,54
73242AFC-A06E-2BD4-05D7-626677A4938A,42,1,45,4,Amt,795,4.01,50
C3752B9A-9C4A-6307-F1C5-0A0E718AF927,29,6,47,20,Pct,76,2.03,29
9B184A1E-A2B1-6064-4490-E1E185C486F1,2,19,27,16,Amt,821,3.93,87
67D8275C-4DA0-966B-7DA4-DFA5B55437BC,51,4,62,4,Pct,1055,2.07,82
8DAA8632-596F-94FF-32A2-BFF9F46D3721,75,5,75,8,Pct,1297,2.92,125
C25BCDC9-31D7-B6DC-3324-E89565F5ECBC,41,7,96,9,Pct,52,2.26,89
C5E8B4FA-C6C0-CC13-6FFC-B34E486763F6,79,4,67,2,Pct,360,3.08,6
09AA34A7-2C49-60E2-A783-A8EFF52A9068,16,19,77,13,Amt,144,3.15,97
9C5A079D-9A6A-87BF-6AD7-586C07DDE8A0,72,3,2,6,Pct,1342,3.26,152
70211815-BE1E-76A8-A711-43BA833B683B,84,15,5,9,Pct,1240,1.34,188
92336426-7AA4-585C-B271-1EE9D9F855E6,94,10,73,13,Amt,249,3.31,77
B5FEB57B-0B96-977F-FBD0-426AD16D3544,13,15,2,5,Amt,1246,3.48,265
4B5CD550-561D-8505-FB4D-0B2233939160,85,15,82,5,Amt,1338,3.39,47
38095A35-FE4E-C5C7-2C7C-D5BE19E4D841,52,7,89,10,Amt,26,4.03,237
29F40CC9-26B0-CD7A-3701-8BC0CE9FB8D1,15,15,24,15,Pct,650,2.88,16
6D9CEFFB-2B27-6D42-CC3A-E9DB57C0DF4D,66,20,6,19,Pct,540,1.21,163
36045D52-FC33-5C4C-F266-FC9CF139FE40,62,18,48,9,Pct,1077,3.62,199
BCC7528E-D80A-A40B-F347-B965AF1ED68F,50,6,17,14,Pct,313,3.08,223
A0C85AB3-AD91-8F22-0667-56A2C8FFA17C,17,17,67,8,Amt,541,1.29,239
89C9179B-133D-10FC-90A3-4DDA8F04FE64,53,5,35,2,Pct,885,2.81,76
92C2D543-F9E2-3C76-05D9-BB24F651D855,2,1,68,2,Pct,1366,3.96,77
C246BABB-01F6-1A4B-1A5A-FB00A31BE563,4,16,90,14,Pct,983,1.05,154
91E41A91-D59E-8622-3A83-FC53B10F2611,99,6,95,2,Amt,749,2.74,224
F928BD67-B186-88E8-1B5A-2FE0698CFC4D,46,14,63,4,Pct,1551,2.85,258
BE47CC1D-413F-2FB6-E11C-C9C98384E4C2,86,3,28,20,Amt,569,3.37,42
2356F104-90CB-796C-08A9-6A9D466B84A2,79,1,59,0,Pct,248,4.46,23
9FF87106-17AB-E73F-7580-843E9F5BAF26,56,8,90,16,Amt,1237,2.02,84
9AF0732C-0E7B-1A98-CF37-881AC45A3FA0,39,1,23,14,Amt,326,4.84,134
0C4E099B-46B6-0269-2186-2AB737EC5A22,61,17,47,12,Amt,56,1.95,65
EE2E2225-7A2D-BD27-C9C2-59771260008E,82,1,66,6,Amt,1189,4.41,74
68BD5685-5FD1-9415-4FCF-EFAD4064F265,58,11,77,6,Amt,1075,4.97,20
16C6278D-BFF5-8B3F-A7D4-3A709F5CB6E8,80,14,61,1,Amt,416,3.68,155
39ACA7AF-FE59-E075-6395-895E854CFCA9,36,7,57,0,Amt,496,3.54,188
ADD29FE1-6C4E-B945-73E5-C72DE49D0225,27,19,30,14,Amt,578,4.29,202
51114671-4C93-6497-F19E-C86868AF6122,26,14,81,1,Pct,476,3.24,141
DC03F4A6-CAB8-7B19-5BE4-BFBC847E37CF,2,1,80,3,Amt,1447,1.00,17
44EF4B56-C5BA-76D7-8923-2D590309F46F,81,4,87,6,Amt,402,4.22,234
2C7CDD81-B8DA-2B64-0E2F-F7FA62DC6267,48,19,15,14,Pct,408,2.01,298
510637AB-30FE-85F9-504F-FB10877D4D0A,19,17,98,9,Pct,427,4.33,169
0D701223-4B44-ABAD-9B85-6121017C40D7,57,10,99,1,Amt,1325,3.73,272
7D71802A-AD19-3A68-364C-2764A2C39912,33,13,30,7,Pct,1334,2.34,43
43DC81E8-BA32-F8DD-0FD1-972A2429DB5D,71,5,84,18,Pct,1232,3.97,63
124030E0-AAFC-253D-573F-2C84EB86C415,82,2,78,13,Amt,216,3.47,168
79FD2D7A-97F5-EDA9-7FC6-1D98BDE14174,15,18,35,14,Pct,618,1.77,231
246A5945-C5DE-FC91-396B-B88AEE28867C,8,15,2,0,Amt,86,1.04,191
0A3994B5-94FF-44DE-7734-A85A8EFCA665,18,10,42,7,Amt,353,3.54,249
EEA8F0E3-E0E0-0667-D14D-CB964F3E4298,31,11,51,11,Pct,915,3.87,47
ACE1AEF6-907D-D4FE-33F9-90E0060871B6,82,7,60,17,Pct,75,1.41,68
B965F7C4-F0CC-E9DE-2C62-82842DB2701D,81,3,73,5,Amt,1231,2.55,207
39A74F3D-3768-46BE-1BC5-CB8E1E3E9B6C,93,6,90,1,Amt,1426,1.25,69
3860E7FE-CB34-8EAE-0C98-6FE83C228C02,97,20,20,13,Amt,644,4.03,1
1339B166-3C72-F86A-68E2-4D00BAF2B3A9,85,17,6,10,Pct,585,1.36,24
381EC392-4951-08AB-C454-A32A3A4CAE39,35,5,4,18,Amt,901,4.81,157
72655011-7971-5215-C370-C3AA5E3A5BAB,7,2,38,7,Amt,402,3.70,50
3FAFB7EE-BEBA-5A57-0942-848D3755003C,67,14,92,7,Pct,1132,3.34,181
138D5B23-AE91-096D-F55F-6BCF360A60A7,57,18,12,13,Amt,181,4.45,93
F2D1925E-452D-1686-3EBE-0D0956953045,25,11,32,6,Amt,1385,4.45,21
CA8396DB-9B62-3F88-5E51-4B4075B242BC,43,10,45,15,Pct,106,4.68,289
996CF560-2C27-4999-8227-61EA4777B427,19,17,62,14,Pct,1470,1.77,134
F9270DEF-277D-1A6E-8831-3354789DF4C9,14,11,77,1,Pct,719,2.69,261
28F5B5FA-553A-54B7-9C4A-515A3FCC4D05,52,11,84,18,Amt,865,4.72,8
E2403799-633B-8501-819C-A1DCEE42DF5B,13,11,5,19,Pct,591,3.27,150
DD263EC7-4AA4-A22B-ACD9-D0D6232FCAD5,19,15,70,4,Amt,256,3.10,158
8BB37F4C-B0E5-D07D-0402-522473545F99,49,14,88,7,Pct,671,4.79,126
90AC8174-ADA4-44C0-8A9C-C4450C3E2DE3,19,11,18,0,Amt,626,1.66,188
81125F33-5EE0-FA45-DF24-D187317E7575,87,11,20,16,Amt,1103,2.75,264
6C964002-E773-9AC2-86C8-6EDE37B33885,42,9,27,18,Pct,68,3.20,184
466123A7-FC4F-8BD3-D05F-95E011D067E7,51,9,17,5,Amt,449,1.57,200
BDD99454-5DA7-FE06-45D1-AF8545605A59,75,11,20,15,Amt,231,2.69,69
22F245CD-4E36-E997-CCF9-8A211B6E9951,87,18,1,12,Amt,557,2.03,190
ED6C1886-4371-6BF3-2F2C-A17D6D72817D,92,1,14,8,Amt,1461,3.48,161
8EF04BAF-C7DA-C7A8-8A9B-12E92007CBE3,6,18,39,3,Amt,1333,1.95,92
187EAD1F-4DC9-088A-AD9A-81015875E577,1,1,89,15,Amt,451,3.02,258
B0477220-DC89-D0FD-7B92-121E30FB2B92,86,14,58,16,Pct,1008,1.18,162
69F3AA99-FE31-31BC-A143-53D36BD6B6AA,100,14,47,1,Amt,1344,1.77,165
89EA5BA4-4DD5-BF57-10E3-E19B38DBDD2F,32,1,91,7,Amt,271,4.61,7
2786B0FE-F4D1-FAFB-8059-8E0CFD94FF8A,10,5,75,14,Amt,355,3.59,203
8858C78A-DD4A-8776-0E04-72BBD5B83E2C,99,2,10,10,Amt,874,1.63,66
42A743C8-7F6A-D7F5-2D95-2BA146B599E4,42,3,13,8,Pct,1226,1.48,36
1C67A945-9769-5747-3C36-C64198492D54,27,1,82,4,Pct,1287,4.13,175
EDD89C0D-519A-0350-29D5-F2060414BDC9,72,11,40,15,Amt,323,2.27,121
CD030A66-18B4-44C4-BA55-3FCC3FFF57D7,6,12,25,0,Amt,511,1.32,64
721D0457-CD49-5BCB-C92E-D886A4D18651,61,19,30,3,Amt,772,3.76,197
02CAFEDC-43D0-1A2D-8377-008938683D06,76,19,74,3,Amt,924,2.70,191
121EBC17-DA5F-DF5F-4740-B7DD264F13DD,86,8,57,18,Amt,1173,2.68,247
A757BDBA-1182-EBA7-DD5B-FA1C0152CD43,32,5,51,18,Pct,173,4.67,82
966A33FE-EB79-D209-33B2-4DC0D7DA50E7,21,18,9,1,Amt,1088,3.04,214
8E2516EE-2FC5-2BE1-4B24-BFD8C3E09AA9,74,12,77,20,Pct,44,4.54,156
98200D10-B9F5-8150-B6C0-6E96E7336D31,51,16,81,1,Pct,207,2.48,186
F04BCAAE-14C9-473A-79D0-63C552B01CB7,73,10,78,13,Pct,366,4.97,61
30586A37-D1A3-F2E8-2776-27D8D22B95BE,72,13,54,17,Pct,675,1.57,61
C167FEED-D1AF-C165-9147-CDA71F161BCB,50,13,66,8,Amt,1331,1.05,189
448A9827-1554-DC2E-5EDC-6465D662A58A,97,9,93,6,Pct,933,1.81,240
33030E51-D6CD-A8E6-8BCB-6DA3B523F773,64,8,94,15,Pct,515,1.31,99
E9CC2F5F-867B-3F15-6242-8EAFB4839032,42,17,2,0,Pct,252,3.62,64
821DD792-643B-A93E-D6CE-3FAD0A129BD6,41,14,1,0,Pct,1207,2.85,157
25C58B71-D0A0-C30F-59D8-AD2D3A00B17A,90,7,63,18,Pct,929,4.51,222
ECFCE9E6-7919-916D-D633-70AA49A03312,61,15,72,0,Amt,1211,3.19,165
34DA96A0-F133-A61F-2DAB-AD84AC6A22AF,13,2,74,9,Pct,1088,4.14,21
D4E99D62-B30E-B5C5-C4C1-DD8619BBA90A,31,3,95,11,Amt,447,1.78,84
E0962143-FBE9-3C78-DE60-58480101F83B,68,1,23,9,Pct,1040,3.89,207
2E2474E0-5480-A950-BFFD-165D9B9D057D,72,5,14,1,Amt,451,3.08,26
A5F4F56A-46FF-784E-E81A-CAC340B135EF,75,19,24,15,Amt,1028,4.07,128
F73D0923-4C5D-A63B-3B46-A2C7720918D6,72,14,31,20,Pct,1261,3.79,148
0238093D-C78B-242C-ACDB-35DF0E16E482,81,11,82,4,Amt,218,1.55,33
7FB51EDD-8856-C1B4-AF4A-12320B2C9A38,88,19,21,6,Amt,1496,4.53,141
C5307520-4A75-20C3-96DC-3DF4C840D06D,68,20,75,20,Amt,650,1.90,130
1EAA0CB7-35FE-1097-B57B-B9337D356AD8,4,20,72,7,Pct,1137,2.99,127
E966FEBD-D66E-925E-3DB6-19199CE7BD37,26,17,96,6,Amt,957,1.21,200
3F8BC349-E522-7DAA-8248-701A792672E8,34,1,92,1,Pct,1551,1.01,147
D18ADD9F-E72B-27B1-4779-A570811D496A,13,8,9,12,Amt,1328,3.06,286
DCEB1BCE-3AFA-2D8C-24E1-D6DE6B4A913B,19,8,15,8,Pct,385,4.40,20
6EDFFE35-5E9A-15F7-3FBB-C81C1F88C18D,13,10,74,0,Pct,1078,4.10,113
8BF68EEC-D84A-BDD5-7049-AB99BD72D5B4,45,12,19,4,Amt,648,1.34,82
DB0888F0-2608-568E-7096-B949C4A7DAF3,59,16,9,0,Pct,170,2.30,295
3FC10632-EDDA-77E3-A44E-46142356CA6E,65,8,42,15,Amt,1206,4.97,76
3612929D-3E96-9820-6F5F-C3DFE104AE30,76,20,92,10,Amt,572,1.91,93
C6A20A71-239A-639C-15D8-D55840DDFD1C,91,8,78,3,Amt,1440,4.73,251
BC2DD1F4-A1CD-50A4-A0D7-7DAF8514D9AA,86,17,100,18,Amt,1296,3.23,175
B1C76D69-E322-C434-E4D1-DD43467AE752,42,7,89,16,Amt,1255,1.10,15
48EB9912-88BB-2434-BD9B-03C1C3C5B73D,85,19,72,8,Amt,603,4.04,131
6FDAA521-1F71-73CE-6710-A2974D4F2C90,8,17,88,4,Pct,421,2.39,172
243CD21B-70CB-6A68-B64C-D828FB57F56A,23,17,75,12,Amt,203,1.68,103
8AE08A43-E8EA-F1BA-8DCB-23F7225BE8B5,7,15,28,5,Pct,1381,4.43,164
4B2F44C1-B24A-5D96-2F30-A8D1AF0252C1,91,5,21,6,Amt,1055,3.24,107
7E81BC34-3B42-4632-FD03-FADC12D0D693,9,11,72,13,Pct,165,3.36,83
90CC800D-D18B-2C4E-3A41-412C094FE091,26,20,28,3,Amt,1386,2.90,185
E4C8D6D9-AA99-E023-364E-3E995677BE04,93,1,50,13,Amt,461,1.54,132
73E9F060-A2E6-B02B-EF77-658EA7A44E09,58,10,32,12,Amt,648,4.66,111
3F0CB119-BACA-F564-8BAD-9F352C7B1C3E,54,6,85,8,Amt,471,3.43,52
40A5BEA5-6DEE-9F93-1178-355A8A1F8249,56,17,57,0,Amt,1008,2.22,270
23A2493A-4579-CB85-CF3E-D76D614BE061,54,4,48,0,Amt,1371,1.44,204
7CB63B44-BAC2-09AC-221E-1AB9F70699A6,69,15,70,16,Pct,80,4.52,104
618CF729-D872-89A1-ADEB-42C8A76AF657,7,9,65,18,Pct,563,4.45,123
34D77BE6-7C73-FECE-B951-97535518C25C,79,9,11,11,Amt,1093,1.65,37
