INVOICE_LINE_ID,INVOICE_LINE_QUANTITY,ASSIGNED_USER_TK,BILLING_ACCOUNT_TK,INVOICE_LINE_DISCOUNT_VALUE,INVOICE_LINE_DISCOUNT_AMOUNT,INVOICE_LINE_DISCOUNT_TYPE,INVOICE_LINE_VAT_VALUE,PRODUCT_TK,INVOICE_LINE_COST_PRICE_AMOUNT,INVOICE_LINE_LIST_PRICE_AMOUNT,INVOICE_LINE_UNIT_PRICE_AMOUNT,INVOICE_LINE_TOTAL_VAT_AMOUNT,INVOICE_LINE_TOTAL_AMOUNT,INVOICE_LINE_TOTAL_DISCOUNT_AMOUNT,INVOICE_TK,INVOICE_DELETED,INVOICE_DATE_TK,INVOICE_DUE_DATE_TK
097E05B8-CC01-C4B9-DB6B-07EA6066DC69,24.0,16,66,16.0,-0.16,Amt                                                                                                                                                                                                                                                            ,0.175                                                                                               ,301,1.96,3.91,3.75,15.75,90.0,3.84,223,1,-607,-577
2AE16078-373A-11F0-B4C4-CD242F77EC92,54.0,9,7,12.0,-0.12,Amt                                                                                                                                                                                                                                                            ,0.175                                                                                               ,604,0.54,1.08,0.96,9.07,51.84,6.48,260,0,-543,-513
87FFE799-856B-2F19-99E8-6AD58878B127,48.0,18,36,16.0,-0.16,Amt                                                                                                                                                                                                                                                            ,0.0                                                                                                 ,666,0.66,1.32,1.16,0.0,55.68,7.68,189,0,-428,-398
73E4C00D-5ABF-7367-BEF0-31EAAB27EA36,42.0,12,87,8.0,-0.08,Amt                                                                                                                                                                                                                                                            ,0.175                                                                                               ,572,1.88,3.76,3.68,27.05,154.56,3.36,60,0,-396,-366
6C33A0B2-00A3-2CFF-E2EE-B16ADF9C1370,36.0,12,94,12.0,-0.12,Amt                                                                                                                                                                                                                                                            ,0.075                                                                                               ,1391,1.44,2.87,2.75,7.42,99.0,4.32,69,0,-417,-387
C5DA5A3E-E043-440B-33BB-2B142125954C,30.0,15,53,20.0,-0.2,Amt                                                                                                                                                                                                                                                            ,0.0                                                                                                 ,850,1.42,2.83,2.63,0.0,78.9,6.0,280,0,-239,-209
EF403876-E3E7-3D4D-0B01-20D504B08650,85.0,15,89,15.0,-0.15,Amt                                                                                                                                                                                                                                                            ,0.2                                                                                                 ,350,1.24,2.48,2.33,39.61,198.05,12.75,73,0,-495,-465
FDAC3823-67BB-0558-9132-EF00BCCD9ED6,5.0,17,94,16.0,-0.16,Amt                                                                                                                                                                                                                                                            ,0.05                                                                                                ,1543,2.08,4.17,4.01,1.0,20.05,0.8,16,0,-234,-204
6FDF0A90-EB6C-A339-9BD3-C577867F9C7D,60.0,12,85,18.0,-0.18,Amt                                                                                                                                                                                                                                                            ,0.2                                                                                                 ,988,1.72,3.45,3.27,39.24,196.2,10.8,298,0,-252,-222
37B2AB61-0642-B1F5-15AE-783E009DE0AF,29.0,20,49,0.0,0.0,Amt                                                                                                                                                                                                                                                            ,0.075                                                                                               ,1036,0.72,1.44,1.44,3.13,41.76,0.0,193,0,-611,-581
58AC3C4F-4540-9F60-AD0D-1BC9762374C4,68.0,12,11,3.0,-0.03,Amt                                                                                                                                                                                                                                                            ,0.0                                                                                                 ,1030,0.59,1.18,1.15,0.0,78.2,2.04,85,1,-577,-547
3FF6209A-DAC6-4E31-211B-F5B26BD7439C,61.0,14,10,14.0,-0.14,Amt                                                                                                                                                                                                                                                            ,0.05                                                                                                ,204,0.54,1.08,0.94,2.87,57.34,8.54,231,0,-580,-550
5FC9103D-2314-58C0-2E29-E1D4FB55D407,97.0,13,63,10.0,-0.1,Amt                                                                                                                                                                                                                                                            ,0.05                                                                                                ,1191,2.14,4.27,4.17,20.22,404.49,9.7,209,0,-433,-403
8DDD7B9D-A454-359B-6AA4-3BB02568BE3B,24.0,15,46,13.0,-0.13,Amt                                                                                                                                                                                                                                                            ,0.2                                                                                                 ,368,1.29,2.58,2.45,11.76,58.8,3.12,78,0,-59,-29
3B5DA75F-399E-50F7-121F-8883087ECFAB,79.0,6,88,15.0,-0.15,Amt                                                                                                                                                                                                                                                            ,0.05                                                                                                ,804,2.4,4.81,4.66,18.41,368.14,11.85,300,0,-698,-668
6B7DA513-34DD-8F9B-10E6-6BAEABD257C8,98.0,15,39,4.0,-0.04,Amt                                                                                                                                                                                                                                                            ,0.2                                                                                                 ,92,1.41,2.82,2.78,54.49,272.44,3.92,200,0,-176,-146
865B9920-6A2B-E9E4-DA81-D928D8D0C35D,69.0,9,61,10.0,-0.1,Amt                                                                                                                                                                                                                                                            ,0.2                                                                                                 ,1275,2.14,4.27,4.17,57.55,287.73,6.9,1,0,-726,-696
43D50DD0-2DDF-DB12-F205-7B7922FA7F0D,92.0,16,73,7.0,-0.07,Amt                                                                                                                                                                                                                                                            ,0.2                                                                                                 ,1130,1.73,3.46,3.39,62.38,311.88,6.44,282,0,-579,-549
C15FC4C8-7AAA-A0A7-5FAF-6722D9422B21,75.0,11,54,4.0,-0.04,Amt                                                                                                                                                                                                                                                            ,0.175                                                                                               ,1246,1.08,2.16,2.12,27.82,159.0,3.0,197,0,-439,-409
4D503844-30EF-5752-C40E-D72FA020A2F9,23.0,13,89,18.0,-0.18,Amt                                                                                                                                                                                                                                                            ,0.0                                                                                                 ,1157,1.84,3.67,3.49,0.0,80.27,4.14,26,0,-610,-580
4D2B9A5F-A561-34AA-DDFE-E9BFEF367865,24.0,16,23,8.0,-0.08,Amt                                                                                                                                                                                                                                                            ,0.075                                                                                               ,430,1.08,2.17,2.09,3.76,50.16,1.92,101,0,-469,-439
CCD6EA55-44E2-31F7-F469-5B344DA7F5AE,76.0,18,22,15.0,-0.15,Amt                                                                                                                                                                                                                                                            ,0.2                                                                                                 ,54,1.6,3.19,3.04,46.21,231.04,11.4,186,1,-295,-265
66128518-897F-717B-DB0E-1193C8C36B1C,43.0,9,58,6.0,-0.06,Amt                                                                                                                                                                                                                                                            ,0.0                                                                                                 ,895,1.3,2.59,2.53,0.0,108.79,2.58,232,0,-585,-555
A9748D65-EB4E-0FD4-8DAD-56036AE77D95,82.0,3,19,6.0,-0.06,Amt                                                                                                                                                                                                                                                            ,0.175                                                                                               ,870,2.26,4.53,4.47,64.14,366.54,4.92,165,0,-176,-146
ABB97C43-C230-5F3B-7443-46A282277E0B,17.0,4,14,9.0,-0.09,Amt                                                                                                                                                                                                                                                            ,0.075                                                                                               ,1030,2.46,4.93,4.84,6.17,82.28,1.53,17,0,-585,-555
22D51ACD-C3BB-9E31-3BC2-2DCFA093C262,1.0,16,50,15.0,-0.15,Amt                                                                                                                                                                                                                                                            ,0.2                                                                                                 ,823,1.7,3.41,3.26,0.65,3.26,0.15,291,0,-497,-467
F67778D2-9655-D26E-DC35-B01F540112A3,52.0,8,28,7.0,-0.07,Amt                                                                                                                                                                                                                                                            ,0.0                                                                                                 ,737,1.54,3.09,3.02,0.0,157.04,3.64,170,0,-58,-28
0D96501D-1670-DC70-3711-5381D95CF06E,89.0,17,14,16.0,-0.16,Amt                                                                                                                                                                                                                                                            ,0.2                                                                                                 ,1144,1.9,3.8,3.64,64.79,323.96,14.24,143,0,-511,-481
F6435851-C524-2561-7A79-B3C0E087E989,50.0,11,34,20.0,-0.2,Amt                                                                                                                                                                                                                                                            ,0.2                                                                                                 ,1108,0.7,1.39,1.19,11.9,59.5,10.0,67,0,-47,-17
402D1C1F-63CA-BF34-C125-DF623F17C887,80.0,8,79,1.0,-0.01,Amt                                                                                                                                                                                                                                                            ,0.075                                                                                               ,41,2.14,4.29,4.28,25.68,342.4,0.8,233,0,-498,-468
80EC172E-25EA-3563-F9C2-FC109ABB836F,50.0,11,90,1.0,-0.01,Amt                                                                                                                                                                                                                                                            ,0.075                                                                                               ,867,2.3,4.61,4.6,17.25,230.0,0.5,15,0,-447,-417
DED9ED41-02A2-70B0-DEC7-49A920C970D9,71.0,4,74,11.0,-0.11,Amt                                                                                                                                                                                                                                                            ,0.075                                                                                               ,831,2.02,4.04,3.93,20.93,279.03,7.81,252,0,-242,-212
AAA50A8C-3204-064D-29BE-3C14F91ABE71,82.0,20,50,4.0,-0.04,Amt                                                                                                                                                                                                                                                            ,0.05                                                                                                ,1542,2.24,4.47,4.43,18.16,363.26,3.28,44,0,-714,-684
78033176-C782-E2AF-2F85-C34F9F6EA7BD,8.0,10,3,7.0,-0.07,Amt                                                                                                                                                                                                                                                            ,0.05                                                                                                ,263,0.96,1.91,1.84,0.74,14.72,0.56,195,0,-420,-390
0C46D92A-057E-45F7-FC67-39E6C0567CA5,59.0,19,67,1.0,-0.01,Amt                                                                                                                                                                                                                                                            ,0.05                                                                                                ,875,2.39,4.78,4.77,14.07,281.43,0.59,206,0,-165,-135
A3F2D486-B80C-55CF-ACBD-F5101F28EF73,22.0,1,40,17.0,-0.17,Amt                                                                                                                                                                                                                                                            ,0.075                                                                                               ,146,1.46,2.91,2.74,4.52,60.28,3.74,190,0,-471,-441
888BE048-EFD8-EA2B-ABF4-69DF2533F247,5.0,14,100,10.0,-0.1,Amt                                                                                                                                                                                                                                                            ,0.0                                                                                                 ,1374,1.33,2.66,2.56,0.0,12.8,0.5,80,0,-180,-150
AC43418D-807B-D835-6484-4CFE2F2A2EF2,49.0,3,46,4.0,-0.04,Amt                                                                                                                                                                                                                                                            ,0.0                                                                                                 ,623,1.38,2.75,2.71,0.0,132.79,1.96,146,0,-697,-667
1800703E-4241-F0EB-D0D6-4380EC9AFE42,14.0,4,57,5.0,-0.05,Amt                                                                                                                                                                                                                                                            ,0.05                                                                                                ,1133,2.34,4.68,4.63,3.24,64.82,0.7,213,0,-493,-463
A97D6CA4-D449-D83F-7E24-A142E3211E21,53.0,2,44,6.0,-0.06,Amt                                                                                                                                                                                                                                                            ,0.075                                                                                               ,74,1.02,2.05,1.99,7.91,105.47,3.18,261,0,-52,-22
0DC33651-FB34-4650-8E89-2D4070E13E90,52.0,7,28,13.0,-0.13,Amt                                                                                                                                                                                                                                                            ,0.175                                                                                               ,832,2.07,4.14,4.01,36.49,208.52,6.76,56,0,-81,-51
3AF7DB53-EDB6-3A56-3F51-907DB53EF50F,23.0,5,63,9.0,-0.09,Amt                                                                                                                                                                                                                                                            ,0.05                                                                                                ,488,1.92,3.84,3.75,4.31,86.25,2.07,5,0,-543,-513
C78C0B6A-C3DE-9E9B-82B5-DC0918F88356,89.0,1,63,5.0,-0.05,Amt                                                                                                                                                                                                                                                            ,0.075                                                                                               ,825,1.26,2.51,2.46,16.42,218.94,4.45,52,0,-188,-158
8F9FA92A-D3B2-721D-96BC-152FA5020663,48.0,11,70,10.0,-0.1,Amt                                                                                                                                                                                                                                                            ,0.05                                                                                                ,1554,1.2,2.41,2.31,5.54,110.88,4.8,4,0,-323,-293
C6A6B04C-F18B-EDB3-7D10-504740B145DD,40.0,13,100,10.0,-0.1,Amt                                                                                                                                                                                                                                                            ,0.05                                                                                                ,1144,2.22,4.45,4.35,8.7,174.0,4.0,86,0,-377,-347
E8580C03-8C22-320E-F189-0D3454EBF339,29.0,20,70,18.0,-0.18,Amt                                                                                                                                                                                                                                                            ,0.175                                                                                               ,1541,0.64,1.29,1.11,5.63,32.19,5.22,271,0,-301,-271
5801CBFF-C97E-0014-5EB5-D4218CD85F64,50.0,2,61,5.0,-0.05,Amt                                                                                                                                                                                                                                                            ,0.0                                                                                                 ,466,0.5,1.0,0.95,0.0,47.5,2.5,5,0,-543,-513
4663FBB2-E470-346B-6367-925C9240105F,100.0,2,99,19.0,-0.19,Amt                                                                                                                                                                                                                                                            ,0.2                                                                                                 ,697,0.62,1.24,1.05,21.0,105.0,19.0,92,0,-22,7
02446F43-29F0-3C77-0727-E15ACA9B13B4,38.0,13,95,16.0,-0.16,Amt                                                                                                                                                                                                                                                            ,0.175                                                                                               ,1146,1.4,2.81,2.65,17.62,100.7,6.08,192,0,-367,-337
65973032-832D-3AA8-563C-51E7E94B8AF4,57.0,17,83,9.0,-0.09,Amt                                                                                                                                                                                                                                                            ,0.0                                                                                                 ,980,2.26,4.52,4.43,0.0,252.51,5.13,5,0,-543,-513
D561A918-B784-BAB3-2182-C5A323CB7306,87.0,11,19,2.0,-0.02,Amt                                                                                                                                                                                                                                                            ,0.2                                                                                                 ,544,0.87,1.74,1.72,29.93,149.64,1.74,97,0,-393,-363
656FDF9F-BDDB-BB4A-99EB-45F858455A33,48.0,19,85,9.0,-0.09,Amt                                                                                                                                                                                                                                                            ,0.05                                                                                                ,348,2.1,4.2,4.11,9.86,197.28,4.32,295,1,-84,-54
B3C7CE92-8AD9-E4E1-5058-579287CF1C06,29.0,8,34,2.0,-0.02,Amt                                                                                                                                                                                                                                                            ,0.175                                                                                               ,439,1.12,2.24,2.22,11.27,64.38,0.58,297,0,-96,-66
4EE1A3E2-C7FB-2264-9299-D9EC9341A2CC,40.0,5,52,13.0,-0.13,Amt                                                                                                                                                                                                                                                            ,0.175                                                                                               ,168,0.54,1.09,0.96,6.72,38.4,5.2,228,0,-702,-672
BC7453AA-37E8-4ED1-970A-A65A2DAEA3E5,69.0,17,98,11.0,-0.11,Amt                                                                                                                                                                                                                                                            ,0.05                                                                                                ,966,0.58,1.16,1.05,3.62,72.45,7.59,250,0,-181,-151
D0AB989A-628C-DF62-950B-E20A7148EF2A,94.0,1,78,4.0,-0.04,Amt                                                                                                                                                                                                                                                            ,0.0                                                                                                 ,956,1.93,3.86,3.82,0.0,359.08,3.76,99,0,-751,-721
8E97A37D-C1EB-5097-213C-135AA67BAA32,73.0,3,17,6.0,-0.06,Amt                                                                                                                                                                                                                                                            ,0.05                                                                                                ,1030,2.27,4.54,4.48,16.35,327.04,4.38,244,0,-731,-701
13215D2F-A14A-120F-914E-0042D6AB4FF0,33.0,16,100,10.0,-0.1,Amt                                                                                                                                                                                                                                                            ,0.0                                                                                                 ,661,0.92,1.83,1.73,0.0,57.09,3.3,265,0,-642,-612
661E20D4-6355-570F-E30B-2F94CEDB3766,53.0,5,68,10.0,-0.1,Amt                                                                                                                                                                                                                                                            ,0.2                                                                                                 ,681,0.64,1.28,1.18,12.51,62.54,5.3,269,0,-606,-576
96789411-DD76-F1DB-F578-189B8A445F59,10.0,13,46,16.0,-0.16,Amt                                                                                                                                                                                                                                                            ,0.05                                                                                                ,245,1.38,2.77,2.61,1.3,26.1,1.6,270,0,-185,-155
2B56BB33-F20B-F4F2-74B5-3E37C0CD1C6D,83.0,17,50,13.0,-0.13,Amt                                                                                                                                                                                                                                                            ,0.0                                                                                                 ,104,1.14,2.29,2.16,0.0,179.28,10.79,189,0,-428,-398
69209399-F27A-EF9A-D94F-C132C4FCC03F,46.0,13,34,16.0,-0.16,Amt                                                                                                                                                                                                                                                            ,0.075                                                                                               ,1495,1.23,2.46,2.3,7.94,105.8,7.36,195,0,-420,-390
49BE70E9-E8CB-9DB2-CA6D-14144C42805F,15.0,5,57,20.0,-0.2,Amt                                                                                                                                                                                                                                                            ,0.05                                                                                                ,113,1.19,2.38,2.18,1.63,32.7,3.0,179,0,-728,-698
F0964533-1646-378A-10EF-9515EBB46BE0,92.0,18,10,4.0,-0.04,Amt                                                                                                                                                                                                                                                            ,0.075                                                                                               ,336,1.83,3.66,3.62,24.98,333.04,3.68,297,0,-96,-66
243E6BA9-0D29-42B9-B17E-C82393D4B704,44.0,6,29,18.0,-0.18,Amt                                                                                                                                                                                                                                                            ,0.0                                                                                                 ,194,1.12,2.25,2.07,0.0,91.08,7.92,96,0,-512,-482
1F75B4C0-7FD4-5577-9796-43A91320CD67,77.0,11,8,10.0,-0.1,Amt                                                                                                                                                                                                                                                            ,0.075                                                                                               ,488,2.34,4.68,4.58,26.45,352.66,7.7,288,0,-94,-64
B411798D-5623-B37F-2DA3-26478CF12427,33.0,2,47,10.0,-0.1,Amt                                                                                                                                                                                                                                                            ,0.0                                                                                                 ,334,2.3,4.61,4.51,0.0,148.83,3.3,158,0,-718,-688
776C1EB7-D5B3-617B-F426-E942178B4C51,36.0,7,10,18.0,-0.18,Amt                                                                                                                                                                                                                                                            ,0.05                                                                                                ,456,0.62,1.24,1.06,1.91,38.16,6.48,20,0,-415,-385
2E15C523-C331-4464-7393-D0CB14616AC4,36.0,8,36,2.0,-0.02,Amt                                                                                                                                                                                                                                                            ,0.0                                                                                                 ,194,0.62,1.24,1.22,0.0,43.92,0.72,18,1,-97,-67
184CE725-EB30-1094-C7E7-0B186FE25292,3.0,19,25,11.0,-0.11,Amt                                                                                                                                                                                                                                                            ,0.05                                                                                                ,1294,2.4,4.81,4.7,0.7,14.1,0.33,140,0,-211,-181
099BA862-4FF8-2732-53F2-23054179209F,45.0,11,71,17.0,-0.17,Amt                                                                                                                                                                                                                                                            ,0.05                                                                                                ,1310,1.68,3.36,3.19,7.18,143.55,7.65,259,0,-681,-651
3E4D5D5C-D807-5AA9-65F8-87961C479D3D,90.0,2,19,2.0,-0.02,Amt                                                                                                                                                                                                                                                            ,0.075                                                                                               ,237,0.97,1.94,1.92,12.96,172.8,1.8,150,0,-105,-75
3646676E-7504-F301-8FC6-5A3D652133A3,79.0,9,24,11.0,-0.11,Amt                                                                                                                                                                                                                                                            ,0.0                                                                                                 ,157,2.06,4.12,4.01,0.0,316.79,8.69,45,0,-318,-288
