INVOICE_LINE_ID,INVOICE_LINE_QUANTITY,ASSIGNED_USER_TK,BILLING_ACCOUNT_TK,INVOICE_LINE_DISCOUNT_VALUE,INVOICE_LINE_DISCOUNT_TYPE,PRODUCT_TK,INVOICE_LINE_LIST_PRICE_AMOUNT,INVOICE_TK,INVOICE_LINE_VAT_VALUE
097E05B8-CC01-C4B9-DB6B-07EA6066DC69,24,16,66,16,Amt,301,3.91,223,0.175
2AE16078-373A-11F0-B4C4-CD242F77EC92,54,9,7,12,Amt,604,1.08,260,0.175
87FFE799-856B-2F19-99E8-6AD58878B127,48,18,36,16,Amt,666,1.32,189,0
E59644F4-891C-A3D7-6033-59B25F731783,11,2,3,18,Pct,49,1.93,136,0
73E4C00D-5ABF-7367-BEF0-31EAAB27EA36,42,12,87,8,Amt,572,3.76,60,0.175
0E43F9A4-56CC-825F-B02F-861D04C1113B,81,3,80,18,Pct,952,1.98,55,0.05
6C33A0B2-00A3-2CFF-E2EE-B16ADF9C1370,36,12,94,12,Amt,1391,2.87,69,0.075
C5DA5A3E-E043-440B-33BB-2B142125954C,30,15,53,20,Amt,850,2.83,280,0
1F3EC371-E9F1-E999-DE3C-41A6E96FD0C0,75,7,53,14,Pct,81,1.30,228,0.05
BCDD7902-8B78-EB5D-A8ED-AA54105E48D8,63,8,35,10,Pct,1021,4.56,108,0.05
EF403876-E3E7-3D4D-0B01-20D504B08650,85,15,89,15,Amt,350,2.48,73,0.2
D656702E-C723-AA8B-D0B5-A94351C866C3,61,18,81,4,Pct,837,3.73,57,0
1DCE67FB-03D0-13B9-1167-E2206AEDE0D4,98,3,63,15,Pct,800,1.88,61,0.05
A2291D88-C513-0EB2-1D0F-594C26DDBE6F,80,4,6,15,Pct,1404,2.12,198,0.05
59446965-CEEB-320F-27B2-CEDB8B68118C,67,18,40,16,Pct,1544,4.65,24,0
7BC266BF-488A-3983-2DC9-E44A2D07BFDE,39,2,20,3,Pct,1241,4.58,271,0.2
FDAC3823-67BB-0558-9132-EF00BCCD9ED6,5,17,94,16,Amt,1543,4.17,16,0.05
6FDF0A90-EB6C-A339-9BD3-C577867F9C7D,60,12,85,18,Amt,988,3.45,298,0.2
951897EB-161C-653E-1E25-5B9A4ED99720,33,11,60,2,Pct,541,2.90,24,0
02B381EA-C062-ABDF-72B5-161E69837DA9,6,8,93,20,Pct,122,4.33,178,0.075
E8482E41-3EC0-3854-FD45-AC48D8B38977,77,1,46,15,Pct,550,4.95,236,0.075
37B2AB61-0642-B1F5-15AE-783E009DE0AF,29,20,49,0,Amt,1036,1.44,193,0.075
377B1B95-3715-0689-A80F-1827757124D5,95,19,44,15,Pct,54,2.81,143,0.075
63358352-1B1B-DA97-CC64-CBD661475B4F,77,5,62,14,Pct,1413,1.99,3,0.175
ED8AC06E-4C09-7714-0ECE-2C342923A86E,74,8,20,14,Pct,356,2.35,224,0.05
9A6473C9-E2D8-3A92-4DE4-2EE2B3C3D4E9,68,1,62,13,Pct,1048,3.05,159,0.2
A0F46E17-3B0E-1650-6E28-4F9FA0ED747F,54,2,56,20,Pct,540,3.57,292,0.175
58AC3C4F-4540-9F60-AD0D-1BC9762374C4,68,12,11,3,Amt,1030,1.18,85,0
3FF6209A-DAC6-4E31-211B-F5B26BD7439C,61,14,10,14,Amt,204,1.08,231,0.05
ACB4C791-5432-3490-10F8-B414437B5F46,74,10,35,17,Pct,1400,2.35,90,0.175
A7D54212-1455-5BBB-1139-DAF729276241,30,6,93,11,Pct,70,4.90,299,0
5FC9103D-2314-58C0-2E29-E1D4FB55D407,97,13,63,10,Amt,1191,4.27,209,0.05
8DDD7B9D-A454-359B-6AA4-3BB02568BE3B,24,15,46,13,Amt,368,2.58,78,0.2
3B5DA75F-399E-50F7-121F-8883087ECFAB,79,6,88,15,Amt,804,4.81,300,0.05
B77FDC0A-9C83-EA5E-23FC-93B5A3175E91,26,16,27,18,Pct,1457,4.57,145,0
7CE1DECD-FB9C-3794-A471-906261F1F0BF,55,14,21,3,Pct,360,1.34,239,0.2
E8EFD7A3-9181-323F-6812-B6FE6F86529D,56,5,97,18,Pct,1483,1.70,174,0.2
C5BF7D2D-C0F5-BD28-7B58-9197DF167915,64,2,81,9,Pct,988,1.94,254,0
6B7DA513-34DD-8F9B-10E6-6BAEABD257C8,98,15,39,4,Amt,92,2.82,200,0.2
865B9920-6A2B-E9E4-DA81-D928D8D0C35D,69,9,61,10,Amt,1275,4.27,1,0.2
2DEF6E94-4E10-D0EF-886F-67FF10EF76A5,40,13,78,19,Pct,1330,2.64,261,0.175
43D50DD0-2DDF-DB12-F205-7B7922FA7F0D,92,16,73,7,Amt,1130,3.46,282,0.2
C15FC4C8-7AAA-A0A7-5FAF-6722D9422B21,75,11,54,4,Amt,1246,2.16,197,0.175
5E958F0D-F9CC-7269-D01A-4F8BE2D40716,22,10,36,10,Pct,1172,1.83,227,0.2
4D503844-30EF-5752-C40E-D72FA020A2F9,23,13,89,18,Amt,1157,3.67,26,0
74599969-FFCB-D2B9-9DC6-0ED67A394EF8,84,2,50,6,Pct,733,2.58,271,0.2
4D2B9A5F-A561-34AA-DDFE-E9BFEF367865,24,16,23,8,Amt,430,2.17,101,0.075
CCD6EA55-44E2-31F7-F469-5B344DA7F5AE,76,18,22,15,Amt,54,3.19,186,0.2
533699DF-4834-2005-17EE-8EEFA9D4194B,89,6,21,15,Pct,213,1.89,171,0.175
9198338D-6D6E-AD71-E548-70996D57C50A,95,5,50,1,Pct,214,3.15,271,0.075
E8BE8A63-7A12-BA6E-BE7D-7BBE8B14335A,16,16,66,5,Pct,1098,1.57,199,0
0920E9D8-313E-70F5-93F0-EEC0D7ADC826,3,15,25,12,Pct,1351,4.99,291,0.05
66128518-897F-717B-DB0E-1193C8C36B1C,43,9,58,6,Amt,895,2.59,232,0
F7EF13CB-3542-898A-E238-FAA594B68790,41,13,19,17,Pct,1435,4.26,142,0.05
887755EA-65BF-F643-23FB-4FDB293BBE25,90,18,14,18,Pct,135,2.25,257,0.05
A9748D65-EB4E-0FD4-8DAD-56036AE77D95,82,3,19,6,Amt,870,4.53,165,0.175
01617873-9205-5F2A-3558-C6728F0A9220,91,14,86,10,Pct,6,3.87,143,0
5626FA5A-C13B-24DC-3561-7DA95163DDE9,11,16,17,13,Pct,260,2.73,276,0
ABB97C43-C230-5F3B-7443-46A282277E0B,17,4,14,9,Amt,1030,4.93,17,0.075
8EFB482D-8E6A-3557-1E17-33DD75DF86B0,86,13,64,8,Pct,100,1.26,283,0.075
22D51ACD-C3BB-9E31-3BC2-2DCFA093C262,1,16,50,15,Amt,823,3.41,291,0.2
F67778D2-9655-D26E-DC35-B01F540112A3,52,8,28,7,Amt,737,3.09,170,0
06D01340-AB2C-2E0B-0EFF-6F782CD66649,14,12,13,4,Pct,1049,3.73,191,0.2
A450EC68-0EE7-8F83-DF0A-B0FBB080AD58,49,20,85,4,Pct,506,2.35,179,0
0D96501D-1670-DC70-3711-5381D95CF06E,89,17,14,16,Amt,1144,3.80,143,0.2
695008D2-939F-9527-97D0-88FDB13AFAC1,30,6,95,4,Pct,1501,4.91,15,0.175
F6435851-C524-2561-7A79-B3C0E087E989,50,11,34,20,Amt,1108,1.39,67,0.2
402D1C1F-63CA-BF34-C125-DF623F17C887,80,8,79,1,Amt,41,4.29,233,0.075
80EC172E-25EA-3563-F9C2-FC109ABB836F,50,11,90,1,Amt,867,4.61,15,0.075
DED9ED41-02A2-70B0-DEC7-49A920C970D9,71,4,74,11,Amt,831,4.04,252,0.075
5B50B810-2B80-4449-263C-1E8F08BE66E5,61,4,98,18,Pct,207,4.12,187,0.2
AAA50A8C-3204-064D-29BE-3C14F91ABE71,82,20,50,4,Amt,1542,4.47,44,0.05
9D6DFCAD-4C3D-409C-F329-5E2A38983F26,21,8,68,13,Pct,1106,4.09,168,0
50886F45-B6B7-8C43-F911-65FACFDE4D1F,21,8,34,15,Pct,636,4.06,129,0.175
78033176-C782-E2AF-2F85-C34F9F6EA7BD,8,10,3,7,Amt,263,1.91,195,0.05
AC3C6A34-C1F4-B790-6E37-D14EFB94D06B,57,14,61,12,Pct,904,3.54,145,0
0C46D92A-057E-45F7-FC67-39E6C0567CA5,59,19,67,1,Amt,875,4.78,206,0.05
A3F2D486-B80C-55CF-ACBD-F5101F28EF73,22,1,40,17,Amt,146,2.91,190,0.075
CFB9A147-4861-9F26-B1F4-E34F4B1947A0,37,10,37,5,Pct,1251,2.82,174,0.05
888BE048-EFD8-EA2B-ABF4-69DF2533F247,5,14,100,10,Amt,1374,2.66,80,0
FDE1C06A-37DC-FB52-514F-F577887AB689,24,6,76,15,Pct,1352,4.26,78,0.05
AC43418D-807B-D835-6484-4CFE2F2A2EF2,49,3,46,4,Amt,623,2.75,146,0
1800703E-4241-F0EB-D0D6-4380EC9AFE42,14,4,57,5,Amt,1133,4.68,213,0.05
A97D6CA4-D449-D83F-7E24-A142E3211E21,53,2,44,6,Amt,74,2.05,261,0.075
0DC33651-FB34-4650-8E89-2D4070E13E90,52,7,28,13,Amt,832,4.14,56,0.175
3AF7DB53-EDB6-3A56-3F51-907DB53EF50F,23,5,63,9,Amt,488,3.84,5,0.05
C78C0B6A-C3DE-9E9B-82B5-DC0918F88356,89,1,63,5,Amt,825,2.51,52,0.075
566BADD4-65F3-1488-326A-8645CF39FB0D,34,13,69,2,Pct,1261,3.97,98,0.05
8F9FA92A-D3B2-721D-96BC-152FA5020663,48,11,70,10,Amt,1554,2.41,4,0.05
6F1F8FF3-B5AB-DD10-6525-E5365F745FC5,19,8,54,9,Pct,573,4.59,291,0
C6A6B04C-F18B-EDB3-7D10-504740B145DD,40,13,100,10,Amt,1144,4.45,86,0.05
93374090-C2C6-A4C3-030C-E3D1045288E9,60,20,7,6,Pct,1328,3.77,186,0.075
F575325F-76A4-C4BE-0853-AA9C6EB48B08,94,15,95,11,Pct,1504,4.37,165,0
E8580C03-8C22-320E-F189-0D3454EBF339,29,20,70,18,Amt,1541,1.29,271,0.175
5801CBFF-C97E-0014-5EB5-D4218CD85F64,50,2,61,5,Amt,466,1.00,5,0
4663FBB2-E470-346B-6367-925C9240105F,100,2,99,19,Amt,697,1.24,92,0.2
753DCBB8-7EB0-46E1-EC9C-C19A37BEC950,13,19,80,10,Pct,1394,3.02,179,0.05
B5D134B2-E7ED-84DD-41C5-EC4C65283EF9,57,4,68,3,Pct,81,1.18,252,0
223FCC08-65DC-40F2-4552-B4096BD92327,4,12,2,16,Pct,219,2.43,118,0.075
02446F43-29F0-3C77-0727-E15ACA9B13B4,38,13,95,16,Amt,1146,2.81,192,0.175
65973032-832D-3AA8-563C-51E7E94B8AF4,57,17,83,9,Amt,980,4.52,5,0
D561A918-B784-BAB3-2182-C5A323CB7306,87,11,19,2,Amt,544,1.74,97,0.2
656FDF9F-BDDB-BB4A-99EB-45F858455A33,48,19,85,9,Amt,348,4.20,295,0.05
B3C7CE92-8AD9-E4E1-5058-579287CF1C06,29,8,34,2,Amt,439,2.24,297,0.175
140B9DF6-A7D6-847B-2F5B-4FB2EF775E0A,41,20,25,19,Pct,624,3.24,138,0.05
4EE1A3E2-C7FB-2264-9299-D9EC9341A2CC,40,5,52,13,Amt,168,1.09,228,0.175
BC7453AA-37E8-4ED1-970A-A65A2DAEA3E5,69,17,98,11,Amt,966,1.16,250,0.05
D0AB989A-628C-DF62-950B-E20A7148EF2A,94,1,78,4,Amt,956,3.86,99,0
8E97A37D-C1EB-5097-213C-135AA67BAA32,73,3,17,6,Amt,1030,4.54,244,0.05
2664B91A-924D-053B-CC0D-EC28A5689C3B,17,19,34,17,Pct,1108,3.05,156,0.075
0F60F8D0-DE66-7F82-BC7B-08D3A2650FAB,74,8,14,18,Pct,1116,2.89,135,0.075
13215D2F-A14A-120F-914E-0042D6AB4FF0,33,16,100,10,Amt,661,1.83,265,0
EC98BFDB-AEA2-E7A7-F04B-26C2F91FCFEB,61,17,18,3,Pct,468,4.09,102,0.075
661E20D4-6355-570F-E30B-2F94CEDB3766,53,5,68,10,Amt,681,1.28,269,0.2
96789411-DD76-F1DB-F578-189B8A445F59,10,13,46,16,Amt,245,2.77,270,0.05
549BE5AD-0479-8100-8B2E-A488361E2878,31,12,93,2,Pct,1210,2.78,85,0.2
2B56BB33-F20B-F4F2-74B5-3E37C0CD1C6D,83,17,50,13,Amt,104,2.29,189,0
969C2043-F64D-C539-D443-56C64A112A43,73,13,90,11,Pct,77,1.28,275,0.2
3E034724-A407-8247-863D-492C8F7653AA,35,12,5,8,Pct,884,1.65,71,0.2
69209399-F27A-EF9A-D94F-C132C4FCC03F,46,13,34,16,Amt,1495,2.46,195,0.075
49BE70E9-E8CB-9DB2-CA6D-14144C42805F,15,5,57,20,Amt,113,2.38,179,0.05
F0964533-1646-378A-10EF-9515EBB46BE0,92,18,10,4,Amt,336,3.66,297,0.075
EAC15B6E-70A7-26BD-3304-9F3D0012DC81,86,10,94,16,Pct,1533,3.73,109,0.075
243E6BA9-0D29-42B9-B17E-C82393D4B704,44,6,29,18,Amt,194,2.25,96,0
1F75B4C0-7FD4-5577-9796-43A91320CD67,77,11,8,10,Amt,488,4.68,288,0.075
B411798D-5623-B37F-2DA3-26478CF12427,33,2,47,10,Amt,334,4.61,158,0
293BE260-5F59-FA07-2D7B-F44A493FD3E0,51,2,59,14,Pct,683,2.40,215,0
84456977-AEA5-E3C1-EEB6-FF020B8949EA,72,15,79,0,Pct,851,1.70,203,0.2
776C1EB7-D5B3-617B-F426-E942178B4C51,36,7,10,18,Amt,456,1.24,20,0.05
2E15C523-C331-4464-7393-D0CB14616AC4,36,8,36,2,Amt,194,1.24,18,0
184CE725-EB30-1094-C7E7-0B186FE25292,3,19,25,11,Amt,1294,4.81,140,0.05
099BA862-4FF8-2732-53F2-23054179209F,45,11,71,17,Amt,1310,3.36,259,0.05
17EACB0A-7DF6-0564-42E6-751664883AC0,11,11,54,10,Pct,484,4.06,164,0.05
3E4D5D5C-D807-5AA9-65F8-87961C479D3D,90,2,19,2,Amt,237,1.94,150,0.075
3646676E-7504-F301-8FC6-5A3D652133A3,79,9,24,11,Amt,157,4.12,45,0
C59766F2-FB37-DDCE-2024-E01578980D52,100,4,26,0,Pct,912,3.74,111,0.075
F3D4467B-4E0A-8731-C381-0BAB3ADC3F9E,6,10,95,3,Pct,136,3.26,176,0.2
7E1C5757-A58D-A56C-4C20-6E11896D6559,78,1,10,14,Amt,936,1.07,46,0.2
2799449C-79F7-0D61-529F-9C38C2435D7B,87,2,66,12,Pct,587,3.43,231,0.075
3A20CB75-2506-501C-A4CC-8A11B00657DF,94,20,65,17,Amt,4,1.65,5,0.05
4A56F11E-FA8D-A98E-78C5-57ED6D231422,4,16,68,10,Amt,145,2.79,97,0.075
00FE6FA8-11DD-4049-FE58-1D3D87748CBD,35,12,69,7,Pct,897,4.89,117,0.175
39F0496F-33CB-E56E-34E6-0D66973DD1BC,20,11,22,8,Amt,934,1.11,123,0
578231FE-D242-11F2-6180-C344E94E564E,8,17,22,0,Amt,513,3.51,80,0.075
301DC077-9AF2-AA01-A2DB-75309742C027,59,8,91,10,Amt,610,4.55,119,0.075
F1A4CED7-A1A8-C079-55C3-AE22DD552316,72,8,41,12,Amt,1541,2.76,175,0.05
5EBB4E3D-AA18-49D9-10A6-69E1BE2F44C2,51,9,16,11,Amt,998,3.42,20,0.2
5A50AC25-8646-E944-1B8E-79B7A5F44ADF,23,9,14,3,Pct,105,1.61,78,0.075
37FE0248-11CB-6510-5B07-F94A43571556,18,18,56,12,Pct,1308,4.54,246,0.175
72E003AD-3968-FE3E-A951-EBDACBBC3080,68,4,62,14,Amt,741,2.27,36,0.2
8E38A5DE-604C-7C16-92B6-912536C3A8D1,3,11,2,4,Amt,1285,3.26,99,0.075
BC1F627E-C51C-E9D1-C500-61CD68AD9EAD,67,16,9,13,Amt,1344,1.57,214,0
9AF5E10C-6714-372C-E905-706CC47F894C,22,8,48,5,Pct,1113,4.56,230,0.05
95B95C3D-52B2-E752-AC9E-07CB14E5D912,67,7,43,20,Pct,951,1.59,275,0.075
3DD51D1C-A2EC-87AF-F32B-D0073C688C1C,89,8,74,2,Amt,51,1.66,143,0
B1E8F6F7-C333-1FAE-81DF-90693B163A80,13,17,18,15,Pct,1166,1.06,281,0.075
264CF67F-2D79-3114-4DE2-606D5AFD8FE6,5,18,40,18,Amt,50,3.63,29,0.175
EA3D18E8-2B98-B40A-21CB-04D4D6315C08,47,13,4,18,Amt,544,1.86,15,0.075
E403BFC3-4FC3-50AE-CCDB-19476E86C10F,55,10,78,10,Pct,1233,1.92,127,0.175
5B71DEB9-1842-7272-BCE1-B4EFD960C0C5,82,5,1,16,Pct,100,4.86,6,0.075
05A53A98-EDC7-EF14-D57E-6FB9D8D1B73B,72,10,8,13,Amt,1482,3.90,247,0
1AA88933-198D-87B4-5E9D-3E109DF4C8C0,45,17,40,4,Pct,389,1.04,162,0.05
D006EF23-9650-354F-F403-3A1C2CFE66C2,85,5,23,3,Amt,980,2.93,103,0.075
963239DE-C5E5-AC3F-7DD4-EA82388F2C07,27,18,76,15,Amt,1260,1.52,62,0.075
0157F10A-8B75-BCF3-01CC-0A560AFB5ABB,94,16,83,7,Pct,89,4.60,166,0.075
7C40EF75-4149-25F5-CFC2-A0A06070E590,78,20,19,15,Pct,1368,1.96,281,0.175
84309094-F730-C2CC-7BC5-87DF9708ABD4,10,10,54,20,Amt,743,1.80,83,0.2
32AC47FA-62C6-9EB8-188F-E23CFBA87B87,14,10,58,7,Pct,235,4.62,104,0.2
1E50909B-5A43-F69A-E8A5-9DD8776424C2,54,15,27,19,Pct,510,3.15,245,0.175
21E6E8A0-1EBB-E4F2-99B0-DD73FA3708CC,46,10,36,14,Pct,364,3.27,270,0.05
EB995925-2D22-9822-2D26-475F59133B29,55,5,93,18,Amt,128,2.12,124,0.175
99F63DD0-0ACE-EB17-878A-36D0E332D63D,97,3,77,9,Amt,336,4.75,106,0
DCFA1E22-2079-FFCE-67CE-3CF5A6235075,96,4,61,18,Amt,1389,2.66,88,0.2
1C017207-D59A-DAA8-AFEF-50F260B6E399,16,17,81,1,Amt,1111,1.62,64,0.2
00E93380-597F-CDA4-6E5B-059D31229677,31,15,31,10,Amt,970,4.58,218,0.2
AE5FC6E7-0535-8479-6066-0C62886A3681,73,15,74,17,Pct,318,3.71,45,0.2
EE9438F7-1FDE-AF8C-0F11-3E2E798A8FD1,72,12,29,11,Amt,517,2.04,66,0.05
CB63A782-7A21-EE48-E369-01CB58DC4EE3,62,19,89,5,Amt,1397,1.66,91,0.075
CF5E1FA6-9900-BF1D-0A42-ECBB0ECDB30B,51,9,28,4,Pct,1110,2.04,141,0
516CE6CF-7B74-DC82-1872-694988AC0411,94,1,83,4,Pct,1134,1.90,298,0.175
BB5C41CD-00F8-15C8-1CA3-FB20A33D999B,50,6,83,13,Amt,125,4.73,281,0.175
04D0DCB2-3D89-B91B-B217-177D45724889,43,10,21,0,Amt,628,3.58,175,0.05
E7936AC5-B5B9-50F6-503D-AF46FF084386,33,20,23,19,Pct,6,1.64,117,0.075
5E8E9BC2-80AB-48CB-72ED-C2BE9844C60D,89,3,27,2,Amt,1054,4.21,92,0.05
CD96C351-A61B-5C8F-028F-1131C5C5DA67,63,2,25,15,Pct,592,3.89,26,0.075
9D929472-9CC1-ED56-AA7A-327D16E82FE4,38,6,82,14,Pct,762,2.41,121,0.075
61ED7D78-BE84-0AA1-F1B1-8AA3372A3B75,3,18,15,13,Amt,1388,4.62,207,0.175
E08007B1-3E73-7A60-1067-D81D1422BC8B,94,20,90,20,Amt,935,3.06,168,0
36702605-4989-DA0D-68E6-73F536B68FB9,18,12,45,0,Amt,71,4.21,174,0.2
9A736EA4-6CB2-2D72-64B2-6F478E409717,29,8,88,9,Amt,919,3.99,107,0
246DCC43-59B1-A5A0-361A-D99D9BAB42AB,97,4,71,19,Pct,1306,1.17,262,0.2
2B82AB9D-78D0-6EB6-72AA-0A35C21D2EE8,29,6,72,13,Amt,1043,4.14,258,0.2
8E878FEC-8C50-83F7-8420-792C60BB280A,77,8,88,6,Pct,1133,3.30,133,0.2
5705519C-7760-E51F-6EED-CA83C63609B4,30,19,49,16,Pct,108,2.63,229,0.075
1A65FFD4-B11E-8A3F-3465-05E26BE4AF91,93,5,100,1,Amt,1536,3.47,253,0.2
FF1D56A9-0580-5BAA-C7AA-0EB0BB6BBB1E,90,15,68,0,Pct,1548,3.64,160,0.175
3C59D5C8-83C2-9465-96CB-B48BE636EAD7,57,19,93,10,Amt,741,1.73,241,0.2
49E0BD81-545C-3CEF-37E3-4EEDBDDED49A,64,18,53,11,Pct,653,1.47,256,0.075
E3F60B5C-67B3-AA65-6CD8-D17E32A91459,35,8,67,15,Amt,173,3.98,184,0.2
FE7BC0A3-E8B8-2651-9240-A8222B750E0F,26,6,1,20,Amt,26,4.03,11,0.2
B5B50C1C-3DF3-11DB-06FA-4F5B6A80894C,32,8,23,13,Pct,44,1.21,226,0
0EF434AD-4859-511C-70BB-938A8A6DA1DC,49,7,93,15,Amt,405,2.46,211,0.05
5A3486A9-6271-E7E7-7655-87844A1F37E2,88,2,39,1,Pct,354,1.13,212,0.075
88927B09-580F-CFAE-7447-CF9308ED3081,48,11,20,8,Amt,1,2.38,221,0.05
677CD324-624E-6485-3FE1-2C681C0909F7,38,8,25,1,Amt,58,1.85,278,0
D5A89149-3FC7-0052-F8CA-3F62955E18EC,92,18,95,8,Pct,96,4.05,131,0.075
1934AC88-F593-DA21-C672-22AD8C19F3EB,2,4,1,7,Amt,1438,2.00,154,0.175
9809322D-199D-B2E4-8FCC-C18308E3299D,44,7,83,17,Pct,51,2.59,91,0
2F508D44-C877-5B44-8A25-52B9236E8863,16,13,28,15,Pct,1125,2.69,286,0.2
82BFE2F7-BE17-081A-6280-8CAC246FFDD9,7,8,66,15,Amt,637,2.98,233,0.2
B6BBF63B-0D5F-0123-D901-2802D6C4607A,85,3,30,10,Amt,981,1.31,11,0.175
84F50336-5A84-1CDE-8FE5-4FE667F09E61,48,15,15,2,Pct,417,1.69,256,0.075
9B22ADF1-CFA4-547E-7BDA-6A2F42CA4A92,51,19,25,17,Pct,1358,1.45,104,0
70B3F8B3-36CF-E0FA-B07E-FBF9B21CB4B3,71,4,12,11,Pct,599,4.08,88,0.075
B27A2AFA-EC9A-3C74-D63B-2E7DCB268760,45,16,4,4,Pct,642,2.05,13,0.075
6A9A66C0-EDDE-4806-8BAC-45C56ED06324,65,5,7,3,Amt,1214,1.72,296,0.175
2D67B986-92FB-05C0-7430-E5CD709B3AA2,46,18,53,15,Pct,462,4.28,253,0.05
B6AE790D-6C55-A4D0-3A44-DCF42E0406FE,3,11,36,19,Pct,1241,1.29,148,0
A522589D-393C-1DB8-0A9C-836F712426E1,36,20,29,19,Pct,573,3.58,98,0.2
6EB962A0-517D-DB5D-EB44-4B38B5EE65CC,25,6,9,19,Amt,930,2.74,150,0.175
ED218AA1-9645-329F-A877-F07EEB0CC608,30,20,8,8,Pct,1475,1.79,17,0.05
5871B4AB-C4CA-798C-4C11-89E3CFB94C21,97,19,79,10,Amt,1313,3.62,108,0.175
