LEAD_TK,ASS_NUM,PRO_NUM,CON_NUM
125,1,18,26
126,1,13,29
127,1,20,25
128,10,13,21
129,2,13,23
130,1,19,26
131,6,13,26
132,7,15,29
133,5,19,26
134,9,18,21
135,2,13,27
136,6,16,24
137,10,20,21
138,8,15,29
139,7,20,30
140,10,17,28
141,6,13,27
142,3,18,27
143,1,18,30
144,2,14,25
145,5,13,30
146,10,15,25
147,3,19,22
148,2,20,26
149,1,17,21
150,6,12,28
151,7,20,21
152,4,20,29
153,4,16,25
154,1,11,24
155,2,12,30
156,8,16,29
157,2,16,30
158,4,12,24
159,6,11,30
160,2,20,25
161,2,18,28
162,7,11,23
163,5,14,27
164,2,13,23
165,7,15,26
166,6,15,27
167,7,19,26
168,6,15,26
169,7,18,30
170,3,18,22
171,3,15,22
172,6,19,25
173,9,18,28
174,7,18,27
175,1,16,25
176,3,19,30
177,4,15,21
178,6,13,29
179,9,12,24
180,9,17,27
181,3,13,23
182,10,18,26
183,7,16,27
184,8,15,22
185,9,20,27
186,2,19,24
187,7,11,26
188,10,11,25
189,5,12,26
190,5,20,30
191,5,19,29
192,4,16,23
193,5,13,21
194,3,18,23
195,10,19,26
196,1,17,30
197,9,14,25
198,6,20,30
199,7,12,21
200,8,11,30
201,10,19,23
202,9,11,21
203,9,19,27
204,10,19,30
205,1,18,22
206,4,16,24
207,2,18,24
208,7,20,28
209,4,13,21
210,1,13,23
211,8,18,22
212,9,15,22
213,5,13,21
214,1,14,21
215,9,17,26
216,8,19,26
217,2,11,29
218,10,17,26
219,10,11,29
220,9,20,22
221,1,11,24
222,7,16,21
223,9,19,23
224,3,16,30
225,6,12,21
226,8,19,21
227,7,11,29
228,5,11,27
229,7,13,28
230,9,20,27
231,7,13,28
232,10,14,26
233,8,13,23
234,7,12,27
235,1,20,30
236,6,11,23
237,1,18,30
238,3,14,25
239,7,20,25
240,1,16,29
241,7,12,24
242,7,16,25
243,9,15,28
244,10,19,29
245,2,16,30
246,2,16,28
247,2,17,28
248,9,14,29
249,9,13,23
250,2,18,29
251,5,11,27
252,8,18,28
253,3,19,26
254,10,16,28
255,8,13,29
256,5,16,23
257,8,19,24
258,3,15,28
259,10,18,26
260,3,11,28
261,4,11,23
262,1,13,27
263,8,14,29
264,9,20,21
265,8,18,27
266,7,15,21
267,6,15,27
268,7,14,28
269,2,18,23
270,5,13,26
271,2,15,27
272,3,11,27
273,2,16,29
274,10,16,24
275,4,14,30
276,6,17,25
277,3,15,29
278,2,18,23
279,6,15,22
280,10,20,29
281,8,11,22
282,1,19,21
283,10,20,22
284,8,16,29
285,10,14,22
286,5,11,26
287,8,11,22
288,3,20,28
289,1,16,30
290,3,17,22
291,8,12,30
292,3,16,30
293,4,19,28
294,1,15,29
295,9,11,25
296,3,18,22
297,3,15,21
298,7,18,25
299,2,14,21
300,4,11,30
301,1,14,23
302,9,19,22
303,6,20,26
304,7,16,23
305,10,11,21
306,4,14,28
307,7,18,28
308,1,19,26
309,3,17,28
310,10,14,24
311,2,17,26
312,2,13,21
313,5,17,22
314,1,20,30
315,10,16,28
316,4,14,22
317,10,12,21
318,6,12,21
319,9,19,24
320,2,18,25
321,4,14,22
322,7,18,30
323,4,17,23
324,3,19,28
325,9,20,29
326,4,17,23
327,6,17,23
328,6,15,27
329,7,12,29
330,10,12,23
331,10,15,24
332,10,13,28
333,6,12,27
334,8,14,24
335,2,11,23
336,5,12,25
337,9,15,22
338,7,17,22
339,7,13,24
340,3,13,26
341,3,17,27
342,10,20,22
343,5,15,26
344,6,13,26
345,8,20,23
346,7,16,30
347,2,16,24
348,4,11,29
349,8,18,30
350,5,13,26
351,5,18,21
352,10,11,25
353,10,11,30
354,2,15,21
355,10,20,25
356,1,13,29
357,7,18,28
358,10,20,26
359,6,19,29
360,3,16,23
361,10,14,25
362,9,20,22
363,7,18,21
364,7,14,25
365,2,20,22
366,6,14,21
367,7,17,24
368,4,12,30
369,8,19,28
370,10,11,23
371,1,15,27
372,8,17,25
373,10,13,28
374,9,17,30
375,8,14,29
376,1,13,21
377,3,18,21
378,3,16,29
379,3,12,26
380,5,13,26
381,5,15,23
382,2,20,26
383,7,17,21
384,7,11,25
385,7,12,26
386,1,13,26
387,7,13,28
388,2,20,22
389,2,19,22
390,6,18,29
391,7,13,21
392,4,18,23
393,4,11,25
394,10,11,26
395,1,16,29
396,8,11,26
397,7,12,24
398,5,17,24
399,1,19,24
400,9,11,24
401,1,18,27
402,4,12,24
403,3,20,24
404,5,14,21
405,5,20,28
406,8,13,27
407,8,17,22
408,3,11,26
409,1,17,24
410,7,14,29
411,5,19,21
412,1,14,29
413,6,20,25
414,10,17,30
415,9,19,23
416,3,11,26
417,7,14,22
418,10,12,30
419,1,12,27
420,8,17,28
421,7,11,28
422,7,13,23
423,1,15,24
424,3,17,26
425,10,13,23
426,7,13,30
427,7,12,27
428,4,18,30
429,9,11,23
430,4,15,26
431,10,14,30
432,2,11,25
433,8,13,28
434,9,17,28
435,3,19,24
436,8,13,29
437,9,17,26
438,5,19,27
439,4,13,26
440,1,15,28
441,10,16,22
442,1,19,28
443,1,11,30
444,7,16,27
445,5,16,21
446,8,20,30
447,8,19,22
448,3,11,23
449,10,13,29
450,10,11,27
451,4,19,24
452,8,14,24
453,3,15,30
454,3,12,27
455,9,17,25
456,10,19,24
457,5,16,27
458,1,20,30
459,1,18,22
460,7,19,27
461,4,19,26
462,4,20,26
463,5,20,27
464,8,20,26
465,3,15,27
466,8,16,24
467,2,11,30
468,2,18,27
469,8,16,26
470,1,19,21
471,9,16,21
472,2,13,28
473,2,12,28
474,10,14,21
475,3,12,26
476,8,19,29
477,4,20,24
478,1,12,27
479,2,13,21
480,1,20,21
481,8,18,22
482,3,15,23
483,10,18,26
484,10,12,25
485,3,18,27
486,9,17,25
487,3,14,24
488,9,11,25
489,10,17,29
490,9,20,29
491,6,17,27
492,1,15,22
493,2,11,21
494,3,13,23
495,1,16,25
496,7,18,21
497,10,13,26
498,5,12,27
499,8,16,22
500,1,13,28
501,9,13,30
502,5,13,23
503,8,12,30
504,8,14,28
505,7,18,25
506,4,13,27
507,1,15,23
508,4,14,28
509,9,19,30
510,1,16,27
511,4,17,29
512,2,11,25
513,8,15,25
514,7,14,21
515,7,15,24
516,3,13,26
517,2,14,29
518,7,14,22
519,7,20,25
520,1,20,25
521,4,17,21
522,6,15,21
523,10,16,23
524,1,20,27
525,1,18,25
526,9,13,26
527,7,16,25
528,8,11,30
529,2,12,22
530,8,16,26
531,10,12,21
532,10,17,23
533,6,12,28
534,7,17,22
535,1,17,22
536,4,12,21
537,1,20,23
538,6,12,24
539,5,14,22
540,5,15,30
541,3,15,25
542,7,16,22
543,5,11,28
544,10,12,30
545,2,15,30
546,9,13,29
547,5,17,24
548,9,13,29
549,3,13,28
550,7,12,30
551,4,14,28
552,6,20,24
553,8,11,25
554,8,17,25
555,2,16,27
556,5,17,25
557,1,18,26
558,6,19,22
559,10,11,30
560,3,17,24
561,8,15,29
562,8,16,23
563,8,17,29
564,9,11,21
565,9,17,24
566,5,11,21
567,9,19,23
568,2,13,27
569,8,12,21
570,5,12,25
571,9,11,26
572,7,14,24
573,9,20,30
574,2,14,27
575,5,20,25
576,10,12,29
577,7,13,26
578,8,17,24
579,2,12,22
580,3,17,21
581,8,16,28
582,9,18,27
583,6,16,27
584,6,14,29
585,2,13,26
586,8,15,24
587,3,17,25
588,10,18,25
589,3,19,21
590,8,20,30
591,1,13,30
592,6,12,24
593,2,13,24
594,3,12,27
595,9,16,23
596,1,19,24
597,1,12,24
598,4,12,22
599,6,18,22
600,5,12,25
601,8,12,26
602,5,17,27
603,9,12,26
604,7,19,27
605,2,12,22
606,5,15,26
607,2,15,21
608,10,17,21
609,9,16,23
610,4,12,28
611,6,15,25
612,3,17,23
613,10,18,23
614,9,14,27
615,6,16,21
616,9,19,27
617,2,20,22
618,3,20,27
619,5,13,21
620,8,11,30
621,1,17,21
622,2,15,23
623,3,11,25
624,2,11,27
625,9,14,26
626,2,19,29
627,3,16,25
628,6,18,25
629,2,15,29
630,4,15,25
631,9,20,24
632,8,16,23
633,3,11,24
634,1,17,24
635,6,11,21
636,8,18,28
637,1,14,21
638,1,15,21
639,2,20,30
640,7,16,25
641,9,12,21
642,7,14,25
643,1,16,29
644,3,11,29
645,3,15,25
646,3,14,27
647,7,16,24
648,2,19,25
649,4,17,23
650,2,15,30
651,8,12,29
652,6,12,21
653,8,13,30
654,1,11,21
655,6,12,27
656,8,19,29
657,7,11,27
658,9,18,30
659,1,16,22
660,8,11,29
661,4,16,21
662,3,20,21
663,10,14,27
664,9,15,29
665,2,12,27
666,5,19,30
667,6,11,27
668,10,16,29
669,10,15,21
670,5,11,27
671,1,19,25
672,10,13,24
673,10,20,23
674,8,15,26
675,6,14,26
676,6,17,22
677,8,12,21
678,3,16,29
679,6,20,28
680,4,19,25
681,3,16,23
682,5,11,28
683,10,20,28
684,7,19,23
685,9,16,29
686,10,11,28
687,10,16,23
688,7,11,23
689,9,20,29
690,3,13,30
691,10,13,29
692,6,18,27
693,6,12,27
694,6,15,24
695,6,18,25
696,7,18,23
697,8,17,24
698,9,13,26
699,4,16,27
700,7,18,22
701,10,17,24
702,2,11,22
703,7,14,28
704,9,11,30
705,7,16,30
706,4,13,28
707,6,17,27
708,3,15,30
709,4,17,23
710,1,13,27
711,2,15,24
712,3,12,29
713,10,17,25
714,5,11,26
715,9,15,28
716,4,13,24
717,4,11,25
718,9,11,26
719,7,18,24
720,7,17,27
721,6,12,21
722,1,20,28
723,6,18,26
724,4,12,28
725,4,20,28
726,5,19,26
727,3,18,22
728,4,20,24
729,10,18,30
730,5,14,28
731,7,18,25
732,7,12,25
733,2,19,24
734,8,11,21
735,4,16,28
736,2,18,23
737,3,15,29
738,10,16,28
739,7,18,24
740,4,19,26
741,5,11,21
742,1,14,22
743,8,11,29
744,1,12,26
745,7,17,26
746,5,14,22
747,4,18,27
748,4,17,21
749,1,17,27
750,9,11,25
751,7,16,29
752,10,12,21
753,8,19,26
754,7,19,21
755,2,11,24
756,2,16,26
757,7,17,26
758,7,16,27
759,4,19,29
760,4,13,22
761,7,12,22
762,4,11,28
763,10,19,30
764,7,20,22
765,8,17,23
766,10,15,25
767,8,16,27
768,2,16,29
769,9,20,26
770,8,19,30
771,7,14,25
772,1,18,26
773,9,18,22
774,9,14,23
775,3,14,27
776,3,12,28
777,3,13,25
778,3,13,25
779,5,18,24
780,10,12,27
781,5,11,23
782,10,13,29
783,9,19,27
784,1,18,26
785,4,14,23
786,7,15,30
787,9,18,24
788,9,20,25
789,1,16,23
790,5,15,25
791,6,16,27
792,4,13,26
793,1,15,28
794,10,18,21
795,10,18,23
796,8,15,26
797,8,17,26
798,1,15,28
799,7,19,25
800,4,16,22
801,8,18,29
802,1,14,27
803,6,19,28
804,4,16,24
805,6,18,27
806,1,15,25
807,3,14,23
808,7,12,22
809,5,11,25
810,7,11,26
811,4,13,27
812,2,19,29
813,2,14,21
814,6,12,25
815,2,15,24
816,2,17,25
817,9,12,23
818,3,20,27
819,7,15,28
820,6,13,22
821,8,12,30
822,8,17,24
823,7,15,23
824,5,14,25
825,10,20,28
826,1,11,30
827,6,14,29
828,6,14,28
829,7,17,28
830,3,13,22
831,7,15,29
832,7,17,24
833,10,19,29
834,2,17,29
835,8,18,21
836,6,13,25
837,9,12,21
838,8,12,25
839,2,16,30
840,2,14,25
841,9,15,30
842,8,15,29
843,1,12,24
844,4,13,21
845,6,14,30
846,6,11,21
847,7,12,28
848,2,12,21
849,9,19,23
850,10,13,29
851,8,19,22
852,10,12,26
853,10,18,27
854,9,19,23
855,4,19,27
856,5,15,30
857,8,18,22
858,8,12,22
859,7,19,30
860,8,14,26
861,3,16,24
862,1,19,26
863,1,14,26
864,1,17,29
865,4,14,22
866,8,14,22
867,10,20,25
868,7,13,30
869,7,16,23
870,10,13,25
871,8,15,25
872,7,12,21
873,6,19,30
874,4,16,21
875,4,14,28
876,9,12,29
877,10,16,28
878,5,16,24
879,3,15,27
880,8,15,29
881,6,11,23
882,5,14,24
883,10,17,27
884,6,20,26
885,1,14,25
886,6,11,24
887,8,13,28
888,2,17,30
889,10,11,30
890,8,12,28
891,7,19,23
892,5,12,27
893,10,16,21
894,1,19,23
895,10,13,29
896,10,16,24
897,10,20,30
898,8,11,25
899,3,15,30
900,4,15,21
901,9,14,27
902,4,19,27
903,7,14,30
904,10,17,27
905,2,19,25
906,7,17,29
907,8,11,22
908,4,17,27
909,8,16,22
910,9,13,28
911,7,16,28
912,9,18,26
913,3,19,30
914,9,20,23
915,4,16,24
916,7,15,28
917,4,16,26
918,7,17,21
919,2,19,23
920,10,20,28
921,10,16,26
922,1,20,23
923,7,13,24
924,2,13,30
925,9,18,24
926,6,17,28
927,10,16,30
928,2,11,28
929,1,20,22
930,3,13,29
931,6,18,21
932,3,18,22
933,5,11,22
934,10,11,21
935,8,20,24
936,8,13,24
937,5,13,21
938,5,18,28
939,10,19,27
940,5,11,29
941,9,19,30
942,4,13,26
943,4,20,23
944,1,12,27
945,5,11,21
946,8,17,25
947,5,15,23
948,1,16,30
949,1,11,30
950,9,19,27
951,5,11,24
952,10,16,30
953,4,18,21
954,5,20,23
955,8,16,28
956,7,18,23
957,6,19,28
958,8,18,25
959,4,16,24
960,10,14,27
961,3,12,23
962,6,14,30
963,10,19,21
964,9,14,26
965,1,16,26
966,5,16,27
967,7,14,22
968,5,13,22
969,3,11,28
970,8,19,21
971,6,14,23
972,3,17,27
973,7,15,28
974,1,19,22
975,10,13,25
976,2,17,22
977,9,16,30
978,4,13,24
979,2,11,28
980,7,19,25
981,3,17,28
982,2,20,22
983,3,20,29
984,2,18,30
985,10,14,23
986,5,13,30
987,3,14,24
988,4,17,23
989,2,20,25
990,10,12,24
991,1,12,28
992,1,12,29
993,2,13,24
994,3,16,30
995,8,18,29
996,10,12,30
997,7,18,30
998,10,18,21
999,6,16,23
1000,9,17,25
1001,7,18,27
1002,6,12,22
1003,2,16,26
1004,3,20,22
1005,1,20,22
1006,4,15,27
1007,2,13,21
1008,6,16,23
1009,2,20,21
1010,7,15,23
1011,2,19,24
1012,4,18,22
1013,7,16,25
1014,10,18,30
1015,10,13,26
1016,1,14,23
1017,2,17,29
1018,9,13,24
1019,4,18,23
1020,7,17,22
1021,3,12,29
1022,3,15,22
1023,1,14,23
1024,1,16,29
1025,3,17,22
1026,2,15,27
1027,3,20,21
1028,10,18,26
1029,8,18,26
1030,7,17,28
1031,9,12,25
1032,8,17,23
1033,3,16,30
1034,10,14,28
1035,3,20,26
1036,7,20,26
1037,6,20,30
1038,5,17,28
1039,8,18,26
1040,5,16,25
1041,6,19,26
1042,2,17,23
1043,6,17,22
1044,1,14,27
1045,10,13,24
1046,7,12,25
1047,7,17,27
1048,10,19,23
1049,6,18,28
1050,5,14,26
1051,2,18,26
1052,8,19,25
1053,2,16,26
1054,1,19,24
1055,8,16,25
1056,10,20,30
1057,3,13,26
1058,3,11,21
1059,4,12,24
1060,4,13,27
1061,9,19,21
1062,6,11,28
1063,1,16,27
1064,5,12,30
1065,2,12,25
1066,9,11,30
1067,2,16,26
1068,7,18,23
1069,1,14,25
1070,1,16,30
1071,2,12,26
1072,3,20,24
1073,2,13,28
1074,3,19,30
1075,8,19,27
1076,8,18,23
1077,8,16,29
1078,1,20,29
1079,6,15,24
1080,2,11,26
1081,7,16,22
1082,2,14,24
1083,8,15,21
1084,6,15,28
1085,8,12,24
1086,6,18,28
1087,5,19,28
1088,2,13,26
1089,7,14,28
1090,2,14,23
1091,9,17,22
1092,10,18,23
1093,4,13,22
1094,1,11,30
1095,6,11,22
1096,6,15,23
1097,9,17,30
1098,6,11,29
1099,5,12,29
1100,10,20,25
1101,1,14,24
1102,4,18,28
1103,6,17,28
1104,9,15,26
1105,10,11,21
1106,10,20,28
1107,3,19,25
1108,7,13,28
1109,7,19,30
1110,2,14,30
1111,9,18,28
1112,9,20,21
1113,1,17,21
1114,7,16,30
1115,9,13,27
1116,2,17,26
1117,3,14,25
1118,3,12,24
1119,7,14,28
1120,4,17,28
1121,3,14,29
1122,2,19,23
1123,4,12,27
1124,1,17,26
1125,9,18,24
1126,1,16,21
1127,4,11,23
1128,8,12,24
1129,8,12,27
1130,6,13,28
1131,3,11,24
1132,3,15,29
1133,5,13,22
1134,2,11,28
1135,2,17,29
1136,1,14,29
1137,9,18,30
1138,4,11,26
1139,3,19,25
1140,10,11,25
1141,3,14,28
1142,2,13,24
1143,9,15,26
1144,4,20,26
1145,4,17,30
1146,9,16,28
1147,10,16,29
1148,8,19,24
1149,10,17,24
1150,5,16,25
1151,7,13,21
1152,6,11,27
1153,7,20,26
1154,2,16,25
1155,10,12,21
1156,6,19,29
1157,7,12,25
1158,10,14,21
1159,8,16,21
1160,10,16,28
1161,9,13,29
1162,9,13,27
1163,1,12,23
1164,2,19,22
1165,10,12,22
1166,9,16,27
1167,2,18,29
1168,6,13,29
1169,9,15,25
1170,7,12,27
1171,2,18,28
1172,4,18,25
1173,5,17,23
1174,3,12,25
1175,7,16,22
1176,2,18,28
1177,6,15,28
1178,7,15,24
1179,6,16,27
1180,1,20,29
1181,2,11,27
1182,10,15,22
1183,2,15,26
1184,7,12,22
1185,10,18,29
1186,10,12,25
1187,10,15,28
1188,8,14,22
1189,1,13,24
1190,7,17,30
1191,7,17,27
1192,7,16,23
1193,5,12,23
1194,10,17,28
1195,2,17,22
1196,5,13,21
1197,9,15,28
1198,6,19,29
1199,3,20,27
1200,9,14,23
1201,3,19,26
1202,9,14,24
1203,1,18,28
1204,3,15,22
1205,2,18,23
1206,10,11,27
1207,7,12,30
1208,1,17,25
1209,6,16,21
1210,10,19,26
1211,6,17,28
1212,7,13,26
1213,6,11,30
1214,1,20,28
1215,5,14,21
1216,1,14,21
1217,8,12,22
1218,3,18,23
1219,6,13,25
1220,7,13,21
1221,9,16,25
1222,1,13,27
1223,1,15,22
1224,3,15,28
1225,2,11,27
1226,8,11,27
1227,7,20,24
1228,8,18,25
1229,5,11,26
1230,10,15,27
1231,8,20,25
1232,1,13,21
1233,5,15,28
1234,3,19,30
1235,5,18,29
1236,7,13,27
1237,10,15,30
1238,8,14,28
1239,7,11,23
1240,7,16,27
1241,7,17,28
1242,3,15,30
1243,10,11,22
1244,5,15,27
1245,1,14,23
1246,6,19,21
1247,9,15,21
1248,10,14,27
1249,1,19,30
1250,10,19,23
1251,3,16,21
1252,1,11,27
1253,10,20,26
1254,2,20,28
1255,3,13,25
1256,3,11,27
1257,4,17,29
1258,7,16,30
1259,2,19,27
1260,9,19,22
1261,10,12,25
1262,7,17,30
1263,3,18,21
1264,9,17,26
1265,1,18,29
1266,2,19,23
1267,1,12,27
1268,4,15,29
1269,2,12,26
1270,6,15,22
1271,10,17,25
1272,9,12,23
1273,3,11,23
1274,5,11,22
1275,2,13,21
1276,3,18,26
1277,9,14,28
1278,7,19,23
1279,10,12,27
1280,7,20,25
1281,8,15,27
1282,4,17,25
1283,4,20,27
1284,1,20,24
1285,10,17,21
1286,3,14,24
1287,2,11,26
1288,3,16,26
1289,5,20,30
1290,1,12,24
1291,4,19,26
1292,1,20,29
1293,6,17,29
1294,5,20,30
1295,3,12,27
1296,6,15,28
1297,4,11,27
1298,8,14,30
1299,6,19,21
1300,2,20,23
1301,8,14,24
1302,1,14,29
1303,8,11,24
1304,5,20,21
1305,2,15,30
1306,2,12,29
1307,7,17,22
1308,4,13,23
1309,7,13,28
1310,9,14,21
1311,6,15,25
1312,3,11,30
1313,4,19,28
1314,9,18,28
1315,3,14,29
1316,4,14,21
1317,9,19,25
1318,2,15,21
1319,9,14,30
1320,2,18,26
1321,5,12,23
1322,9,13,23
1323,2,17,25
1324,4,11,30
1325,4,20,26
1326,3,20,24
1327,3,19,29
1328,10,14,28
1329,9,13,27
1330,7,19,27
1331,2,15,25
1332,4,13,28
1333,1,20,30
1334,9,19,22
1335,2,12,27
1336,3,13,26
1337,3,15,28
1338,9,17,21
1339,4,12,29
1340,3,16,28
1341,3,15,23
1342,5,11,27
1343,4,13,27
1344,10,16,21
1345,4,16,25
1346,9,15,25
1347,1,14,23
1348,2,14,23
1349,2,15,30
1350,1,19,24
1351,6,13,27
1352,9,16,29
1353,5,19,24
1354,10,12,21
1355,5,11,28
1356,2,12,29
1357,10,20,28
1358,9,19,23
1359,3,15,29
1360,8,20,30
1361,6,15,26
1362,1,11,25
1363,6,13,22
1364,9,18,29
1365,9,16,23
1366,7,11,22
1367,2,11,21
1368,3,17,27
1369,7,18,30
1370,8,14,29
1371,10,13,23
1372,6,14,28
1373,1,15,21
1374,7,19,28
1375,9,16,30
1376,5,18,22
1377,1,18,23
1378,10,16,23
1379,3,12,25
1380,2,13,21
1381,10,11,29
1382,4,18,25
1383,1,11,28
1384,5,17,28
1385,2,12,24
1386,2,13,24
1387,5,16,22
1388,7,13,22
1389,9,13,28
1390,7,20,23
1391,7,16,26
1392,1,13,28
1393,9,19,26
1394,6,13,23
1395,1,20,24
1396,5,18,27
1397,1,17,22
1398,8,15,21
1399,6,15,24
1400,7,14,24
1401,7,17,30
1402,1,18,27
1403,5,12,27
1404,3,20,30
1405,6,18,23
1406,6,18,21
1407,3,20,21
1408,7,19,30
1409,4,12,30
1410,2,17,24
1411,2,17,29
1412,7,15,30
1413,6,17,30
1414,6,11,27
1415,3,19,26
1416,10,17,27
1417,9,13,22
1418,6,16,22
1419,5,17,27
1420,6,11,27
1421,1,13,23
1422,5,18,22
1423,4,19,24
1424,7,12,23
1425,5,20,27
1426,7,12,25
1427,6,19,29
1428,4,15,21
1429,7,18,27
1430,2,17,24
1431,1,11,24
1432,9,17,23
1433,9,17,24
1434,6,20,26
1435,5,12,23
1436,2,16,29
1437,8,17,28
1438,6,16,21
1439,5,19,24
1440,1,18,21
1441,1,19,25
1442,1,20,21
1443,3,13,29
1444,4,15,29
1445,5,14,23
1446,2,11,30
1447,4,19,21
1448,9,12,21
1449,3,20,29
1450,4,15,26
1451,8,16,29
1452,2,20,29
1453,8,12,28
1454,6,18,21
1455,4,11,22
1456,6,13,22
1457,6,14,23
1458,2,18,21
1459,8,15,27
1460,3,16,26
1461,10,14,23
1462,9,13,23
1463,10,19,28
1464,4,15,21
1465,4,14,24
1466,6,16,30
1467,5,20,22
1468,6,14,23
1469,7,12,30
1470,10,13,28
1471,3,20,26
1472,7,18,30
1473,9,20,26
1474,10,13,26
1475,2,16,25
1476,8,20,25
1477,6,17,29
1478,10,18,24
1479,2,17,26
1480,4,18,28
1481,4,16,28
1482,6,17,29
1483,1,12,21
1484,1,16,29
1485,3,15,21
1486,5,19,26
1487,7,18,28
1488,6,11,23
1489,4,11,28
1490,5,15,28
1491,5,13,27
1492,6,15,29
1493,5,19,23
1494,1,16,28
1495,9,18,22
1496,9,18,27
1497,4,16,23
1498,6,18,21
1499,5,11,28
1500,6,11,27
1501,2,17,27
1502,4,18,23
1503,9,16,30
1504,1,19,28
1505,10,11,22
1506,9,13,25
1507,6,20,22
1508,4,11,30
1509,6,20,25
1510,5,19,30
1511,1,11,30
1512,9,20,23
1513,10,13,29
1514,10,19,27
1515,6,11,25
1516,7,17,28
1517,5,20,27
1518,6,18,26
1519,8,13,22
1520,2,15,24
1521,4,13,27
1522,3,17,22
1523,10,19,21
1524,4,20,24
1525,3,19,30
1526,3,19,27
1527,7,20,24
1528,3,20,25
1529,5,13,21
1530,5,14,28
1531,4,17,24
1532,4,11,28
1533,6,19,27
1534,10,16,28
1535,3,18,21
1536,10,18,23
1537,10,12,24
1538,3,12,24
1539,7,18,24
1540,5,17,23
1541,7,13,28
1542,2,20,29
1543,5,12,21
1544,5,18,23
1545,4,17,21
1546,10,19,24
1547,9,13,28
1548,1,11,24
1549,8,16,24
1550,2,14,28
1551,10,16,25
1552,3,19,22
1553,3,14,25
1554,10,15,27
1555,9,15,23
1556,3,17,26
1557,3,17,22
1558,6,12,21
1559,2,19,22
1560,7,16,25
1561,10,18,25
1562,3,13,30
1563,9,11,24
1564,9,16,24
1565,6,13,27
1566,1,14,27
1567,9,16,23
1568,10,13,27
1569,4,16,25
1570,7,16,22
1571,3,17,23
1572,7,19,23
1573,7,20,23
1574,6,12,21
1575,9,11,26
1576,8,12,24
1577,6,16,27
1578,1,14,21
1579,3,20,23
1580,8,20,30
1581,6,19,29
1582,10,16,25
1583,6,13,30
1584,6,11,24
1585,6,19,21
1586,1,17,29
1587,4,17,29
1588,5,13,24
1589,5,11,23
1590,3,20,30
1591,10,17,29
1592,10,11,25
1593,1,16,23
1594,5,15,29
1595,7,18,24
1596,3,14,29
1597,9,16,27
1598,9,19,23
1599,2,15,28
1600,4,12,21
1601,4,19,30
1602,3,11,26
1603,3,16,21
1604,5,19,25
1605,10,14,21
1606,8,11,23
1607,5,16,24
1608,1,19,30
1609,1,17,21
1610,4,20,30
1611,3,15,26
1612,7,12,28
1613,8,19,29
1614,9,11,27
1615,6,19,28
1616,10,13,24
1617,3,14,23
1618,6,14,29
1619,1,17,27
1620,2,19,22
1621,8,14,21
1622,3,11,27
1623,3,13,30
1624,6,15,30
1625,7,13,29
1626,5,11,24
1627,6,11,21
1628,2,17,26
1629,8,19,21
1630,10,18,29
1631,4,11,30
1632,10,14,26
1633,10,18,21
1634,3,17,24
1635,1,15,29
1636,2,19,24
1637,10,17,25
1638,7,18,27
1639,9,14,24
1640,10,15,21
1641,1,15,22
1642,8,12,21
1643,3,12,27
1644,9,12,25
1645,6,19,25
1646,8,12,30
1647,10,14,22
1648,7,19,27
1649,10,12,22
1650,4,18,22
1651,10,15,30
1652,10,19,29
1653,5,19,25
1654,7,13,26
1655,5,16,23
1656,7,12,28
1657,1,19,23
1658,8,15,28
1659,8,15,25
