LEAD_ID|LEAD_TK_RAND|LEAD_CREATED_TK_RAND|LEAD_MODIFIED_TK_RAND|LEAD_CONVERTED_TK_RAND|CAMPAIGN_TK_RAND|ASSIGNED_USER_TK_RAND
310D8AE2-168B-E4C8-154B-553E2FFA4817|57|174|390|543|4|6
5E3699A6-520E-1524-13E6-EA764EA66C80|58|49|105|490|5|4
8E1E1BFE-02F0-9DEB-3CC1-89150082583B|59|298|76|686|4|5
304A49AB-E118-6121-9DA2-5F0FF800B4F1|60|195|449|257|4|19
CBBC1510-E0F2-596E-A17D-2ADE75202266|61|495|46|397|2|17
FF6989B5-F1D3-5FB3-F530-5E8EAEE397E2|62|581|395|336|2|3
F2870A16-D512-CA04-A8F8-20069CC6EA16|63|695|539|716|3|2
8D726E23-3CFE-1EB5-51F5-C16390B6FF2E|64|354|206|717|4|2
24ABB925-93F5-0901-BDBE-9B3F73EBE8D3|65|93|681|306|1|19
D33C30C7-9E5B-692D-55A3-682A6F6D65C0|66|99|363|16|3|6
8393DDFE-009B-66FE-EE10-1FA582224B76|67|275|716|604|3|13
EB57C9CC-8670-E86E-4097-DCDE6D075587|68|410|7|475|1|11
5E53834D-4DC6-3E98-DA8B-D8DE67A5B3A1|69|45|543|11|3|16
4B2EE5F0-70E3-401F-ADB8-0AA7D1158F0A|70|69|208|453|3|11
216A4767-205A-4B24-BE14-D8B7D69B7CF1|71|184|278|523|4|19
BF53E46E-D9BB-1508-A8AC-A94FE779A491|72|300|451|266|1|5
A9218218-4974-25E1-7C0E-FB3BB5246EE2|73|607|369|690|5|17
EA56467B-3C5A-FD99-495E-36E8207D7697|74|495|640|521|5|8
582151D1-1ED9-38FE-B633-04103E14BB43|75|72|660|625|2|14
1B800E91-7C05-C3C6-5A4C-922318653062|76|10|633|203|5|7
C50F2B02-FC26-120E-C6C5-E182C0A1A3A5|77|532|523|500|3|6
5C37422B-D937-E5EA-8750-FF5110AF569D|78|325|23|150|2|16
0EB9EB21-E79A-1085-F0B7-6D9895F0CA06|79|642|20|195|1|13
95BB7F84-6BBF-F9B5-41B8-2CFE8B2897F8|80|431|71|647|2|11
82195CAC-FFE9-0EF0-0C3D-6363A2DA74BE|81|299|337|195|4|8
6BCDE8B6-F91F-D7AD-4CE3-A35E1D86AC38|82|432|204|301|5|18
37A54A2F-05C3-FFA1-17B2-204B52744F0E|83|259|103|729|1|5
41044C56-6C6D-554A-5D31-829805570DFE|84|15|349|497|4|16
6FEB1815-6DC8-914F-E15D-0236A0A39AF5|85|587|286|314|2|13
ED424942-8A13-E26F-FD3D-A0CCC8D9F5F8|86|473|217|385|3|10
D9BB5D4A-DD70-E70C-37FA-0240F6A4CD39|87|195|78|536|3|11
CD5217D2-4138-88DB-CA70-8F7DC38347E7|88|46|219|383|2|20
8C50B3F7-0604-AB6E-A144-E5F8DE17E2A5|89|104|399|157|4|13
AED8F3FF-FAB1-3C12-65F6-F203A6BF8398|90|633|698|148|3|2
D51D7F62-879C-B3B0-07B9-A5BDCDA5C2E2|91|263|447|583|2|6
9CD39604-F179-5141-AADF-6C7FD56DBA92|92|151|91|260|2|8
E50ACECF-E9DF-C01B-9E1B-2739BC9FAC56|93|181|650|418|1|4
E4D9E274-01A1-9481-3B07-FAF27CAF6222|94|695|326|567|2|16
52D88FD5-F75A-2377-575D-89523133AEB8|95|483|418|381|5|19
AEFFDA60-E13F-5239-5A94-DFCBFDB5A60B|96|262|224|390|2|4
AAB81E39-AA0F-0665-8FFF-8A1B98A1CFE4|97|567|505|143|5|5
42CF8977-AA31-72E2-8412-B5A7A27CB255|98|253|202|441|1|1
BEC5E2E8-864E-B603-9D73-05E7DE47208F|99|119|71|54|4|11
5B334210-8E32-293E-449D-86D8C48DA5D8|100|19|654|254|2|1
707C1771-E11C-EBC2-06D6-B698BC589104|101|36|637|213|4|9
4DE50E02-F704-7D25-9CB5-C5D3A85C7FB3|102|124|138|600|2|12
F3B1CF61-233B-7BA4-C06B-CEFDDD3073F9|103|4|161|260|1|2
17695643-D394-4168-9754-94084400E0FB|104|206|597|229|5|14
8C14D94D-EB80-97A7-B18C-7FC4A7F5DDEC|105|510|248|601|4|15
21002420-97CE-81FF-F04D-A165A4E6318C|106|351|358|22|1|16
19A60E52-4D77-E218-5DAF-2279B11858A0|107|357|379|10|1|3
2DA3C2B8-6BD7-F0DC-6654-482D4BB1759F|108|116|106|689|2|5
6BE36B1D-1D8E-6F88-09EE-C074DB3D0004|109|280|320|712|4|20
69FFFD60-17EE-7966-A5EB-881D53059752|110|432|367|383|3|14
33085F2A-EB04-24D4-C9F1-F3BBC4EB1287|111|7|363|729|1|15
60FB9823-B0DA-496D-FCFD-3EFBFA2ED667|112|63|28|594|5|3
B7921CC5-2D71-971A-02DC-0DE5FCFC224E|113|332|515|203|5|19
FDE7FEA1-E143-7213-2A2A-E6DD8D2443A2|114|331|174|502|2|13
1C680A22-F8FA-9B10-53FC-21E0F38125E4|115|401|470|84|5|16
790AC07B-C2C2-DA86-0C8E-820558A3A49C|116|394|268|188|3|20
54FEBA4F-F640-9490-A191-60721FBFD4C9|117|567|347|508|5|11
D47F7E88-C7F7-8945-3C60-88DF18084079|118|352|430|135|1|12
478A105F-2CA7-A0BC-7143-B31CA10C5A00|119|465|173|354|1|1
FD113A82-C8A2-5D5F-654D-C0A09ACD0C4A|120|262|179|631|5|18
C1AB4F22-B599-8BC8-1782-4207CD59BF95|121|83|75|120|2|20
BE8CC465-9498-3F40-51A9-36B4C11B72C5|122|287|677|86|1|1
3EAA5908-F920-6160-CA69-2DF5ED2BD31C|123|401|607|138|4|3
9F3CC8BB-C994-761B-D6CC-AE1C10495BE1|124|173|237|206|4|12
3C60FBF7-347D-C06D-E3FB-04ED3983C8A2|125|547|704|76|4|12
25C80AE5-FECC-C8CB-9475-64A1E0A6C573|126|22|449|304|4|20
AD7507B2-E6F7-5714-1A27-CA01205FE540|127|269|103|521|1|18
C552FAE1-CDF3-32E2-6708-5D8F25C95D56|128|615|705|709|3|10
C157A3C9-9C58-1676-EC17-1BFB3399A9F9|129|576|216|169|4|10
E616E4A6-4BDA-7556-E615-0EDAEF79073D|130|430|312|665|1|9
A457A4E6-E131-6FBC-C3D1-1A7D101590B1|131|438|230|661|1|13
D7D7537D-9D94-A780-1FF3-9B456C33118C|132|342|621|64|1|3
090E2906-BD39-1E10-6D6A-0C56FB1EE80B|133|53|406|562|5|2
B2268BD0-D902-4964-495D-666A1B0EF156|134|614|613|605|5|18
9BB707FA-D2DF-337D-AD2A-C059DCC11F74|135|650|282|291|3|3
094DC290-CED1-5C1B-356C-657A4C2C3166|136|123|62|656|1|2
9EF864CA-ED26-D155-A384-085F569CC7B9|137|476|278|468|1|13
1344CC8F-1960-441F-09CF-0D90CDF6C995|138|212|428|320|5|8
40184B83-AC60-8E72-582F-34D0F43E0370|139|255|461|104|1|15
419CCC0B-72C6-E668-2B83-1D4E27FB8915|140|46|534|559|3|3
754B124A-FE29-7D0A-A1E1-60DCAED92033|141|637|400|35|3|6
478D2D45-185E-0C92-17D3-3C26EB760365|142|632|171|228|5|1
55784472-C15A-A6A8-5C47-F47B13E6CBF9|143|288|186|520|2|2
8E00912A-7860-90AD-E7DC-FAC9457921DA|144|171|72|533|4|7
80938710-5CD4-E0C8-C9CB-1E96DAFA0DA4|145|328|5|497|2|17
675E067E-E0F4-7EDB-FE6C-2C4A8F4022E3|146|417|519|258|3|20
DEDDCB0B-7452-DCAB-9D63-859E9436C8B9|147|302|315|209|5|2
A845C755-B7C5-9614-351A-3D4672376B4B|148|630|374|706|5|4
4DD5ED4D-F24E-38AF-365E-A5FA345DA77E|149|416|461|24|4|2
6939B838-C3E7-820A-8DA3-499B9EA33CDC|150|248|497|661|3|5
9A453DBE-775C-DB51-6C18-EEF5BF123634|151|370|190|61|2|9
0848238B-6B8F-7625-FB2A-7FD2A5EE4689|152|15|598|663|4|18
8CAFC1EB-20DE-8616-E401-E0B8CD929E4C|153|316|249|488|3|16
CB3ED0AA-9258-70E3-7D3A-4968435A4A50|154|638|515|329|1|19
AE99007A-D657-495D-7F7B-A2F3B504CBFA|155|597|378|632|5|17
B4B0C0A6-CEEA-A8D0-CC17-F68B9D0E253E|156|166|325|311|3|1
50FDF6AB-6492-A489-ABDF-D894925D3CAA|157|162|279|198|5|12
747E13A4-BB6D-1845-2009-769D50DE0B1C|158|88|315|420|2|7
1443D645-3FBA-0937-8832-2493E19DDFC1|159|403|57|239|5|17
F70058ED-989D-64CB-6B25-F5D551062397|160|554|715|400|1|6
3B57F05A-86FC-79DD-EDB6-1B069EC5A220|161|446|217|418|3|20
7691EBF3-A1A2-E7FF-E6BA-0186B3DD35FE|162|492|379|161|4|11
0F4BCAD1-ACF7-C5D0-3185-3FB049E04E95|163|594|599|459|2|19
5D151F0F-6F41-D0D9-E542-B04C897B6612|164|464|650|64|1|12
5B77810A-B05D-06DA-2ABE-93E8A9A61EC5|165|411|490|32|2|11
AF18D92A-BC12-06B7-1CE2-E25A34AA67A8|166|15|640|29|5|2
1483555F-D8CD-3802-396A-29802C891C63|167|337|397|256|5|10
10A859B7-138A-D7C5-21E0-F114E477E367|168|163|676|730|2|16
88CA0CA8-1553-7537-B649-97E2A50131EF|169|456|126|253|1|11
F2DD3163-F6F2-750A-9181-C940FC2FAFFB|170|376|444|446|4|17
FB4FB3D7-2336-F4C8-B4E6-43494C94D9C7|171|147|84|109|1|5
0FA71A38-F498-A20A-6093-68F8A65CFCC7|172|114|23|41|3|9
79B47EDD-1809-92B4-D943-6DE44D3E5D16|173|123|340|475|5|1
AB6CE25A-BF35-1EB9-AA5E-D9703E356119|174|259|508|502|5|10
EFC21957-F15E-44BF-1853-C47769C33711|175|195|48|66|5|11
3D68DE78-E360-DE87-C36E-FBC01E72E2C0|176|620|284|686|5|6
384B36FD-505F-CCF0-34A6-958595AAC129|177|135|351|379|5|16
E8B33B70-E605-7AC9-1058-A27AE70B64F6|178|55|77|647|2|3
7A70EADC-9350-ED66-1DBB-D46805F9CA1A|179|241|128|41|2|14
9DD62C29-D20E-7BE4-7163-4935F4372CA5|180|584|373|137|4|17
A26D9B88-D764-4A50-4EBB-B86FE37BA241|181|489|369|29|2|20
19F78E61-8324-E32A-D872-51BA3213701A|182|591|293|593|3|17
FBCD0CAB-4367-5E5A-E1DA-F7C443F86EB1|183|370|127|650|3|13
38D49CFA-3B9D-BA0D-66F4-C0763F18FFE5|184|131|551|619|3|13
1F68239E-740B-F33E-9571-57EF4DA67D56|185|389|295|80|2|19
16FC4E67-E634-7197-357B-6981E8A522FC|186|19|358|241|5|8
A711009A-4E5A-2064-38CE-1DB54158C854|187|260|196|260|2|14
F157C916-3198-AC93-FBAF-23C10D409486|188|250|561|532|5|14
B53D7DEE-5D56-CD97-EA63-34A17ED99D6F|189|678|352|605|2|2
EB5308B3-F31A-A0A6-0D04-F23FB1586034|190|405|154|164|5|20
7553EC0E-207B-E53D-4EE0-5BC14789B9E0|191|238|328|625|4|16
510D4A5F-D322-7CB2-A5B9-6BFEB6A60588|192|553|319|280|2|20
EFF4F569-9D57-ED2B-FED3-CF8AA47AAB6A|193|412|266|426|5|12
25A7E60A-2443-CFB2-A897-1F0E6A2F4E3B|194|640|486|208|1|17
FA5E70A2-94A0-4C6C-989B-C66B6E976E06|195|504|84|675|1|5
57852F90-4934-FFE7-A83D-3E0358537391|196|254|399|167|5|1
DD1AA611-C3BF-C8B8-BDE1-AA4541F4E9AF|197|534|505|82|5|14
8962FBB2-75BA-5A8A-887C-1BA46D026742|198|257|76|161|3|17
3FEE4F81-74EE-99DB-74E5-9A5E8B405B62|199|172|620|502|3|6
C1AEBEF9-D4A0-253A-CF6E-FD16AF564134|200|645|66|144|5|11
EB75A751-F40B-CB18-EE68-277684708EA9|201|685|628|616|5|13
AC688848-4F86-AA5F-5AF2-B5DEB000A510|202|697|613|86|2|9
C012DA6B-982C-DA78-FCEB-2A767154E471|203|272|314|131|4|1
FD0C0009-CB5E-2F77-17E0-9CFBFD8AFBA2|204|123|585|628|2|5
0295278F-EC95-0D58-6AD0-1BD92F09D4B0|205|566|379|513|2|10
6CC116C8-5B67-B783-0F80-4B8D13F1FFF8|206|555|489|657|2|17
E6E2CA8A-717E-1632-D119-9D0BD417509D|207|556|274|450|1|4
CD606362-190E-5D7E-0A9B-69FACC8A60B3|208|101|53|334|1|10
2885974A-34DC-BBD8-308B-CFF99691B551|209|423|233|79|1|11
3BB668E3-BB52-7263-D403-CCD11E583677|210|700|415|170|4|7
0A765464-9181-F226-418C-94C9B1C9CDD4|211|264|513|204|4|4
F5F1F407-2682-5F65-AD87-C2E7DDC72B5A|212|605|289|401|2|8
567650D9-3821-EB44-016B-5CE9371A6AEC|213|219|130|503|3|18
4034E63E-29B8-BA2B-65CD-C55B49A9A67C|214|495|688|606|3|3
6462F20F-3F1F-A381-2893-A3CFD9407467|215|578|251|513|2|18
82E8D8AF-792E-F534-61F6-BE0FDB75AE0D|216|547|370|486|5|17
5FCCF642-8E05-9225-698F-4C1E6F55CBD1|217|101|716|354|1|4
BB3E6A37-0B13-3D09-0EFA-8B10B37337E7|218|616|218|488|4|19
FB858A32-2929-3518-3EC4-12EC65E03D3B|219|288|446|159|2|6
13418E2D-D0BC-8121-0637-8652EC448172|220|388|323|663|5|6
2D333F29-3D15-7871-75E0-D333623CC91E|221|196|66|490|2|18
3C0F33A4-C219-ADFD-E00F-2926A0BF63D7|222|26|395|68|5|17
0BF9E4DA-0D91-552D-6969-4187006B0078|223|278|689|197|1|3
31A17527-5ECF-DF9B-49D2-57A804D2A788|224|126|694|707|4|10
377B1851-87D6-7C3A-C86C-71FCCB346B5E|225|278|453|110|2|2
FDED0DCE-7AAF-6FF9-CBBD-876B1C67A638|226|423|366|116|5|5
24B29AD9-12FD-D20F-D666-54E2E490EB07|227|406|206|556|5|4
E7C3B51B-138E-19F7-F3B6-DF9F7C2C66ED|228|395|121|103|1|3
5E021821-F11D-9A04-6CA8-342A572AB4FD|229|566|486|267|1|12
C4E8DE42-AB2D-235D-2FC4-A9B4EFEBA75A|230|378|21|579|2|20
5321821B-5954-CE9C-1424-38C8853848C3|231|300|361|469|5|2
B1CA9EF1-8849-51EE-1C02-2A8CD4B3818A|232|433|156|237|4|4
1A8CA8AE-B3E5-0D86-0490-E352CB1106E2|233|223|106|544|1|2
89EF1701-1587-6017-573E-90EABBDBD005|234|77|718|437|5|19
18BDE434-3504-A3AA-9764-CC9C96519BE8|235|363|377|506|5|5
3C446656-7700-546D-3180-108F3FDC32CF|236|668|578|620|4|11
7DDAB455-3F65-EE33-10A4-8A9DE561AA4B|237|225|79|245|2|2
3B86A32A-4C2A-7A8B-EAB9-6291F3A2E19E|238|231|720|296|2|17
277804BB-1CF0-EF1E-8E6C-8309FD28511C|239|298|191|4|5|6
6F7CEC60-8512-939F-9792-59A6F3863D66|240|405|267|518|5|5
D9015A71-36D8-F03C-3DF0-74AF67CC7D6E|241|638|312|174|1|14
5DAC7810-E525-A2EB-EBE3-6799F1049A63|242|311|521|505|1|11
F10E8369-BBA6-562A-15BE-065B423B5AE1|243|32|685|5|5|2
1C9C4DA7-B9B0-7A4E-204F-578D53AA4064|244|66|678|48|4|10
13D089CF-C43D-3012-2F68-045B238324B2|245|223|201|531|3|16
0CC6311E-AC6E-1D69-5F1A-6D45B8522A5D|246|184|15|82|2|16
59C52636-DB3E-F3D3-5E4B-CE23C833A9CE|247|253|206|437|5|12
EA1A2586-79D4-7325-870C-AFD6E5805ED5|248|64|525|42|1|7
23CAB17E-5FF2-3B07-C304-A1F96DA5BD1E|249|455|427|431|2|19
32C79804-EF34-FE32-3C7C-8072E30CD1BD|250|39|659|525|5|7
C204C6A0-6CEA-27E7-FDB5-93694B1EE31D|251|650|229|568|1|8
3766785E-9BFC-9AEC-804E-B035C5BD8BC4|252|192|170|249|3|16
93065CE7-BDBC-9004-EC26-A5467B821F33|253|411|549|260|4|6
6AD04EB8-55D5-2D76-DB02-F22869FC76E6|254|210|519|365|3|7
CDF72765-0701-476F-FCF9-1D18B09FFFF7|255|560|446|270|1|6
F9D9A207-836E-03E4-DA53-E1B8F6BBE9E3|256|303|40|378|3|8
2C4B9D23-783F-C52E-0ADC-969EA556E410|257|6|636|687|4|17
96825263-1740-C450-4418-FCC0AA01633E|258|388|692|523|5|8
A5442780-3071-633E-DC21-1A4DE7024BDB|259|529|478|253|2|15
E89ECAD5-E5DA-1F1C-0F45-7DA249691754|260|660|304|393|4|20
6E7C98AB-041A-B88B-46E3-F730DF2D575C|261|687|14|640|5|9
7E04F69F-6FA1-D6DA-61EC-5E5D3450641C|262|595|677|442|4|2
03CC54AD-05DC-DD93-3BAD-444C208608C2|263|8|100|317|1|18
AFCC4F90-DC03-FC29-D03C-9E79E75A3293|264|316|98|576|3|5
BD0C29DA-FC61-B192-A460-768192F3D445|265|199|701|631|3|18
6C1FE3C9-16CC-E083-791B-1096D14C479A|266|262|307|218|2|3
A98039E9-6176-BFD9-1B33-DD6CC5081CF1|267|164|281|138|4|6
AFD61922-638D-DCE6-1079-68B93A87BF5B|268|279|519|389|2|14
6266FF26-A483-AF29-18EF-1144D6A3D60F|269|52|465|439|5|3
66D5B25A-704B-5BD0-5475-EDC3C8599C85|270|191|729|212|4|11
33A8C95C-7723-9AD2-20F7-FA25BFB4B47D|271|161|331|183|3|3
2F0F8F86-DFF4-9EE2-02AE-D0F5FDF5619B|272|246|93|254|3|2
5682DB79-4E14-1861-3FE3-1946F6C7C6AA|273|496|657|205|1|19
65D2D82E-8D7F-F92D-19AD-D7EEC2A38FBA|274|385|312|91|3|15
A03CAE7A-0E05-D5E8-FDAA-2478730F081B|275|568|557|126|4|13
1E80CA24-F5BE-45D8-2749-FF2F288267B5|276|279|549|623|3|19
86460C9B-FC9B-6BB2-1AA4-4AFECEEAD9A8|277|624|363|633|4|9
CE05E599-88A4-1E93-F7D4-84BEE470AFAE|278|327|110|305|3|19
D357F4D2-D819-C115-4B11-5D9FA4C4F358|279|637|601|10|1|10
9931321D-DD62-F0ED-C6DB-E7E57D43E429|280|345|486|638|4|5
CD6709E7-6985-44B7-3730-85E8AF743E6C|281|541|560|93|1|5
13E8A247-1AB4-1BF5-565F-AF4216B79A68|282|412|179|435|5|2
17F32537-AA43-B610-59B6-E382251F072F|283|314|477|318|2|15
33A09F53-865D-13DD-261D-FF9C24A117DF|284|328|344|160|1|13
FF74C3FD-4ADB-56A2-933C-3D8856FACA62|285|17|434|449|3|14
694ABB38-CC0A-E59E-C164-E70CC92007EA|286|570|203|443|3|15
5B37C543-59B8-90F9-9453-78E2D1E637A9|287|219|247|620|2|10
19CCFC57-3383-D0C0-4AE0-115C74F2E6E7|288|559|92|290|5|7
7BF7B3C9-D2D2-2100-9A3E-A9412488002A|289|687|230|618|5|9
0CE62531-8A76-3C0A-F1C8-DC1F4591DC4A|290|431|599|722|2|10
82BB8E74-C527-15F0-49B5-78DF64931645|291|386|102|652|2|7
19805526-AE94-9854-F6D5-6B5376A92971|292|665|617|681|5|5
D89025A2-AF90-8856-B9E3-8F6970EF3548|293|322|67|239|3|9
8D82DD3F-AB6E-7EAE-5B85-D796CB0BA935|294|312|135|44|1|9
2656C4FA-08EB-81C8-0102-D052DE0C24AE|295|555|586|125|2|11
0E3AC903-1CFC-850B-DBB6-7D20B346FD99|296|263|541|178|1|13
6B01F605-F3BD-4A4D-7C17-09C8FA06412C|297|372|348|175|2|2
B8FFBFF9-A5CE-C3AB-8726-724194791938|298|383|299|553|4|6
182F92FC-A0D0-1227-90A8-C76DCEAA324D|299|714|212|455|3|15
662F4E63-A32B-9F43-48D7-24284A48AAA5|300|105|440|233|5|11
3D92D92B-6E05-EF84-3703-58591AA34527|301|468|694|157|3|4
6D444A92-F374-9066-5498-91788FE82E34|302|508|724|277|1|19
CFAF025F-704B-66FF-65A7-795800AED623|303|358|523|353|5|18
D279CE69-96AC-1651-F46F-9DAC2D2F0B7C|304|185|687|200|4|8
E9994DB7-75BB-2FB6-D1B4-5A0DEECD66A5|305|668|676|432|2|11
911161D8-C2BA-2818-5792-72887F33BC30|306|494|689|572|4|8
37C0E802-BB5A-2576-203B-885FD21D8D21|307|409|584|447|5|12
B9C8F878-C48E-866C-A35A-9690EA24FCC7|308|351|202|496|1|9
055D243E-201F-7DED-AC91-ED8EEDDAA50B|309|104|260|643|2|7
F4FFC7BF-A664-7EA6-FFB1-B6D4E1034A40|310|650|662|565|1|3
A94A036D-2402-5552-0687-B32394C80AB4|311|588|388|218|4|11
69BA283D-58E8-96EB-0F3C-0A4E25EBC919|312|355|52|65|5|6
4D7698EA-9B9A-D2A9-7E67-D5D4935504F2|313|471|322|391|2|4
2FBEDA87-A7E9-9E29-C5E1-7A147B035F04|314|361|716|386|5|10
B30C4823-7597-A158-2BF6-B2EE283A017D|315|138|685|680|5|3
5CD81C9E-41F0-D4B7-3281-F3C26AB77350|316|217|265|75|4|4
2401FC4A-349D-E232-0457-D9458E434469|317|699|463|110|5|6
7DE59A3B-3F32-8702-147D-4F488BAC75F3|318|83|624|553|1|7
BB7E925D-55F7-46BB-8A1F-18E6D49F21ED|319|635|251|594|1|6
AD9FD0F2-BEA5-4523-4D7B-B5C7A15AD986|320|49|155|386|4|17
D9381D7E-E88B-8C42-57FC-7393305B65D1|321|439|602|653|3|19
D0AE7E6B-C568-AAD4-1BA6-57F1932E2206|322|88|470|649|3|11
4929A24A-EFC6-666D-99F0-493DCFBA4DB2|323|196|563|401|4|7
7E7E0C07-9AEF-134E-C11D-4A3F4395122C|324|456|624|294|1|16
9139E0E3-1B3E-6A30-F835-FD0F62C4406C|325|625|444|184|3|8
A9BD0896-0FEB-645C-0F49-6E8F22A27D84|326|298|180|659|5|8
F7CCED3D-38F4-67D9-94EA-C9B1FC1D0D8F|327|53|200|32|2|12
A34E244D-24C5-E298-DEED-2F24AECFD488|328|152|670|39|5|20
207C2802-54DC-4C24-0C31-1DAF2DBB4B3D|329|721|399|111|4|18
28E921FB-D1E8-D9C9-E21F-4F4002779D5B|330|203|69|247|1|11
3FA0CAA5-5FC4-37E5-9BFD-671B7BDC7337|331|232|214|648|3|7
347265A4-6D3A-EF46-F38C-3E72BD82CA1A|332|617|246|187|4|13
CE218625-EB76-0057-A48C-7122DD593B10|333|333|388|377|5|1
B7AB173E-B54D-83D4-B991-A6C8A173D8F9|334|635|717|562|3|19
647CECB9-C765-D111-5A6D-30EE56DB49C8|335|122|543|618|2|17
EF2848E6-7006-0A6A-C1C6-E5FEEFC0C976|336|586|357|468|4|18
B865878F-A05E-9D30-287F-B8DB6927D3DA|337|574|156|689|2|17
B10C381C-DB0E-D435-9975-8B28B32E10CD|338|168|546|94|4|14
CA34B14A-9DE8-E2CB-8BC9-AE819F19547C|339|63|314|413|1|2
699B0C01-A907-F004-4D22-FA9BCA63D2A7|340|580|623|437|3|7
31FEFF4B-418A-C346-BFE9-7860E1812079|341|42|585|661|4|18
B8B69AEB-CB91-6166-83D7-7E10B4F5819C|342|277|152|549|1|2
176D1056-08F1-A75E-DEB1-382A2CA54378|343|204|566|597|2|3
