PRODUCT_TK,VERSION,DATE_FROM,DATE_TO,PRODUCT_ID,PRODUCT_NAME,PRODUCT_DESCRIPTION,PRODUCT_DELETED,PRODUCT_MAINCODE,PRODUCT_PART_NUMBER,PRODUCT_TYPE,PRODUCT_UNIT_COST,PRODUCT_CURRENCY_ID,PRODUCT_UNIT_PRICE,PRODUCT_URL,PRODUCT_IMAGE,PRODUCT_CATEGORY_ID,PRODUCT_CATEGORY_NAME,PRODUCT_CATEGORY_DESCRIPTION,PRODUCT_CATEGORY_DELETED
13,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,13,Jeffers Corn Puffs,Not Set,No,13229009509,13229009509,Not Set,2.385,N/A,2.65,Not Set,Not Set,35,Breakfast Foods,Not Set,0
14,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,14,Jeffers Wheat Puffs,Not Set,No,92942813038,92942813038,Not Set,1.737,N/A,1.93,Not Set,Not Set,35,Breakfast Foods,Not Set,0
15,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,15,Jeffers Grits,Not Set,No,26378549933,26378549933,Not Set,2.061,N/A,2.29,Not Set,Not Set,35,Breakfast Foods,Not Set,0
16,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,16,Blue Label Canned Beets,Not Set,No,62908702492,62908702492,Not Set,3.447,N/A,3.83,Not Set,Not Set,62,Vegetables,Not Set,0
17,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,17,Blue Label Creamed Corn,Not Set,No,79484335780,79484335780,Not Set,2.691,N/A,2.99,Not Set,Not Set,62,Vegetables,Not Set,0
18,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,18,Blue Label Canned String Beans,Not Set,No,85252254605,85252254605,Not Set,2.403,N/A,2.67,Not Set,Not Set,62,Vegetables,Not Set,0
19,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,19,Blue Label Chicken Soup,Not Set,No,47163524031,47163524031,Not Set,2.871,N/A,3.19,Not Set,Not Set,58,Canned Soup,Not Set,0
20,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,20,Blue Label Canned Yams,Not Set,No,22169209122,22169209122,Not Set,2.502,N/A,2.78,Not Set,Not Set,62,Vegetables,Not Set,0
21,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,21,Blue Label Vegetable Soup,Not Set,No,43318244814,43318244814,Not Set,2.097,N/A,2.33,Not Set,Not Set,58,Canned Soup,Not Set,0
22,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,22,Blue Label Canned Tomatos,Not Set,No,77561696171,77561696171,Not Set,2.061,N/A,2.29,Not Set,Not Set,62,Vegetables,Not Set,0
23,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,23,Blue Label Noodle Soup,Not Set,No,32829326987,32829326987,Not Set,1.575,N/A,1.75,Not Set,Not Set,58,Canned Soup,Not Set,0
24,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,24,Blue Label Regular Ramen Soup,Not Set,No,12408414483,12408414483,Not Set,1.557,N/A,1.73,Not Set,Not Set,58,Canned Soup,Not Set,0
25,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,25,Blue Label Chicken Noodle Soup,Not Set,No,62032982707,62032982707,Not Set,1.395,N/A,1.55,Not Set,Not Set,58,Canned Soup,Not Set,0
26,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,26,Blue Label Turkey Noodle Soup,Not Set,No,34751966595,34751966595,Not Set,0.792,N/A,0.88,Not Set,Not Set,58,Canned Soup,Not Set,0
27,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,27,Blue Label Beef Soup,Not Set,No,29712170958,29712170958,Not Set,2.385,N/A,2.65,Not Set,Not Set,58,Canned Soup,Not Set,0
28,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,28,Blue Label Canned Peas,Not Set,No,61668921113,61668921113,Not Set,3.519,N/A,3.91,Not Set,Not Set,62,Vegetables,Not Set,0
29,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,29,Blue Label Chicken Ramen Soup,Not Set,No,25866891741,25866891741,Not Set,1.602,N/A,1.78,Not Set,Not Set,58,Canned Soup,Not Set,0
30,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,30,Blue Label Canned Tuna in Water,Not Set,No,93159278035,93159278035,Not Set,1.269,N/A,1.41,Not Set,Not Set,93,Canned Tuna,Not Set,0
31,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,31,Blue Label Canned Tuna in Oil,Not Set,No,50497145056,50497145056,Not Set,1.395,N/A,1.55,Not Set,Not Set,93,Canned Tuna,Not Set,0
32,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,32,Blue Label Large Canned Shrimp,Not Set,No,87027297616,87027297616,Not Set,2.574,N/A,2.86,Not Set,Not Set,94,Canned Shrimp,Not Set,0
33,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,33,Blue Label Fancy Canned Anchovies,Not Set,No,44581629633,44581629633,Not Set,1.224,N/A,1.36,Not Set,Not Set,95,Canned Anchovies,Not Set,0
34,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,34,Blue Label Fancy Canned Clams,Not Set,No,50349548459,50349548459,Not Set,1.521,N/A,1.69,Not Set,Not Set,96,Canned Clams,Not Set,0
35,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,35,Blue Label Fancy Canned Oysters,Not Set,No,36162948012,36162948012,Not Set,1.989,N/A,2.21,Not Set,Not Set,97,Canned Oysters,Not Set,0
36,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,36,Blue Label Fancy Canned Sardines,Not Set,No,11168633103,11168633103,Not Set,1.62,N/A,1.8,Not Set,Not Set,98,Canned Sardines,Not Set,0
37,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,37,Blue Label Rice Soup,Not Set,No,32317668795,32317668795,Not Set,1.431,N/A,1.59,Not Set,Not Set,58,Canned Soup,Not Set,0
38,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,38,Green Ribbon Canned Mixed Fruit,Not Set,No,42658990025,42658990025,Not Set,1.179,N/A,1.31,Not Set,Not Set,3,Fruit,Not Set,0
39,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,39,Green Ribbon Canned Peaches,Not Set,No,33045791983,33045791983,Not Set,2.799,N/A,3.11,Not Set,Not Set,3,Fruit,Not Set,0
40,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,40,King Rosy Sunglasses,Not Set,No,36527009606,36527009606,Not Set,0.891,N/A,0.99,Not Set,Not Set,89,Specialty,Not Set,0
41,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,41,Queen Eyeglass Screwdriver,Not Set,No,86151577830,86151577830,Not Set,0.801,N/A,0.89,Not Set,Not Set,103,Hardware,Not Set,0
42,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,42,Queen City Map,Not Set,No,89849260449,89849260449,Not Set,2.538,N/A,2.82,Not Set,Not Set,102,Miscellaneous,Not Set,0
43,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,43,Club Low Fat Cottage Cheese,Not Set,No,18711594939,18711594939,Not Set,1.503,N/A,1.67,Not Set,Not Set,15,Dairy,Not Set,0
44,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,44,Club Low Fat Sour Cream,Not Set,No,50668345093,50668345093,Not Set,2.637,N/A,2.93,Not Set,Not Set,14,Dairy,Not Set,0
45,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,45,Club Sour Cream,Not Set,No,14866315722,14866315722,Not Set,0.477,N/A,0.53,Not Set,Not Set,14,Dairy,Not Set,0
46,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,46,Club Jack Cheese,Not Set,No,82158702015,82158702015,Not Set,3.096,N/A,3.44,Not Set,Not Set,11,Dairy,Not Set,0
47,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,47,Club Muenster Cheese,Not Set,No,39496569037,39496569037,Not Set,2.313,N/A,2.57,Not Set,Not Set,11,Dairy,Not Set,0
48,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,48,Club String Cheese,Not Set,No,76026721596,76026721596,Not Set,1.692,N/A,1.88,Not Set,Not Set,11,Dairy,Not Set,0
49,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,49,Club Low Fat String Cheese,Not Set,No,68700224757,68700224757,Not Set,3.042,N/A,3.38,Not Set,Not Set,11,Dairy,Not Set,0
50,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,50,Club Havarti Cheese,Not Set,No,74468143582,74468143582,Not Set,3.555,N/A,3.95,Not Set,Not Set,11,Dairy,Not Set,0
51,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,51,Club Head Cheese,Not Set,No,24898700118,24898700118,Not Set,1.323,N/A,1.47,Not Set,Not Set,11,Dairy,Not Set,0
52,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,52,Club Cheese Spread,Not Set,No,66002255082,66002255082,Not Set,1.953,N/A,2.17,Not Set,Not Set,11,Dairy,Not Set,0
53,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,53,Club Sharp Cheddar Cheese,Not Set,No,21053420901,21053420901,Not Set,3.249,N/A,3.61,Not Set,Not Set,11,Dairy,Not Set,0
54,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,54,Club Mild Cheddar Cheese,Not Set,No,31394742131,31394742131,Not Set,2.637,N/A,2.93,Not Set,Not Set,11,Dairy,Not Set,0
55,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,55,Club Large Curd Cottage Cheese,Not Set,No,21781544089,21781544089,Not Set,3.15,N/A,3.5,Not Set,Not Set,15,Dairy,Not Set,0
56,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,56,Club 2% Milk,Not Set,No,25262761712,25262761712,Not Set,0.639,N/A,0.71,Not Set,Not Set,76,Dairy,Not Set,0
57,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,57,Club Buttermilk,Not Set,No,74887329936,74887329936,Not Set,0.549,N/A,0.61,Not Set,Not Set,76,Dairy,Not Set,0
58,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,58,Club Chocolate Milk,Not Set,No,23704183697,23704183697,Not Set,2.079,N/A,2.31,Not Set,Not Set,76,Dairy,Not Set,0
59,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,59,Club 1% Milk,Not Set,No,42566518187,42566518187,Not Set,1.26,N/A,1.4,Not Set,Not Set,76,Dairy,Not Set,0
60,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,60,Club Whole Milk,Not Set,No,50621138215,50621138215,Not Set,2.394,N/A,2.66,Not Set,Not Set,76,Dairy,Not Set,0
61,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,61,Club Strawberry Yogurt,Not Set,No,93602067828,93602067828,Not Set,0.666,N/A,0.74,Not Set,Not Set,6,Dairy,Not Set,0
62,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,62,Club Blueberry Yogurt,Not Set,No,70894454121,70894454121,Not Set,3.438,N/A,3.82,Not Set,Not Set,6,Dairy,Not Set,0
63,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,63,Red Spade Chicken Hot Dogs,Not Set,No,28232321143,28232321143,Not Set,2.655,N/A,2.95,Not Set,Not Set,81,Meat,Not Set,0
64,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,64,Red Spade Pimento Loaf,Not Set,No,64762473702,64762473702,Not Set,1.449,N/A,1.61,Not Set,Not Set,91,Meat,Not Set,0
65,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,65,Red Spade Beef Bologna,Not Set,No,57435976862,57435976862,Not Set,3.384,N/A,3.76,Not Set,Not Set,91,Meat,Not Set,0
66,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,66,Red Spade Low Fat Bologna,Not Set,No,63203895688,63203895688,Not Set,3.096,N/A,3.44,Not Set,Not Set,91,Meat,Not Set,0
67,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,67,Red Spade Turkey Hot Dogs,Not Set,No,25115165114,25115165114,Not Set,1.674,N/A,1.86,Not Set,Not Set,81,Meat,Not Set,0
68,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,68,Red Spade Foot-Long Hot Dogs,Not Set,No,90120850205,90120850205,Not Set,3.204,N/A,3.56,Not Set,Not Set,81,Meat,Not Set,0
69,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,69,Red Spade Low Fat Cole Slaw,Not Set,No,21269885897,21269885897,Not Set,2.79,N/A,3.1,Not Set,Not Set,16,Side Dishes,Not Set,0
70,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,70,Red Spade Cole Slaw,Not Set,No,42828248143,42828248143,Not Set,0.873,N/A,0.97,Not Set,Not Set,16,Side Dishes,Not Set,0
71,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,71,Red Spade Roasted Chicken,Not Set,No,33215050101,33215050101,Not Set,2.484,N/A,2.76,Not Set,Not Set,77,Meat,Not Set,0
72,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,72,Red Spade Corned Beef,Not Set,No,36696267724,36696267724,Not Set,2.466,N/A,2.74,Not Set,Not Set,8,Meat,Not Set,0
73,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,73,Red Spade Sliced Turkey,Not Set,No,86320835947,86320835947,Not Set,2.097,N/A,2.33,Not Set,Not Set,8,Meat,Not Set,0
74,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,74,Red Spade Sliced Ham,Not Set,No,35137689709,35137689709,Not Set,1.413,N/A,1.57,Not Set,Not Set,8,Meat,Not Set,0
75,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,75,Red Spade Potato Salad,Not Set,No,54000024199,54000024199,Not Set,0.612,N/A,0.68,Not Set,Not Set,16,Side Dishes,Not Set,0
76,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,76,Red Spade Sliced Chicken,Not Set,No,62054644227,62054644227,Not Set,1.521,N/A,1.69,Not Set,Not Set,8,Meat,Not Set,0
77,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,77,Blue Medal Small Brown Eggs,Not Set,No,50154744982,50154744982,Not Set,2.52,N/A,2.8,Not Set,Not Set,66,Eggs,Not Set,0
78,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,78,Blue Medal Large Brown Eggs,Not Set,No,27447131276,27447131276,Not Set,1.971,N/A,2.19,Not Set,Not Set,66,Eggs,Not Set,0
79,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,79,Blue Medal Small Eggs,Not Set,No,39665827155,39665827155,Not Set,1.188,N/A,1.32,Not Set,Not Set,66,Eggs,Not Set,0
80,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,80,Blue Medal Large Eggs,Not Set,No,76195979714,76195979714,Not Set,3.267,N/A,3.63,Not Set,Not Set,66,Eggs,Not Set,0
81,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,81,Blue Medal Egg Substitute,Not Set,No,68869482874,68869482874,Not Set,1.917,N/A,2.13,Not Set,Not Set,66,Eggs,Not Set,0
82,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,82,Golden Low Fat Waffles,Not Set,No,74637401700,74637401700,Not Set,2.43,N/A,2.7,Not Set,Not Set,34,Breakfast Foods,Not Set,0
83,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,83,Golden Orange Popsicles,Not Set,No,36548671126,36548671126,Not Set,3.492,N/A,3.88,Not Set,Not Set,110,Frozen Desserts,Not Set,0
84,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,84,Golden Frozen Chicken Breast,Not Set,No,11554356217,11554356217,Not Set,2.529,N/A,2.81,Not Set,Not Set,100,Meat,Not Set,0
85,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,85,Golden Frozen Pancakes,Not Set,No,32703391909,32703391909,Not Set,1.224,N/A,1.36,Not Set,Not Set,29,Breakfast Foods,Not Set,0
86,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,86,Golden Low Fat French Fries,Not Set,No,66946843266,66946843266,Not Set,2.673,N/A,2.97,Not Set,Not Set,63,Vegetables,Not Set,0
87,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,87,Golden Frozen Sausage Pizza,Not Set,No,57333645224,57333645224,Not Set,1.602,N/A,1.78,Not Set,Not Set,64,Pizza,Not Set,0
88,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,88,Golden Blueberry Waffles,Not Set,No,25695691704,25695691704,Not Set,0.774,N/A,0.86,Not Set,Not Set,34,Breakfast Foods,Not Set,0
89,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,89,Golden Fajita French Fries,Not Set,No,51418129801,51418129801,Not Set,1.431,N/A,1.59,Not Set,Not Set,63,Vegetables,Not Set,0
90,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,90,Golden Waffles,Not Set,No,24137113690,24137113690,Not Set,0.693,N/A,0.77,Not Set,Not Set,34,Breakfast Foods,Not Set,0
91,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,91,Golden Frozen Pepperoni Pizza,Not Set,No,42999448180,42999448180,Not Set,2.412,N/A,2.68,Not Set,Not Set,64,Pizza,Not Set,0
92,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,92,Golden Frozen Cheese Pizza,Not Set,No,51054068207,51054068207,Not Set,0.747,N/A,0.83,Not Set,Not Set,64,Pizza,Not Set,0
93,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,93,Golden Frozen Mushroom Pizza,Not Set,No,39154168963,39154168963,Not Set,0.864,N/A,0.96,Not Set,Not Set,64,Pizza,Not Set,0
94,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,94,Golden Apple Cinnamon Waffles,Not Set,No,16446555256,16446555256,Not Set,0.558,N/A,0.62,Not Set,Not Set,34,Breakfast Foods,Not Set,0
95,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,95,Golden Frozen Carrots,Not Set,No,39882292151,39882292151,Not Set,1.314,N/A,1.46,Not Set,Not Set,60,Vegetables,Not Set,0
96,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,96,Golden Turkey TV Dinner,Not Set,No,10314574837,10314574837,Not Set,1.899,N/A,2.11,Not Set,Not Set,10,Frozen Entrees,Not Set,0
97,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,97,Golden Chicken TV Dinner,Not Set,No,57605234980,57605234980,Not Set,0.531,N/A,0.59,Not Set,Not Set,10,Frozen Entrees,Not Set,0
98,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,98,Golden Beef TV Dinner,Not Set,No,63373153805,63373153805,Not Set,1.647,N/A,1.83,Not Set,Not Set,10,Frozen Entrees,Not Set,0
99,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,99,Golden Pancake Mix,Not Set,No,25284423232,25284423232,Not Set,2.124,N/A,2.36,Not Set,Not Set,28,Breakfast Foods,Not Set,0
100,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,100,Golden Grape Popsicles,Not Set,No,90290108323,90290108323,Not Set,1.755,N/A,1.95,Not Set,Not Set,110,Frozen Desserts,Not Set,0
101,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,101,Golden Home Style French Fries,Not Set,No,21439144015,21439144015,Not Set,0.648,N/A,0.72,Not Set,Not Set,63,Vegetables,Not Set,0
102,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,102,Golden Lime Popsicles,Not Set,No,55682595372,55682595372,Not Set,2.205,N/A,2.45,Not Set,Not Set,110,Frozen Desserts,Not Set,0
103,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,103,Golden Ice Cream,Not Set,No,46069397330,46069397330,Not Set,0.855,N/A,0.95,Not Set,Not Set,9,Frozen Desserts,Not Set,0
104,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,104,Golden Ice Cream Sandwich,Not Set,No,49550614953,49550614953,Not Set,3.501,N/A,3.89,Not Set,Not Set,9,Frozen Desserts,Not Set,0
105,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,105,Golden Frozen Cauliflower,Not Set,No,75273053050,75273053050,Not Set,3.348,N/A,3.72,Not Set,Not Set,60,Vegetables,Not Set,0
106,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,106,Golden Frozen Broccoli,Not Set,No,36774995923,36774995923,Not Set,2.664,N/A,2.96,Not Set,Not Set,60,Vegetables,Not Set,0
107,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,107,Golden Frozen Corn,Not Set,No,55637330412,55637330412,Not Set,1.629,N/A,1.81,Not Set,Not Set,60,Vegetables,Not Set,0
108,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,108,Golden Frozen Peas,Not Set,No,63691950440,63691950440,Not Set,1.971,N/A,2.19,Not Set,Not Set,60,Vegetables,Not Set,0
109,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,109,Golden Popsicles,Not Set,No,51792051196,51792051196,Not Set,3.555,N/A,3.95,Not Set,Not Set,9,Frozen Desserts,Not Set,0
110,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,110,Golden Frozen Chicken Thighs,Not Set,No,29084437489,29084437489,Not Set,2.115,N/A,2.35,Not Set,Not Set,100,Meat,Not Set,0
111,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,111,Golden Frozen Chicken Wings,Not Set,No,52520174384,52520174384,Not Set,3.132,N/A,3.48,Not Set,Not Set,100,Meat,Not Set,0
112,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,112,Golden Lemon Popsicles,Not Set,No,89050326943,89050326943,Not Set,1.017,N/A,1.13,Not Set,Not Set,110,Frozen Desserts,Not Set,0
113,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,113,Faux Products Silky Smooth Hair Conditioner,Not Set,No,15625960230,15625960230,Not Set,2.061,N/A,2.29,Not Set,Not Set,78,Bathroom Products,Not Set,0
114,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,114,Faux Products Tartar Control Toothpaste,Not Set,No,21393879055,21393879055,Not Set,0.828,N/A,0.92,Not Set,Not Set,39,Hygiene,Not Set,0
115,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,115,Faux Products Whitening Toothpast,Not Set,No,14283847212,14283847212,Not Set,0.585,N/A,0.65,Not Set,Not Set,39,Hygiene,Not Set,0
116,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,116,Faux Products Toothpaste,Not Set,No,79289532303,79289532303,Not Set,3.573,N/A,3.97,Not Set,Not Set,39,Hygiene,Not Set,0
117,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,117,Faux Products Deodorant,Not Set,No,10438567996,10438567996,Not Set,2.475,N/A,2.75,Not Set,Not Set,39,Hygiene,Not Set,0
118,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,118,Faux Products Conditioning Shampoo,Not Set,No,44682019352,44682019352,Not Set,1.332,N/A,1.48,Not Set,Not Set,79,Bathroom Products,Not Set,0
